# Source: 2002 DCT Pubs.xls

## Sheet: Sheet1 (436 rows x 5 cols)
[r0] 2002 PUBLICATIONS |  |  |  | 
[r1] # | DATE | TITLE | PUB TYPE | ANALYST
[r227] 162 | 2002-05-02 | Hourly Hiring Management Systems:  Improving the Bottom Line for Hourly Worker-Centric Employees | White Paper | Jones, Katherine
[r228] 187 | 2002-06-02 | eSource Extends Hosting Options for HR/Payroll | Impact | Jones, Katherine
[r229] 191 | 2002-06-02 | Microsoft Broadens Footprint in Mid-Market ERP (Navision) | Perspective | Jones, Katherine
[r230] 226 | 2002-07-02 | Lawson Expands Retail Reach with Armature Holdings Ltd. | Perspective | Jones, Katherine
[r231] 263 | 2002-08-02 | PeopleSoft Boosts Educational Solutions with Teamscape Acquisition | Perspective | Jones, Katherine
[r232] 309 | 2002-09-02 | Enterprise Talent Management: Sourcing, Staffing, Hiring | Report | Jones, Katherine
[r233] 330 | 2002-10-02 | ACCPAC Adds Internet-to-EDI Transaction Exchange for Mid-Market | Impact | Jones, Katherine
[r234] 353 | 2002-10-02 | Synygy Changes the EIM Playing Field:  IncenSoft Acquisition Helps Link EIM to Corporate Performance Management | Perspective | Jones, Katherine
[r235] 354 | 2002-10-02 | Microsoft Business Solutions - The New Wave at Stampede | InSight | Jones, Katherine
[r236] 355 | 2002-10-02 | HR Tech Conference Proves There's Life in Software for Human Capital Management | Perspective | Jones, Katherine
[r237] 369 | 2002-10-02 | Corporate Training - Beyond the Hype of "e" for All Seasons | Perspective | Jones, Katherine
[r238] 376 | 2002-11-02 | SSA Acquires Infinium; Adds Markets, Customers, and Applications | Perspective | Jones, Katherine
[r239] 379 | 2002-11-02 | ACCPAC Expands Reach: A Transition from Accounting Applications to Mid-Market Enterprise Solutions | InSight | Jones, Katherine
[r240] 294 | 2002-11-02 | The High Cost of Compliance -- Harrassment and Discrimination Suits Can Be Avoided | Perspective | Jones, Katherine
[r241] 314 | 2002-12-02 | eLabor Addresses Employee Life Cycle Through Comprehensive Workforce Management | Profile | Jones, Katherine
[r242] 327 | 2002-12-02 | MAPICS Acquires Frontstep in March for Midmarket Manufacturing | Perspective | Jones, Katherine
[r243] 211 | 2002-07-02 | Stand-Alone Personal Video Recorders: Many Forms, Same Function | InSight | Craig, Russ
[r244] 214 | 2002-07-02 | Alternative Consumer Electronics Channels and Suppliers Emerge, Threatening Incumbents | InSight | Craig, Russ
[r245] 249 | 2002-08-02 | Dual-Band Wireless Home Networking: It's Beginning to Look Like Christmas | InSight | Craig, Russ
[r246] 246 | 2002-08-02 | Does Intel's Decision Not to Maufacture InfiniBand Silicon Damage the Initiative?  | InSight | Kastner, Peter
[r247] 253 | 2002-08-02 | IT Purchasing:  The View from the End of the Tunnel | InSight | Kastner, Peter
[r248] 244 | 2002-08-02 | Undercutting and Upselling: Dell's Foray into the Handheld Market | InSight | Ro, Isaac
[r249] 245 | 2002-08-02 | Surveying the Playing Field: Who's Who in Mobile Middleware | InSight | Ro, Isaac
[r250] 280 | 2002-09-02 | People’s Republic of China: the Next Competitive Advantage in Electronics | InSight | Craig, Russ
[r251] 4 | 2002-01-02 | Embedded Infrastructure Cost-of-Ownership Study:  2001 Update (Progress Software) | White Paper | Kernochan, Wayne
[r252] 136 | 2002-04-02 | IBM Data Management Tools:  New Opportunities for Cost-Effective Administration | Profile | Kernochan, Wayne
[r253] 144 | 2002-05-02 | EII:  A Key Missing Piece of the Web Services Solution | White Paper | Kernochan, Wayne
[r254] 207 | 2002-07-02 | Gupta: Delivering Rich-Client Flexibility and Lower Cost | Impact | Kernochan, Wayne
[r255] 208 | 2002-07-02 | Mass-Deployment Databases Embedded in Workgroup Environments: Cost-of-Ownership Study | White Paper | Kernochan, Wayne
[r256] 248 | 2002-08-02 | Web Services Development: On IT's Critical Path | White Paper | Kernochan, Wayne
[r257] 293 | 2002-09-02 | Leveraging Existing Applications for E-business Cost-Effectively (Unisys) | Profile | Kernochan, Wayne
[r258] 313 | 2002-09-02 | Pervasive Software's Pervasive.SQL: Expert at Low-Cost, High-Performance Embedded Databases | Profile | Kernochan, Wayne
[r259] 345 | 2002-10-02 | Database Buying Guide: Fourth Edition | Report | Kernochan, Wayne
[r260] 378 | 2002-11-02 | The Enosys Enterprise Information Integration Solution | Profile | Kernochan, Wayne
[r261] 21 | 2002-01-02 | Mirantis Delivers an Alternative to Offshore Outsourcing, Providing Clients with Overseas Development Center and Staffing Services | Profile | Lane, Stephen
[r262] 118 | 2002-04-02 | Six Continents Hotels Looks to Sun Consultants to Help Deliver Wireless B-to-C J2EE Technology-Based Reservation System | OnSite | Lane, Stephen
[r263] 219 | 2002-07-02 | Aligning IT Strategy and Investment to Deliver Enterprise Value: Seeing the Forest and the Trees | White Paper | Lane, Stephen
[r264] 254 | 2002-08-02 | West Group Outsources E-commerce Initiative to Improve Online Presence and Increase Sales (EPAM) | OnSite | Lane, Stephen
[r265] 255 | 2002-08-02 | XENERGY Chooses Service Supplier for Quality and Expertise; Gets Offshore Cost Benefits in the Bargain | OnSite | Lane, Stephen
[r266] 301 | 2002-09-02 | Offshore Software Outsourcing Best Practices: Building Successful Relationships on a Diverse Delivery Model | Report | Lane, Stephen
[r267] 307 | 2002-09-02 | IT Outsourcing: 2002 Spending Priorities and Trends | Report | Lane, Stephen
[r268] 311 | 2002-09-02 | Oracle Product Support Service Incorporates Third-Party Expertise and On-Site/Offshore Delivery | OnSite | Lane, Stephen
[r269] 335 | 2002-10-02 | BNSF Focuses on Cultural Fit to Build Collaborative Offshore Model | OnSite | Lane, Stephen
[r270] 384 | 2002-11-02 | Offshore Co-Sourcing Speeds Weyerhaeuser SAP R/3 Implementation Initiative (Wipro) | OnSite | Lane, Stephen
[r271] 220 | 2002-07-02 | IT Spending: Buying Intentions and Budget Planning Update | InSight | Lynch, Wyeth
[r272] 364 | 2002-10-02 | Less Money Equals New IT Motivations | InSight | Lynch, Wyeth
[r273] 318 | 2002-12-02 | Dot Hill | Snapshot | Lynch, Wyeth
[r274] 182 | 2002-06-02 | Reaching CIOs: Webinars Deliver Technology Education | InSight | Lynch/Aponovich
[r275] 16 | 2002-01-02 | Intel Server Platforms Deliver Compelling Value to Enterprise Users of PeopleSoft CRM | Profile | Manter, Tom
[r276] 81 | 2002-03-02 | Windows Server Cost-of-Ownership Study:  SMB Market Segment (Microsoft) | White Paper | Manter, Tom
[r277] 82 | 2002-03-02 | Windows Server Cost-of-Ownership Study:  MLE Business Segment (Microsoft) | White Paper | Manter, Tom
[r278] 77 | 2002-03-02 | Component Supplier Management:  Saving Time and Money, Part by Part (Global Spec) | White Paper | Maynard, Jack
[r279] 85 | 2002-03-02 | Arzoon Life — An LRM Architecture for Managing Global Logistics | Report OnSite | Maynard, Jack
[r280] 117 | 2002-04-02 | Logistics Resource Management:  Managing the Flow of Business | Report | Maynard, Jack
[r281] 177 | 2002-06-02 | Developing a GPS for the Global Supply Chain | White Paper | Maynard, Jack
[r282] 196 | 2002-06-02 | Manugistics Unveils V7 Architecture, Re-emphasizes Profit Optimizer | Perspective | Maynard, Jack
[r283] 210 | 2002-07-02 | PLM - It's for Any Manufacturer Striving for Product Excellence | White Paper | Maynard, Jack
[r284] 217 | 2002-07-02 | FOCUS2002: J.D. Edwards Continues Its Mid-Market Value Response | Perspective | Maynard, Jack
[r285] 307 | 2002-12-02 | Worldwide PLM Spending Forecast and Analysis 2001-2005 | InSight | Maynard, Jack
[r286] 308 | 2002-12-02 | Worldwide PLM Spending (From the Engineering Perspective):  Forecast and Analysis 2001-2005 | Report | Maynard, Jack
[r287] 309 | 2002-12-02 | Will New Security Measures Sink Global Trade?  | Perspective | Maynard, Jack
[r288] 33 | 2002-02-02 | Direct Materials Sourcing:  Managing Cost and Innovation (Agile) | White Paper | Minahan, Tim
[r289] 35 | 2002-02-02 | IBM and MarketMile Create Procurement Service ‘Utility’ to Drive e-Procurement Adoption, Speed ROI | Impact | Minahan, Tim
[r290] 75 | 2002-03-02 | Total Cost Management:  Your Next Procurement Strategy | InSight | Minahan, Tim
[r291] 124 | 2002-04-02 | Alliente Combines Expertise, Software, and Services to Deliver Total Indirect Cost Management Solutions | Impact | Minahan, Tim
[r292] 125 | 2002-04-02 | Enterprise Cost Management:  A Holistic Approach to Capturing and Sustaining Cost Savings (ePlus) | White Paper | Minahan, Tim
[r293] 161 | 2002-05-02 | Acquisition Positions MRO Software for Strategic Asset Management | Perspective | Minahan, Tim
[r294] 200 | 2002-06-02 | New Funding, Merger Expands Tradec's Total Cost Management Depth | Perspective | Minahan, Tim
[r295] 205 | 2002-07-02 | Spending Analysis: The Foundation of Effective Procurement (Softface) | White Paper | Minahan, Tim
[r296] 212 | 2002-07-02 | Acquisition Gives Perfect Commerce Dual Market Strategy | Perspective | Minahan, Tim
[r297] 241 | 2002-08-02 | Spend Visibility: Maximizing Value in Strategic Sourcing (FreeMarkets) | White Paper | Minahan, Tim
[r298] 259 | 2002-08-02 | MarketMile Gets New Name; Adds Spend Management Muscle | Perspective | Minahan, Tim
[r299] 291 | 2002-09-02 | Making the Real-Time Enterprise a Reality (IBM/PeopleSoft) | White Paper | Minahan, Tim
[r300] 305 | 2002-09-02 | Making e-Sourcing Strategic: From Tactical Technology to Core Business Strategy | Report | Minahan, Tim
[r301] 341 | 2002-10-02 | You Will Outsource Procurement: Here's Why and How | Executive Viewpoint | Minahan, Tim
[r302] 368 | 2002-10-02 | Tradec, Inc | Solution Snapshot | Minahan, Tim
[r303] 371 | 2002-10-02 | Ariba Makes Compliance a Cornerstone of Spend Management | Strategy Profile | Minahan, Tim
[r304] 386 | 2002-11-02 | Procurement Outsourcing:  A Primer | Perspective | Minahan, Tim
[r305] 292 | 2002-11-02 | What's Really Worrying Supply Chain Managers? | Perspective | Minahan, Tim
[r306] 169 | 2002-06-02 | i2 Reveals Fight Plan. Can It Go the Distance? | Perspective | Minahan/Allen
[r307] 173 | 2002-06-02 | Could Ariba Be B-to-B's Comeback Kid? | Perspective | Minahan/Degnan
[r308] 67 | 2002-03-02 | Think Tools:  Rethinking the Consulting Model | Impact | Moran, Bob
[r309] 195 | 2002-06-02 | Quadstone: Retooling the OEM Model and Market | Impact | Moran, Bob
[r310] 264 | 2002-08-02 | Khalix: Putting Finance at the Hub of the Enterprise | Profile | Moran, Bob
[r311] 325 | 2002-12-02 | Cognos: Charting the Future of Analytic Applications | Profile | Moran, Bob
[r312] 14 | 2002-01-02 | Penguin-Powered Enterprise Management:  Computer Associates’ Unicenter on Linux | White Paper | O'Connell, Valerie
[r313] 50 | 2002-03-02 | Reducing IT Complexity:  The Role of Systems Management (Tivoli) | White Paper | O'Connell, Valerie
[r314] 53 | 2002-03-02 | BMC Software:  Managing CRM in the Age of ROI | White Paper | O'Connell, Valerie
[r315] 160 | 2002-05-02 | Adaptive Infrastructure Management (AIM):  Business-Shaped Application QoS | White Paper | O'Connell, Valerie
[r316] 325 | 2002-10-02 | Cost Savings Versus Cost-Effectiveness: BMC Software Customers Underscore the Value of IMS Management Solutions | OnSite | O'Connell, Valerie
[r317] 387 | 2002-11-02 | Identify’s AppSight Captures User/System/Code-Level Activity for “Root Cause” in Live Production Applications | Impact | O'Connell, Valerie
[r318] 296 | 2002-11-02 | Management Suite "Fathoms" Progress Environment | Profile | O'Connell, Valerie
[r319] 298 | 2002-11-02 | Heroix eQ Makres Business-Aware Systems Managememt Fast, Simple, Cost-Effective -- and Codeless | Impact | O'Connell, Valerie
[r320] 22 | 2002-01-02 | Automated Honesty:  Making That Carrier Inventory Database Deliver (CoManage) | Impact | Peabody, George
[r321] 25 | 2002-02-02 | Stay Nimble When Entering the Mobile Data Business:  Raising Revenues, Avoiding Risks (Amdocs) | Profile | Peabody, George
[r322] 63 | 2002-03-02 | Service Delivery Middleware:  Creating IP Service Intelligence for Network Operators (Lemur Networks) | White Paper | Peabody, George
[r323] 224 | 2002-07-02 | Application Performance and the Bandwith Bottleneck Blues (Packeteer) | White Paper | Peabody, George
[r324] 30 | 2002-02-02 | The Learning Relationship Drives a New Direction in CRM (Chordiant) | White Paper | Pombriant, Denis
[r325] 41 | 2002-03-02 | Using Positive Feedback Loops to Sell CRM | InSight | Pombriant, Denis
[r326] 54 | 2002-03-02 | What Works:  Ten Significant CRM Implementations of 2001 | Report | Pombriant, Denis
[r327] 55 | 2002-03-02 | Hewlett-Packard and Allegis:  Creating Effectiveness in the Sales Channel with Partner Relationship Management (Allegis) | Report OnSite | Pombriant, Denis
[r328] 56 | 2002-03-02 | AMF Bowling Strikes Success with Applix iCRM (Applix) | Report OnSite | Pombriant, Denis
[r329] 57 | 2002-03-02 | Timberline Industries Mines Customer Base for New Opportunities with Ardexus | Report OnSite | Pombriant, Denis
[r330] 58 | 2002-03-02 | Compaq Canada Uses Blue Pumpkin’s Workforce Optimization Solution to Enhance Customer Service, Cut Costs, and Drive Profits | Report OnSite | Pombriant, Denis
[r331] 59 | 2002-03-02 | Textron Fastening Systems Implements CRM with Salesforce.com | Report OnSite | Pombriant, Denis
[r332] 60 | 2002-03-02 | Rockwell Automation Achieves Notable Results with Selectica’s Internet-Based Interactive Selling Solution | Report OnSite | Pombriant, Denis
[r333] 61 | 2002-03-02 | Talisma Helps Tupperware Build Online Business Channel | Report OnSite | Pombriant, Denis
[r334] 62 | 2002-03-02 | Sonus-USA, Inc., and TriVium Systems Make CRM Seem Easy | Report OnSite | Pombriant, Denis
[r335] 68 | 2002-03-02 | Sales Methodologies Add Precision to CRM  | White Paper | Pombriant, Denis
[r336] 87 | 2002-03-02 | Asyst Streamlines Business Processes and Improves Customer Satisfaction with Siebel | Report OnSite | Pombriant, Denis
[r337] 92 | 2002-03-02 | Modular Architectures:  A New Era for Best-of-Breed CRM? | InSight | Pombriant, Denis
[r338] 123 | 2002-04-02 | Salesforce.com:  Proving the CRM ASP Model | White Paper | Pombriant, Denis
[r339] 184 | 2002-06-02 | SAP Takes the (CRM) Lead in Its Customer Base | Perspective | Pombriant, Denis
[r340] 274 | 2002-09-02 | Siebel 7.5 Puts Methodology in the Spotlight | InSight | Pombriant, Denis
[r341] 275 | 2002-09-02 | Rewarding the Wrong Behavior? | InSight | Pombriant, Denis
[r342] 346 | 2002-10-02 | BlueRoads: a Path to More Effective Channel Enablement | Profile | Pombriant, Denis
[r343] 350 | 2002-10-02 | Work Smart, Sell More (WhisperWire) | White Paper | Pombriant, Denis
[r344] 377 | 2002-11-02 | Siebel:  .Net's Killer Application | Perspective | Pombriant, Denis
[r345] 299 | 2002-11-02 | salesforce.com | Snapshot | Pombriant, Denis
[r346] 320 | 2002-10-02 | People's Republic of China: The Next Competitive Nightmare in Electronics | InSight | Craig, Russ
[r347] 328 | 2002-10-02 | 802.11a,b Wireless Comes of Age (Atheros) | InSight | Craig, Russ
[r348] 301 | 2002-11-02 | WiFi-x Is Booming - But the Shakeout Has Started! | InSight | Craig, Russ
[r349] 293 | 2002-11-02 | The New HP Stands Up to be Counted | InSight | Kastner, Peter
[r350] 381 | 2002-11-02 | What Works:  Ten Significant Mobile Data Deployments  | Report | Ro, Isaac
[r351] 290 | 2002-11-02 | Electronic Arts and Good Technology: Mobile Messaging to Extend Competitive Advantage | OnSite | Ro, Isaac
[r352] 317 | 2002-12-02 | LinCo Services and Prism Visual Software: Cutting Edge Mobile Data Solutions for Rural Work Environments | OnSite | Ro, Isaac
[r353] 122 | 2002-04-02 | SOAPswitch:  A Command & Control Console for Web Services with Built-in Enterprise Application Access (Actional) | Impact | Sloane, Tim
[r354] 172 | 2002-06-02 | XMI and UML Liberate Hijacked Process Models for Improved Collaboration and Reuse | InSight | Sloane, Tim
[r355] 344 | 2002-10-02 | BOC Information Technologies Consulting Ltd. | Snapshot | Sloane, Tim
[r356] 370 | 2002-10-02 | Vertically Aligning IBM's Market Strengths | Impact | Sloane, Tim
[r357] 297 | 2002-11-02 | IBM Places WebSphere Squarely in the Mid-market | Impact | Sloane, Tim
[r358] 5 | 2002-01-02 | ResQ Enterprise:  Integrated CRM/ERP for the Masses (Open Solutions, Inc.) | Profile | Smith, Karen
[r359] 32 | 2002-02-02 | Achieving Higher Returns from PRM Through Integration with e-Business Suites (Oracle) | White Paper | Smith, Karen
[r360] 83 | 2002-03-02 | Fireman’s Fund Insurance Company:  Using Information Technology to Automate and Decipher the Complexity in Underwriting (Selectica) | OnSite | Smith, Karen
[r361] 110 | 2002-04-02 | The Intelligent Channel:  A Conduit to Profitable Customer Relationships (Click Commerce) | White Paper | Smith, Karen
[r362] 218 | 2002-07-02 | Support Automation: Redefining Technical Support for Problem Resolution | White Paper | Smith, Karen
[r363] 229 | 2002-07-02 | StayinFront, Inc. | Snapshot | Smith, Karen
[r364] 238 | 2002-08-02 | Hitachi: On Track for Growth with Automated Selling Technologies (Selectica) | OnSite | Smith, Karen
[r365] 262 | 2002-08-02 | Support Automation: A More Prominent Position Within CRM and PRM Deployments | InSight | Smith, Karen
[r366] 265 | 2002-08-02 | CRM and Back-Office Integration for the Small and Medium-Sized Business | White Paper | Smith, Karen
[r367] 292 | 2002-09-02 | Applied Biosystems: Making Business Easier for Customers with Configuration and Internet-Based Selling Technology (Selectica) | OnSite | Smith, Karen
[r368] 334 | 2002-10-02 | csg Helpline and DaimlerChrysler:  Providing Global Support with Star Diagnosis (IBM) | OnSite | Smith, Karen
[r369] 338 | 2002-10-02 | Engineering Excellence: A Successful Implementation in CRM & Services Management | OnSite | Smith, Karen
[r370] 361 | 2002-10-02 | Discovering IT Asset Value Yields Savings Dividends | White Paper | Smith, Karen
[r371] 372 | 2002-11-02 | Siemens Medical Makes Field Dispatch Service More Efficient With Automated Scheduling Technology | OnSite | Smith, Karen
[r372] 382 | 2002-11-02 | Best Software:  Building Competitive Advantage for the SMB Market | White Paper | Smith, Karen
[r373] 313 | 2002-12-02 | Pragmatech Software, Inc. | Snapshot | Smith, Karen
[r374] 6 | 2002-01-02 | IBM ProFibre Storage Array:  A Carrier Class Solution | Impact | Tanner, Dan
[r375] 71 | 2002-03-02 | Acirro:  Bringing Local Access Efficiency to Remote Storage | Profile | Tanner, Dan
[r376] 100 | 2002-04-02 | Virtualize This!  What Virtualization May Really Mean For Storage | White Paper | Tanner, Dan
[r377] 129 | 2002-04-02 | INRANGE Technologies:  Ensuring 2 Gigabit Storage Networking with Investment Protection | Profile | Tanner, Dan
[r378] 134 | 2002-04-02 | NAS Aggregation:  File Sharing and Storage Consolidation sans Aggravation (Z-Force) | White Paper | Tanner, Dan
[r379] 165 | 2002-05-02 | Reliaty Backup: Business File Recovery Facilitated by Standards-Based Backup | Impact | Tanner, Dan
[r380] 190 | 2002-06-02 | The Network Is the Mainframe | InSight | Tanner, Dan
[r381] 225 | 2002-07-02 | iSCSI: New Business Benefits and Solutions | White Paper | Tanner, Dan
[r382] 240 | 2002-08-02 | Legato DiskXtender for Centera: Data Management and Access for Content-Addressable Storage | Profile | Tanner, Dan
[r383] 247 | 2002-08-02 | Give Me Small, Fast Disks to Support High Performance Applications | InSight | Tanner, Dan
[r384] 261 | 2002-08-02 | Platypus Technology:  Accelerating Key Application Performance | Profile | Tanner, Dan
[r385] 263 | 2002-08-02 | Tricord Systems:  Presenting the Business Continuance Appliance | Strategy Profile | Tanner, Dan
[r386] 310 | 2002-09-02 | Sanrad | Snapshot | Tanner, Dan
[r387] 322 | 2002-10-02 | Standards Are Crucial | InSight | Tanner, Dan
[r388] 331 | 2002-10-02 | NetApp's October Announcement Echoes Aberdeen Visions of NAS, SAN Convergence | Perspective | Tanner, Dan
[r389] 351 | 2002-10-02 | iSCSI SANs Are Approaching Market Readiness | Perspective | Tanner, Dan
[r390] 383 | 2002-11-02 | Sotrage Users Need a Voice in Storage Standards | Perspective | Tanner, Dan
[r391] 295 | 2002-11-02 | Cisco Has Changed the Storage Networking Landscape | Perspective | Tanner, Dan
[r392] 306 | 2002-11-02 | Get Smart! Intellegent Storage Networks | Perspective | Tanner, Dan
[r393] 316 | 2002-12-02 | I Tell Ya, Storage Don’t Get No Respect … | InSight | Tanner, Dan
[r394] 322 | 2002-12-02 | CMS Peripherals' ABSplus Backup: Personal Productivity Continuance Ensured | OnSite | Tanner, Dan
[r395] 3 | 2002-01-02 | Euclid:  Lifecycle Services Improve Health Hero Operations and Extend Strategic Advantage to Service Providers | OnSite | Tardelli, Dana
[r396] 13 | 2002-01-02 | Bridge to the Future:  Service Providers Bring Web Services to the Present (Digital Island) | White Paper | Tardelli, Dana
[r397] 27 | 2002-02-02 | Rethinking Data Protection Strategies (Qwest) | White Paper | Tardelli, Dana
[r398] 51 | 2002-03-02 | Managed Hosting for the Small and Medium Business:  Outsource or Insource? (Bell South) | White Paper | Tardelli, Dana
[r399] 143 | 2002-05-02 | Speedera Helps Screenplay Bring Quality and Security Streamed Content to Motion Picture Industry | Report OnSite | Tardelli, Dana
[r400] 164 | 2002-05-02 | What Works:  Significant Voice Over IP Deployments of 2001 | Report | Tardelli, Dana
[r401] 199 | 2002-06-02 | Getting a Foot into Wireless: The MVNO Gamble for Microsoft | InSight | Tardelli, Dana
[r402] 204 | 2002-07-02 | Resetting Expectations for the U.S. Telecom Market | InSight | Tardelli, Dana
[r403] 264 | 2002-08-02 | Enterprise Deployment Considerations: Extending Data to the Mobile Edge | InSight | Tardelli, Dana
[r404] 265 | 2002-08-02 | Choosing a Mobile Data Network | InSight | Tardelli, Dana
[r405] 268 | 2002-09-02 | Bang for the Enterprise Buck: Targeting High-Impact Mobile Data Demand | InSight | Tardelli, Dana
[r406] 271 | 2002-09-02 | Finding a Helping Hand: The Mobile Integration Market | InSight | Tardelli, Dana
[r407] 278 | Sepember-02 | Fashion Accessory: Dynamics of the Mobile Client | InSight | Tardelli, Dana
[r408] 290 | 2002-09-02 | Tight Budgets and Justifying Mobile Data Initiatives (Mobile ECIS #6) | InSight | Tardelli, Dana
[r409] 332 | 2002-10-02 | Mobile Data Applications: A Tale of Two Cities | InSight | Tardelli, Dana
[r410] 359 | 2002-10-02 | Mobile Data Makes Progress at CTIA Fall 2002 | Perspective | Tardelli, Dana
[r411] 305 | 2002-11-02 | Nextel Finally Gets Some Respect | InSight | Tardelli, Dana
[r412] 98 | 2002-04-02 | The Many Realities of Real-Time Analytics | Technology Viewpoint | Veytsel, Alex
[r413] 203 | 2002-07-02 | Event Stream Management: Re-Synching Analytics with Business (ESM) | InSight | Veytsel, Alex
[r414] 312 | 2002-12-02 | Netezza - An Extreme Analytic Framework in a Box | Profile | Veytsel, Alex
[r415] 333 | 2002-10-02 | Supply Chain Management Technology: Now More Than Ever | Perspective | Vigoroso, Mark
[r416] 10 | 2002-01-02 | MarketFirst:  Driving Considered Purchase Processes for Strong Customer Relationships and High ROI | Impact | Watkins, Harry
[r417] 97 | 2002-04-02 | Customer Voice Management:  Driving Value by Listening to Customers | Market Viewpoint | Watkins, Harry
[r418] 181 | 2002-06-02 | Marketing Campaign Management: Learning from the User's Experience | InSight | Watkins, Harry
[r419] 193 | 2002-06-02 | Pursuing Customer-Centric Product Planning and Management (ListenPoint) | White Paper | Watkins, Harry
[r420] 295 | 2002-09-02 | Customer Voice Management: Building Common Cause with Customers (Informative) | White Paper | Watkins, Harry
[r421] 318 | 2002-10-02 | MarketFirst Release 4: Putting Marketing in the Driver's Seat | Impact | Watkins, Harry
[r422] 324 | 2002-10-02 | Bridging the Divide: Process, Technology, and the Marketing/Sales Interface | Viewpoint | Watkins, Harry
[r423] 7 | 2002-01-02 | CIOs Reveal Their Top Application Investment Priorities for 2002 | InSight | Wright, David
[r424] 20 | 2002-01-02 | Fine-Tuning Business Process for Profit (Lombardi) | White Paper | Yong, Alan
[r425] 28 | 2002-02-02 | Anti-Money Laundering Software:  On Electronic Patrol | White Paper | Yong, Alan
[r426] 84 | 2002-03-02 | Mantas and Anti-Money Laundering Software:  A Four-Pronged Approach | White Paper | Yong, Alan
[r427] 93 | 2002-03-02 | Can Financial Analytics Deliver Fair Value? (Comshare) | Profile | Yong, Alan
[r428] 126 | 2002-04-02 | Armstrong Laing’s Predictive Planning:  Adding Operational Dimensions to Planning and Budgeting | Profile | Yong, Alan
[r429] 139 | 2002-05-02 | Planning and Budgeting for Maximum Visibility (Cognos) | White Paper | Yong, Alan
[r430] 197 | 2002-06-02 | Navision: More Than Meets the Eye | InSight | Yong, Alan
[r431] 198 | 2002-06-02 | World-Class Financial Analytic Systems for the Global Economy (Cartesis) | White Paper | Yong, Alan
[r432] 281 | 2002-09-02 | PeopleSoft Connects with Financial Accountability and Transparency | Perspective | Yong, Alan
[r433] 319 | 2002-10-02 | Baring the Financials: More Than Current Financial Systems Can Bear?  | InSight | Yong, Alan
[r434] 321 | 2002-10-02 | Hyperion's Vision for Managing Business Performance | Profile | Yong, Alan
[r435] 367 | 2002-10-02 | The Financial Implications of Corporate Performance Management | White Paper | Yong, Alan
