"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","notes","source_studies"
"ati-mobility-radeon","ATI Mobility RADEON","platform","ATI","2001-2004","mature","legacy","","dct-fujitsu-notebook-lineup-2002"
"plasma-hdtv","Plasma HDTV","hardware","multiple","1997-2014","mature","obsolete","Gateway leadership ref","dct-gateway-acquires-emachines-2004-03; dct-kastner-wish-list-2002-12"
"all-in-one-pc","All-in-One PC","platform","multiple","1999-present","mature","current","Gateway media center","dct-gateway-acquires-emachines-2004-03"
"pc-value-segment","PC Value Segment","methodology","PC industry","1995-present","mature","current","eMachines positioning","dct-gateway-acquires-emachines-2004-03"
"pc-retail-channel","PC Retail Channel","methodology","PC industry","1990-present","mature","legacy","Brick-and-mortar distribution","dct-gateway-acquires-emachines-2004-03"
"hp-c315","HP PhotoSmart C315 digital camera","platform","Hewlett-Packard","2001-2004","mainstream","discontinued","","dct-hp-camera-lab-report-2001-09"
"usb-1","USB 1.x","protocol","","1996-2005","mainstream","legacy","","dct-hp-camera-lab-report-2001-09"
"acd-see","ACD See image display","application","ACD Systems","1994-present","mainstream","mature","Missing .dll on HP install bundle","dct-hp-camera-lab-report-2001-09"
"hp-photo-transfer","HP photo transfer software","application","Hewlett-Packard","2001-2006","mainstream","discontinued","Incompatible with Win XP native camera support","dct-hp-camera-lab-report-2001-09"
"digital-camera","Consumer digital camera","platform","","1995-present","emerging","mature","","dct-hp-camera-lab-report-2001-09; dct-sony-personal-electronic-vision-2002; iha-full-report---draft-jul-28-41de81; sd-cards-overtake-memory-stick-12-may-20-81d89c"
"jornada","HP Jornada Pocket PC","platform","Hewlett-Packard","1998-2003","emerging","discontinued","","dct-hp-compaq-pcs-insight-2001-09"
"printer-ink","Inkjet/printer ink consumables","platform","","1990s-present","mature","mature","'Ink annuity'","dct-hp-compaq-pcs-insight-2001-09"
"intel-celeron-17ghz","Intel Celeron 1.7 GHz","hardware","Intel","2002-2004","new","discontinued","Held sub-$450 PC price band","dct-intel-processor-prices-2003-01"
"intel-celeron-18ghz","Intel Celeron 1.8 GHz","hardware","Intel","2002-2004","new","discontinued","Launched Jun 12 2002","dct-intel-processor-prices-2003-01"
"intel-celeron-20ghz","Intel Celeron 2.0 GHz","hardware","Intel","2002-2004","new","discontinued","Launched Aug 26 2002","dct-intel-processor-prices-2003-01"
"intel-pentium-4-18","Intel Pentium 4 1.8 GHz","hardware","Intel","2001-2003","mature","discontinued","400 MHz FSB; price drop Aug 2002","dct-intel-processor-prices-2003-01"
"intel-pentium-4-20","Intel Pentium 4 2.0 GHz","hardware","Intel","2001-2003","mature","discontinued","400 MHz FSB","dct-intel-processor-prices-2003-01"
"intel-pentium-4-226","Intel Pentium 4 2.26 GHz","hardware","Intel","2002-2003","new","discontinued","First 533 MHz FSB P4","dct-intel-processor-prices-2003-01"
"intel-pentium-4-24","Intel Pentium 4 2.4 GHz","hardware","Intel","2002-2003","new","discontinued","","dct-intel-processor-prices-2003-01"
"intel-pentium-4-253","Intel Pentium 4 2.53 GHz","hardware","Intel","2002-2003","new","discontinued","533 MHz FSB","dct-intel-processor-prices-2003-01"
"intel-pentium-4-26","Intel Pentium 4 2.6 GHz","hardware","Intel","2002-2003","new","discontinued","Launched Aug 26 2002","dct-intel-processor-prices-2003-01"
"intel-pentium-4-266","Intel Pentium 4 2.66 GHz","hardware","Intel","2002-2003","new","discontinued","533 MHz FSB; launched Aug 26 2002","dct-intel-processor-prices-2003-01"
"intel-pentium-4-28","Intel Pentium 4 2.8 GHz","hardware","Intel","2002-2003","new","discontinued","533 MHz FSB; launched Aug 26 2002","dct-intel-processor-prices-2003-01"
"intel-pentium-4-306","Intel Pentium 4 3.06 GHz HT","hardware","Intel","2002-2004","new","discontinued","First hyperthreading consumer CPU, Nov 2002","dct-intel-processor-prices-2003-01"
"fsb-400mhz","400 MHz front-side bus","protocol","Intel","2000-2003","mature","legacy","Older P4 FSB","dct-intel-processor-prices-2003-01"
"fsb-533mhz","533 MHz front-side bus","protocol","Intel","2002-2004","new","legacy","Newer P4 FSB","dct-intel-processor-prices-2003-01"
"hyperthreading","Intel Hyper-Threading","protocol","Intel","2002-present","new","current","Simultaneous multithreading","dct-intel-processor-prices-2003-01; intel-longlivedualcore-revised-5-fa8298"
"pc-deals","Aberdeen PC Deals","methodology","Aberdeen Group","2001-2003","current","discontinued","Weekly retail PC price tracker","dct-intel-processor-prices-2003-01"
"hp-scanjet-5500c","HP ScanJet 5500c","hardware","HP","2002-2005","new","discontinued","Flatbed scanner with bulk photo/slide loading","dct-kastner-wish-list-2002-12"
"dell-axim-x5","Dell Axim X5","platform","Dell","2002-2004","new","discontinued","Pocket PC; Dell exited PDA market 2007","dct-kastner-wish-list-2002-12"
"outlook-2002","Microsoft Outlook 2002","application","Microsoft","2001-2007","current","legacy-supported","Office XP version","dct-kastner-wish-list-2002-12"
"compact-flash","CompactFlash","hardware","CompactFlash Association","1994-2015","mature","legacy","D-Link DCF-660w wireless CF adapter","dct-kastner-wish-list-2002-12; iha-full-report---draft-jul-28-41de81"
"viewsonic-nextvision-n6","ViewSonic NextVision N6","hardware","ViewSonic","2002-2005","new","discontinued","PC-HDTV bridge device","dct-kastner-wish-list-2002-12"
"gateway-profile-4-xl","Gateway Profile 4 XL","hardware","Gateway","2002-2004","new","discontinued","All-in-one PC with 17in LCD","dct-kastner-wish-list-2002-12"
"intel-pentium-4-hyperthreading","Intel Pentium 4 HT 3.06GHz","hardware","Intel","2002-2006","new","discontinued","First hyperthreading consumer CPU","dct-kastner-wish-list-2002-12"
"windows-xp-media-center","Windows XP Media Center Edition","platform","Microsoft","2002-2008","new","discontinued","Launched Oct 2002","dct-kastner-wish-list-2002-12; dct-microsoft-media-center-rollout-2002-08; dct-weekly-2002-10-27; dct-weekly-2003-01-19; dct-weekly-2003-03-23; small-is-huge-in-pcs-these-days-blog-arc-655851; usatoday-reuters-small-pcs-form-factor-2-5ffca5"
"nvidia-geforce-fx","nVidia GeForce FX","hardware","nVidia","2002-2005","new","discontinued","NV30 architecture, DirectX 9","dct-kastner-wish-list-2002-12; nvidia-geforce-fx-notes-2003-02"
"ati-radeon","ATI Radeon","hardware","ATI","2000-2006","mature","discontinued","Competitor to GeForce FX","dct-kastner-wish-list-2002-12"
"davis-vantage-pro-plus","Davis Vantage Pro Plus","hardware","Davis Instruments","2002-2010","new","discontinued","Wireless home weather station with PC upload","dct-kastner-wish-list-2002-12"
"x86-64","AMD64 / x86-64 Architecture","framework","AMD","2003-present","not-yet-launched-consumer","active","The 64-bit extension to x86 that Athlon 64 introduced to consumers; adopted industry-wide and became dominant through 2010s","2004-09-intel-64bit-tipping-point-b21860; dct-memoir-athlon-64-prescience-2003"
"intel-em64t","Intel EM64T / Intel 64","framework","Intel","2004-present","not-yet-launched","active","Intel's adoption of AMD's x86-64 — first shipped mid-2004 (Nocona Xeon), mainstream desktop 2005 (Pentium 4 6xx); confirms AMD-early thesis","dct-memoir-athlon-64-prescience-2003; dell-precision-workstations-3-581e89"
"windows-xp-x64","Windows XP Professional x64 Edition","platform","Microsoft","2005-2014","not-yet-released","end-of-life","Shipped April 25 2005 — 19 months after Athlon 64 launch; poor driver ecosystem limited adoption; OS support latency central to this memoir's thesis","dct-memoir-athlon-64-prescience-2003"
"windows-vista-x64","Windows Vista x64","platform","Microsoft","2007-2017","not-yet-released","end-of-life","First consumer-facing 64-bit Windows with meaningful driver support; Jan 2007 launch — 40+ months after Athlon 64","dct-memoir-athlon-64-prescience-2003"
"mid-line-storage","Mid-Line Storage (SATA array tier)","platform","multiple","2003-2010","emerging","mainstream-then-cloud-displaced","Category defined by the 2003 RAMP white paper.","dct-memoir-ramp-vs-dct-prescience-2026"
"intel-hyper-threading","Intel Hyper-Threading","platform","Intel","2002-present","emerging","mature","Consumer 3+ GHz timing prediction verified.","dct-memoir-ramp-vs-dct-prescience-2026"
"blu-ray","Blu-ray Disc","platform","Sony/Blu-ray-Disc-Association","2003-present","pre-launch","mature-but-streaming-displaced","BDZ-S77 launch 2003-04-10 verified.","dct-memoir-ramp-vs-dct-prescience-2026"
"uwb","Ultra-Wideband (UWB)","protocol","WiMedia-Alliance","2003-2009","emerging","niche","Streaming-video use case refuted.","dct-memoir-ramp-vs-dct-prescience-2026"
"wifi-80211n","Wi-Fi 802.11n","protocol","IEEE","2007-2014","not-yet","mature","Displaced UWB in wireless home.","dct-memoir-ramp-vs-dct-prescience-2026"
"wifi-80211ac","Wi-Fi 802.11ac","protocol","IEEE","2013-present","not-yet","mature","Further displaced UWB in wireless home.","dct-memoir-ramp-vs-dct-prescience-2026"
"microsoft-mira","Microsoft Mira / Smart Display","platform","Microsoft","2002-2003","launched","discontinued-2003","Smart Display category killed in 2003; refuted prediction.","dct-memoir-ramp-vs-dct-prescience-2026; dct-microsoft-homestation-notes-2002; dct-sony-personal-electronic-vision-2002"
"windows-media-center","Windows XP Media Center Edition","platform","Microsoft","2002-2009","emerging","discontinued","HP/Sony MCE rollout tracked in DCT weekly.","dct-memoir-ramp-vs-dct-prescience-2026"
"athlon-64","AMD Athlon 64","platform","AMD","2003-2009","pre-launch","legacy","Referenced re: Circuit City lineup lag.","dct-memoir-ramp-vs-dct-prescience-2026"
"microsoft-homestation","Microsoft HomeStation","platform","Microsoft","2002","forthcoming","vaporware","Proposed home-server platform","dct-microsoft-homestation-notes-2002"
"microsoft-freestyle","Freestyle UI","platform","Microsoft","2002","emerging","released-as-media-center","UI shell; became Windows XP Media Center","dct-microsoft-homestation-notes-2002"
"microsoft-longwood","Windows XP 2.0 (Longwood)","platform","Microsoft","2002-2003","forthcoming","shipped-as-updates","Internal codename","dct-microsoft-homestation-notes-2002"
"xbox","Microsoft Xbox","platform","Microsoft","2001-2005","emerging","discontinued","Hardware base for HomeStation","dct-microsoft-homestation-notes-2002; dct-personal-it-practice-launch-2001"
"terminal-server","Windows Terminal Server","platform","Microsoft","1998-present","mainstream","mature","","dct-microsoft-homestation-notes-2002"
"tv-tuner-card","PC TV tuner card","platform","","1990s-2010s","mainstream","legacy","nVidia presumed supplier","dct-microsoft-homestation-notes-2002; dct-microsoft-media-center-rollout-2002-08; dct-video-market-segmentation-2002"
"ethernet","Ethernet","protocol","","1980-present","mature","mature","","dct-microsoft-homestation-notes-2002; dct-segment-priorities-matrix-2003; infiniband-and-beyond-computerworld-supp-200261; nti-11-distributed-midrange-servers-1993-dedd19; nti-2-open-systems-1dd3af; prime-industry-product-5-year-plan-1981-0a3546"
"dvd","DVD optical drive","platform","","1997-2010","mainstream","legacy","","dct-microsoft-homestation-notes-2002"
"ultimatetv","UltimateTV","platform","Microsoft","2001-2007","emerging","discontinued","UI concepts inherited","dct-microsoft-media-center-rollout-2002-08"
"hardware-video-encoder","Hardware video encoder","platform","","2000s-present","emerging","mature","","dct-microsoft-media-center-rollout-2002-08"
"mp3","MP3","framework","","1995-present","mainstream","mature","","dct-microsoft-media-center-rollout-2002-08"
"windows-nt-4","Windows NT 4.0 Workstation","platform","Microsoft","1996-2003","legacy","end-of-life","EOL Jun 30 2003","1998-microsoft-nt-windows-2000-multi-user-computing-5f91e4; 1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08; aberdeen-1996-debunking-ntsmp-scalability-myth; dct-pc-replacement-insight1-2003-04; pc-refresh-or-refurb-smb-computing-6-37f090; pc-replacement-survey-one-size-fits-none-73e2e0; pc-replacements-lawyers-auditors-and-com-ce8ebb; topic-iia-pc-management-best-practices-2003-10"
"exchange-server-2003","Exchange Server 2003","application","Microsoft","2003-2014","emerging","legacy","","dct-pc-replacement-insight1-2003-04"
"office-2003","Office 2003","application","Microsoft","2003-2014","forthcoming","legacy","Months from release","dct-pc-replacement-insight1-2003-04; why-you-need-to-replace-those-windows-98-and-nt-ma-9b9622"
"intel-springdale","Intel Springdale 865/875 chipset","platform","Intel","2003-2008","forthcoming","legacy","800 MHz FSB","dct-pc-replacement-insight1-2003-04"
"intel-centrino","Intel Centrino platform","platform","Intel","2003-2010","emerging","legacy","First-gen wireless mobile platform","dct-pc-replacement-insight1-2003-04; dct-traveling-with-centrino-2003-05; purchasing-mag-high-tech-supply-chains-2-fc2a91; review-gateway-notebook-with-intel-centr-985a73; technology-news-hardware-intel-unveils-l-1f420a; why-you-need-to-replace-those-windows-98-and-nt-ma-9b9622"
"w95-tenrobot","W95.Tenrobot virus","application","","2003","active-threat","extinct","April 3 2003 discovery","dct-pc-replacement-insight1-2003-04; why-you-need-to-replace-those-windows-98-and-nt-ma-9b9622"
"portable-pc","Portable/Notebook PC","platform","","1983-present","mainstream","mature","IDC: long-term growth driver","dct-personal-it-forecast-research-2001"
"pc-server","PC Server","platform","","1990s-present","mainstream","mature","Harte-Hanks: 50% increase in buying plans Q4 2000","dct-personal-it-forecast-research-2001"
"rambus-rdram","Rambus DRAM (RDRAM)","platform","Rambus","1999-2005","emerging","failed","PSK disagrees with Toshiba's assessment of weak demand","dct-personal-it-forecast-research-2001; dct-why-aberdeen-follows-pc-deals-2002"
"sdram","SDRAM","platform","","1993-present","mature","legacy","128-Mbit spot price <$2 in mid-2001","dct-personal-it-forecast-research-2001; dct-why-aberdeen-follows-pc-deals-2002"
"dram-64mbit","64-Mbit DRAM","platform","","1998-2005","mainstream","obsolete","Yokkaichi 7M/month output","dct-personal-it-forecast-research-2001"
"dram-128mbit","128-Mbit DRAM","platform","","2000-2008","emerging","obsolete","Spot <$2","dct-personal-it-forecast-research-2001"
"dram-256mbit","256-Mbit DRAM","platform","","2001-2010","emerging","legacy","Target for newer process","dct-personal-it-forecast-research-2001"
"dram-512mbit","512-Mbit DRAM","platform","","2002-2012","emerging","legacy","Toshiba 0.13-micron Q4 2001","dct-personal-it-forecast-research-2001"
"sram","SRAM","platform","","1970s-present","mature","mature","Yokkaichi 1M/month 4-Mbit","dct-personal-it-forecast-research-2001"
"process-0-20-micron","0.20-micron process","platform","","1998-2002","mainstream","obsolete","Phased out by Toshiba","dct-personal-it-forecast-research-2001"
"process-0-13-micron","0.13-micron process","platform","","2001-2005","emerging","obsolete","Toshiba migration target","dct-personal-it-forecast-research-2001"
"adsl","Asymmetric Digital Subscriber Line (ADSL)","protocol","","1998-2015","emerging","legacy","Japan rollout lowering Internet costs","1997-cabletron--discovering-the-beacon-u-2d44d5; aberdeen-1996-omnibox-interactive-broadcasting-network; dct-personal-it-forecast-research-2001"
"internet-access","Internet Access","platform","","1990s-present","emerging","mature","Japan PC sales driver","dct-personal-it-forecast-research-2001"
"email","Email","application","","1970s-present","mature","mature","First-time PC buyer driver in Japan","dct-personal-it-forecast-research-2001"
"soho-equipment","SOHO office equipment, networking, access","category","","1990s-present","mature","mature","","dct-personal-it-practice-launch-2001"
"pc-microprocessor","PC microprocessor","platform","","1980s-present","mature","mature","","dct-personal-it-practice-launch-2001"
"consumer-os","Consumer-oriented operating systems","platform","","1990s-present","mature","mature","","dct-personal-it-practice-launch-2001"
"digital-appliance","Digital appliance (consumer)","category","","2000-present","emerging","mature","","dct-personal-it-practice-launch-2001"
"personal-storage","Personal storage","category","","1990s-present","mature","mature","","dct-personal-it-practice-launch-2001"
"printing-imaging","Printing and imaging","category","","1980s-present","mature","mature","","dct-personal-it-practice-launch-2001"
"tv-stereo-convergence","TV & stereo convergence","category","","2000-present","emerging","mature","","dct-personal-it-practice-launch-2001"
"ieee-802-11b","IEEE 802.11b WiFi","protocol","","1999-2010","emerging","legacy","","dct-personal-it-practice-launch-2001"
"three-g-wireless","3G wireless","protocol","","2001-2015","emerging","legacy","","dct-personal-it-practice-launch-2001"
"broadband-access","Broadband consumer access","protocol","","2000-present","emerging","mature","Last-mile","dct-personal-it-practice-launch-2001"
"home-network","Home networking","category","","2000-present","emerging","mature","","dct-personal-it-practice-launch-2001"
"home-media-server","Home Media Server","platform","","2001-present","emerging","mature","Core category 2","dct-pit-service-offering-2002; dct-webinar-announcement-2002-11"
"pc-ce-convergence","PC-CE Convergence","platform","","2000-2010","emerging","legacy","","dct-pit-service-offering-2002"
"home-pna","HomePNA","protocol","","1998-2010","emerging","obsolete","Home networking over phone lines","dct-pit-service-offering-2002; dct-webinar-nov-2002"
"display-ui","Displays/UI/Usability","platform","","2000-present","mainstream","mature","Core category 4","dct-pit-service-offering-2002"
"internet-cable-enablement","Internet/Cable Enablement","platform","","2000-present","emerging","mature","Core category 5","dct-pit-service-offering-2002"
"aberdeen-snapshot","Aberdeen Supplier Snapshot","application","Aberdeen Group","1990s-2010","mature","obsolete","Web-hosted vendor profile","dct-pitas-agreement-template-2002"
"aberdeen-profile","Aberdeen Profile","application","Aberdeen Group","1990s-2010","mature","obsolete","Publication format","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001; aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001; dct-pitas-agreement-template-2002"
"aberdeen-insight","Aberdeen InSight","application","Aberdeen Group","1990s-2010","mature","obsolete","Publication format","dct-pitas-agreement-template-2002"
"aberdeen-white-paper","Aberdeen White Paper","application","Aberdeen Group","1990s-2010","mature","obsolete","Publication format","dct-pitas-agreement-template-2002"
"ieee-802-11a","IEEE 802.11a WiFi","protocol","","1999-2010","emerging","legacy","","dct-segment-priorities-matrix-2003"
"pna","HomePNA phoneline networking","protocol","","1998-2010","emerging","obsolete","","dct-segment-priorities-matrix-2003"
"powerline-networking","Powerline home networking","protocol","","2000-present","emerging","mature","","dct-segment-priorities-matrix-2003"
"home-automation","Home automation","category","","2000-present","emerging","mature","","dct-segment-priorities-matrix-2003"
"cellular-data","Cellular data (2G/3G)","protocol","","2000-present","emerging","mature","","dct-segment-priorities-matrix-2003; dct-sony-personal-electronic-vision-2002"
"personal-firewall","Personal firewall","application","","2000-present","mature","mature","","2002-wireless-lan-security-an-adolescent-market-88de03; dct-segment-priorities-matrix-2003; goremote-profile-5-2a-8fa814"
"pim","Personal Information Management (PIM)","application","","1990s-present","mature","mature","","dct-segment-priorities-matrix-2003"
"location-services","Location-based services","protocol","","2000-present","emerging","mature","","dct-segment-priorities-matrix-2003"
"entertainment-server","Home Entertainment Server","platform","","2001-present","emerging","mature","Audio/video storage, DVD, CDRW, VCR input","dct-sony-personal-electronic-vision-2002"
"wireless-repeater","Wireless Repeater","platform","","2000-present","emerging","mature","","dct-sony-personal-electronic-vision-2002"
"networked-game-box","Networked Game Box","platform","","2001-present","emerging","mature","","dct-sony-personal-electronic-vision-2002"
"wireless-mp3-player","Wireless MP3 Player","platform","","2001-2015","emerging","obsolete","","dct-sony-personal-electronic-vision-2002"
"voip-phone","VOIP Phone","platform","","2000-present","emerging","mature","Wireless base + answering + VOIP","dct-sony-personal-electronic-vision-2002"
"laptop-pocket-pc","Laptop/Pocket PC","platform","","1990s-present","mature","legacy","","dct-sony-personal-electronic-vision-2002"
"pc-docking-module","PC Docking Module","platform","","2000-present","emerging","mature","","dct-sony-personal-electronic-vision-2002"
"pda-communicator","PDA/Communicator","platform","","1996-2010","mainstream","obsolete","Replaced by smartphone","dct-sony-personal-electronic-vision-2002"
"hdtv-tuner","HDTV Tuner","platform","","2000-present","emerging","legacy","","dct-sony-personal-electronic-vision-2002"
"wlan","Wireless LAN","protocol","","1999-present","emerging","mature","Part of gateway stack","2002-wireless-lan-security-an-adolescent-market-88de03; dct-sony-personal-electronic-vision-2002"
"gps-navigation","GPS/Maps","platform","","1990s-present","mainstream","mature","Telematics","dct-sony-personal-electronic-vision-2002"
"rear-seat-entertainment","Rear-Seat Entertainment","platform","","2000-present","emerging","mature","Gaming/video","dct-sony-personal-electronic-vision-2002"
"drive-by-wifi","Drive-by WiFi","platform","","2002-2010","emerging","obsolete","Location-based services","dct-sony-personal-electronic-vision-2002"
"satellite-internet","Satellite Internet Link","protocol","","2000-present","emerging","mature","","dct-sony-personal-electronic-vision-2002"
"dvd-player","DVD Player","platform","","1997-2015","mature","obsolete","","dct-sony-personal-electronic-vision-2002"
"cd-rw","CD-RW","platform","","1997-2010","mature","obsolete","","dct-sony-personal-electronic-vision-2002; iha-full-report---draft-jul-28-41de81"
"firewall-router","Firewall Router","platform","","1995-present","mature","mature","Integrated into gateway","dct-sony-personal-electronic-vision-2002"
"pc-peripheral","PC peripheral","category","","1980s-present","mature","mature","Category","dct-supplier-list-2002"
"consumer-software","Consumer applications and services","category","","1990s-present","mature","mature","","dct-supplier-list-2002"
"leisure-entertainment-tech","Leisure and entertainment technology","category","","2000s-present","emerging","mature","","dct-supplier-list-2002"
"intel-pentium-m","Intel Pentium M","hardware","Intel","2003-2008","new","discontinued","Low-power mobile CPU","dct-traveling-with-centrino-2003-05; purchasing-mag-high-tech-supply-chains-2-fc2a91; review-gateway-notebook-with-intel-centr-985a73; technology-news-hardware-intel-unveils-l-1f420a"
"intel-pentium-iii","Intel Pentium III","hardware","Intel","1999-2007","legacy","discontinued","Prior mobile CPU generation","dct-traveling-with-centrino-2003-05; dct-weekly-2002-10-06; infoworld-dell-sharpens-blade-attack-nee-f9cb9c"
"gateway-450","Gateway 450","hardware","Gateway","2003-2005","new","discontinued","Early Centrino desktop-replacement notebook","dct-traveling-with-centrino-2003-05"
"compaq-tc1000","Compaq TC 1000","hardware","Compaq","2002-2004","mature","discontinued","Prior tablet with built-in WiFi","dct-traveling-with-centrino-2003-05"
"ati-mobility","ATI Mobility","hardware","ATI","2001-2010","mature","legacy","Mobile GPU line","dct-traveling-with-centrino-2003-05"
"wifi-80211a","802.11a WiFi","protocol","IEEE","1999-2010","new","legacy","5 GHz, summer 2003 rollout","dct-traveling-with-centrino-2003-05; technology-news-hardware-gateway-goes-gi-4af738; urban-wifi-gridlock-eweek-2003-kastner-r-2e0114"
"wifi-80211g","802.11g WiFi","protocol","IEEE","2003-2013","new","legacy","2.4 GHz, 54 Mbps; predicted 2004","dct-traveling-with-centrino-2003-05; technology-news-hardware-gateway-goes-gi-4af738; urban-wifi-gridlock-eweek-2003-kastner-r-2e0114"
"ddr-memory","DDR SDRAM","hardware","multiple","2000-2007","mature","legacy","512MB in Gateway 450","dct-traveling-with-centrino-2003-05; intel-ia2004-pk4-kc-edits-de9c37"
"thin-and-light-notebook","Thin-and-Light Notebook","platform","multiple","1998-present","mature","current","~4lb class","dct-traveling-with-centrino-2003-05"
"desktop-replacement-notebook","Desktop Replacement Notebook","platform","multiple","2000-present","mature","current","~6lb class","dct-traveling-with-centrino-2003-05"
"ieee-1394","IEEE 1394 FireWire","protocol","","1995-2010","mainstream","legacy","","dct-video-market-segmentation-2002"
"analog-tv","Analog TV input/output","protocol","","1940s-2009","mature","obsolete","","dct-video-market-segmentation-2002"
"digital-tv","Digital TV input/output","protocol","","2000-present","emerging","mature","","dct-video-market-segmentation-2002"
"agp-bus","AGP bus","protocol","","1997-2008","mainstream","obsolete","","dct-video-market-segmentation-2002"
"nvidia-geforce-3","nVidia GeForce 3","platform","NVIDIA","2001-2004","mainstream","legacy","Eltra OEM with DTV out $300-$400","dct-video-market-segmentation-2002"
"ati-radeon-8500","ATI Radeon 8500 / 8500DV","platform","ATI","2001-2004","mainstream","legacy","","dct-video-market-segmentation-2002"
"ati-all-in-wonder","ATI All-in-Wonder Radeon","platform","ATI","1997-2008","mainstream","discontinued","$165","dct-video-market-segmentation-2002"
"ati-tv-wonder","ATI TV Wonder","platform","ATI","1999-2007","mainstream","discontinued","$80","dct-video-market-segmentation-2002"
"nvidia-personal-cinema","nVidia Personal Cinema","platform","NVIDIA","2001-2004","emerging","discontinued","","dct-video-market-segmentation-2002; nvidia-personal-cinema-lab-report-2002"
"adobe-premiere","Adobe Premiere","application","Adobe","1991-present","mainstream","mature","","dct-video-market-segmentation-2002"
"adobe-golive","Adobe GoLive","application","Adobe","1999-2008","mainstream","discontinued","","dct-video-market-segmentation-2002"
"mobile-convergence-device","Mobile Convergence Device","platform","","2002-present","emerging","mature","Voice+data wireless precursor to smartphone","dct-webinar-announcement-2002-11; dct-webinar-nov-2002"
"3g-wireless","3G Wireless Networks","protocol","","2001-2020","emerging","obsolete","Slower emergence than expected","2003-aberdeen-group-free-research-aberdeen-insights-1-968e18; dct-webinar-announcement-2002-11"
"wireless-convergence","Converged voice+data wireless","platform","","2002-2010","emerging","legacy","Hottest emerging segment","dct-webinar-announcement-2002-11"
"dct-framework","Digital Consumer Technology (DCT) Framework","framework","Aberdeen Group","2002-2004","emerging","historical","Rebranded successor to DCEIT; retained six-player taxonomy","dct-webinar-nov-2002"
"picture-messaging-mms","Picture Messaging (MMS)","protocol","3GPP","2002-2010","emerging","legacy","Highlighted as 'What's Hot' mobile driver","dct-webinar-nov-2002"
"3g-cellular","3G Cellular Networks","protocol","3GPP/3GPP2","2003-2015","emerging","legacy-supported","Predicted 3+ years from reality as of Nov 2002","dct-webinar-nov-2002"
"flat-rate-data-plan","Flat-Rate Mobile Data Plan","application","Multi-carrier","2002-present","emerging","active","Cited as emerging pricing model","dct-webinar-nov-2002"
"media-server","Home Media Server","platform","HP/Intel/Sony/multi","2002-2012","emerging","mature","Category defined in this deck; precursor to streaming boxes and smart TVs","dct-webinar-nov-2002"
"hp-media-center","HP Media Center (Freestyle)","platform","Hewlett-Packard","2002-2007","emerging","discontinued","Purpose-built media PC","dct-webinar-nov-2002"
"intel-media-pc","Intel Media PC Reference Design","platform","Intel","2002-2008","emerging","superseded","Reference design for OEM media PCs","dct-webinar-nov-2002"
"sony-cocoon","Sony CoCoon","platform","Sony","2003-2006","emerging","discontinued","Japan-market network-connected PVR","dct-webinar-nov-2002"
"fair-use-drm","Fair Use DRM","framework","multi-vendor","2002-present","emerging","active","Media Center requirement","dct-webinar-nov-2002"
"htdp","HDTP (Digital Transmission Content Protection)","protocol","DTLA","2001-present","emerging","active","Content-protection layer","dct-webinar-nov-2002"
"dtcp-ip","DTCP over IP","protocol","DTLA","2002-present","emerging","active","Digital transmission protection for IP links","dct-webinar-nov-2002; intel-idf-pk-notes-3-6666da"
"media-center-pc","Windows Media Center PC","form-factor","","2002-2014","emerging","unknown [REVIEW]","Referenced in weekly PC Deals commentary 2002-10-27","dct-weekly-2002-10-27; dct-weekly-2002-12-15; dct-weekly-2003-01-19; dct-weekly-2003-03-23; dct-weekly-2003-04-06; dct-weekly-2003-06-22; dct-weekly-2003-07-13; dct-weekly-2003-07-26; dct-weekly-2003-08-03; dct-weekly-2003-08-10; dct-weekly-2003-08-17; dct-weekly-2003-08-24; technology-news-hardware-intel-ships-gra-47f656"
"hyper-threading","Intel Hyper-Threading Technology","cpu-feature","Intel","2002-present","emerging","unknown [REVIEW]","Referenced in weekly PC Deals commentary 2002-11-14","dct-weekly-2002-11-14-p4-ht; dct-weekly-2002-11-17; dct-weekly-2003-01-19; dct-weekly-2003-01-26; dct-weekly-2003-03-09; dct-weekly-2003-04-06; dct-weekly-2003-04-13; dct-weekly-2003-04-20; dct-weekly-2003-05-11; dct-weekly-2003-05-18; dct-weekly-2003-06-22; dct-weekly-2003-07-06; dct-weekly-2003-07-13; dct-weekly-2003-07-26; dct-weekly-2003-08-03; dct-weekly-2003-08-10"
"dvd-rw","DVD+RW/+R","storage","","2001-2010","emerging","unknown [REVIEW]","Referenced in weekly PC Deals commentary 2002-12-22","dct-weekly-2002-12-22; dct-weekly-2003-03-23; dct-weekly-2003-04-06; dct-weekly-2003-04-20; dct-weekly-2003-06-08; dct-weekly-2003-07-26; dct-weekly-2003-08-03; dct-weekly-2003-08-10; dct-weekly-2003-08-17; dct-weekly-2003-08-24"
"intel-celeron-m","Intel Celeron M","processor","Intel","2003-2009","emerging","unknown [REVIEW]","Referenced in weekly PC Deals commentary 2003-04-06","dct-weekly-2003-04-06; technology-news-hardware-intel-unveils-l-1f420a"
"17-inch-lcd","17-inch LCD Monitor","display","","2002-present","emerging","unknown [REVIEW]","Referenced in weekly PC Deals commentary 2003-04-13","dct-weekly-2003-04-13"
