"collection","study_id","title","date","author","n_entities","n_technologies","n_observations","n_codes","importance","relevance","prescience"
"kastner-author","dec-primer-comparing-debit-credit-tests--c30cfa","A Primer on Comparing Debit Credit Tests (Kastner, DEC CSG, 1988)","1988-01-01","Peter S. Kastner — DEC Corporate Systems Group, Competitive Marketing Programs","6","10","11","41","high","high","high"
"kastner-author","dec-zahavi-debit-credit-vaxclusters-1988-1a9e2e","DEC Zahavi Memo: Debit-Credit Benchmark on VAXclusters (March 1988)","1988-03-04","Bill Zahavi, DEC TP Systems Performance Analysis (HYPER::BZAHAVI)","4","8","8","36","high","high","medium"
"kastner-author","dectp92-0ca51c","Digital's VAX: Alive and Kicking With TPC Benchmarks","1992-03-15","Peter S. Kastner","6","8","15","23","high","low","medium"
"kastner-author","dell-ars-white-paper-prod-7-11m-c60434","Dell Asset Recovery Services: a Trustworthy Partner for Eliminating Aging IT Assets","2003-07","Peter S. Kastner","6","5","21","32","medium","medium","medium"
"kastner-author","dell-ars-wp-2-72fd7f","Dell Asset Recovery Services: Remove, Recycle, or Resell — An Executive White Paper","2003-11-01","Peter S. Kastner","12","4","32","24","medium","high","high"
"kastner-author","dell-precision-workstations-3-581e89","Dell Precision: Performance and Reliability for Workstation Class Applications (Q2 FY04)","2004-06-01","Dell Inc. (provided to Aberdeen Group under NDA)","6","14","24","23","medium","low","high"
"kastner-author","dell-sap-v6-d08820","Dell, Oracle & Linux: Your Next SAP Platform? A Major EBA Replacement Cycle is Underway","2004-05-01","Peter S. Kastner (Executive Vice President, Technology Research, Aberdeen Group)","10","17","27","23","high","high","high"
"kastner-author","dell-sd2-final-d6e78c","Asset Recovery Services Field Guide: A New Way to Strengthen Relationships and Increase Sales","2003-2004","Peter S. Kastner","3","4","15","29","low","medium","low"
"kastner-author","dell-services-kastner-051904-4-87b363","Dell Services — Discussion Materials","2004-05-19","Peter S. Kastner (Executive VP, Research, Aberdeen Group)","6","5","33","24","medium","high","high"
"kastner-author","desktop-virtualization-roi---aberdeen-8fa168","Measuring the Returns from a Desktop Virtualization Program","2011-09","Dick Csaplar","3","9","28","28","medium","medium","medium"
"kastner-author","docucorp-3c562a","DocuCorp Consulting Project Plan (Aberdeen Group, ~June 2000)","2000-06-01","Peter S. Kastner / Aberdeen Group","3","0","11","25","low","low","not-applicable"
"kastner-author","dubtech-1996-29d4f9","Aberdeen Group at DubTech '96 — Khaleej Times Photo Caption","1996-03-23","Khaleej Times","10","0","7","23","medium","low","not-applicable"
"kastner-author","debit-credit-ibm-dec-1988-2-2fc147","The 1988 DEC DECtp Benchmark Tests: IBM 3090 DB2 Performance Controversy","2024","AI-generated analysis","7","6","20","29","medium","medium","not-applicable"
"kastner-author","dec-mgmt-memo-v7n5-state-of-company-1988-6a9954","MGMT MEMO Volume 7, Number 5 — Digital's State of the Company Meeting","1988-07-01","Digital Equipment Corporation (Richard Seltzer, editor)","23","28","48","32","high","high","medium"
"kastner-author","dec-resume-performance-review-3-1f133b","Peter S. Kastner — Resume and Performance Review (DEC Application, c.1987)","1987","Peter S. Kastner","7","3","20","26","high","low","not-applicable"
"kastner-author","dectp-genspark-research2-4-a09a82","Deep Research on 1988 DECtp: Digital Equipment's Transaction Processing Launch","2024-2025","Genspark AI","9","8","25","25","medium","medium","not-applicable"
"kastner-author","dtj-v03-01-tp-and-fault-tolerant-1991-cf078c","Digital Technical Journal — Transaction Processing, Databases, and Fault-tolerant Systems (Volume 3, Number 1, Winter 1991)","1991-01-01","Digital Equipment Corporation","36","28","40","35","high","high","high"
"kastner-author","2001-fletcher-spaght-3bb872","Fletcher Spaght Inc. — Growth Strategies for New/Evolving Businesses (Aberdeen Engagement)","2001","Fletcher Spaght Inc.","11","5","33","50","high","high","high"
"kastner-author","2001-kickoff---research-099232","Aberdeen Group January 2001 Research Meeting","2001-01","Peter S. Kastner / Aberdeen Group","7","1","14","32","high","high","medium"
"kastner-author","2001-kickoff-content-1db48b","Aberdeen Group 2001 Kickoff — Enhanced Practice Opportunities","2001-01","Peter S. Kastner / Aberdeen Group","1","2","5","27","medium","high","low"
"kastner-author","aas-launch-package-aug-2001-b4a001","Advisory Access Service (AAS) Launch Package: Kastner-to-Willmott Status Memo + Marketing Collateral (August 2001)","2001-08","Peter S. Kastner / Aberdeen Group","7","12","33","25","high","high","medium"
"kastner-author","aas-operational-playbooks-aug-2001-b5a001","Aberdeen AAS Operational Playbooks (August 2001): Engaging Aberdeen Workshop, Briefing Workshop, Market Knowledge Methodology, and Activity Methodologies","2001-08","Aberdeen Group / Peter S. Kastner (program owner)","8","11","28","25","high","high","medium"
"kastner-author","aas-sales-tools-pricing-aug-2001-b5b001","Aberdeen AAS Sales Tools, Proposals, and Pricing Economics (August 2001): Repricing Memo, Client Profile Template, Impact Proposal, Market Knowledge Proposal Template, and Consulting Revenue Analysis","2001-08","Peter S. Kastner / Aberdeen Group","8","16","29","24","high","high","medium"
"kastner-author","aberdeen-company-profile-post-kastner-b01a12","Aberdeen Group Company Profile (Post-Kastner Leadership Era)","2009-01-01","Aberdeen Group corporate","10","1","10","24","high","medium","not-applicable"
"kastner-author","aberdeen-corporate-collateral-2001-v2-b4b001","Aberdeen Group Corporate Collateral Set (2001): Background Presentation, Web Presentation 7/01, 11x17 Overview, Positioning Assistance, Research Capabilities, Success Stories","2001-07","Aberdeen Group / Peter S. Kastner (approving)","7","21","28","24","medium","high","medium"
"kastner-author","aberdeen-corporate-collateral-combined-1-9674e4","Aberdeen Group Market Analysis and Positioning Services — Corporate Collateral Combined (December 2000)","2000-12","Peter S. Kastner / Aberdeen Group","1","3","20","40","medium","high","medium"
"kastner-author","aberdeen-corporate-presentation-98680d","Aberdeen Group Market Analysis and Positioning Services for Business Technology — Corporate Presentation","2000","Peter S. Kastner / Aberdeen Group","4","3","18","39","medium","medium","medium"
"kastner-author","aberdeen-cp-100-builds-274224","Aberdeen's Competitive Landscape — CP 100 Builds","2000","Peter S. Kastner / Aberdeen Group","3","1","4","28","low","medium","low"
"kastner-author","aberdeen-group-intro-slides-7673aa","Aberdeen Group Intro Slides","2000","Peter S. Kastner / Aberdeen Group","1","1","7","30","low","medium","low"
"kastner-author","aberdeen-overview-presentation-v10-29-a665b8","Market Analysis and Positioning Services for Business Technology — Aberdeen Group Overview Presentation","2000-10","Peter S. Kastner / Aberdeen Group","1","4","18","39","medium","medium","medium"
"kastner-author","aberdeen-practice-definitions-compendium-2000-b7a001","Aberdeen Group Practice Definitions Compendium — Web/Internal Templates (January 2000)","2000-01","Aberdeen Group practice coordinators (multi-author): Jack Maynard, Karen Moser, Katherine Jones, Steve Lane, James Ayube, David Hofferberth (EAS); Valerie O'Connell (Enterprise Management); Wayne Kernochan, Dave Hill, Dan Tanner (Platform Infrastructure); Joyce Becknell, James Gruener (Platforms Group); Suresh Chakravarthy, Bill Claybrook, Riddhi Patel (Platforms Group contributors); David Alschuler (B-to-B e-Business & Supply Chain Management); anonymous (Data Knowledge / Decision Support / Knowledge Management)","68","50","35","28","high","high","high"
"kastner-author","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001","Aberdeen Group 2000 Productization, Pricing, and Survey Research Program (e-Profile, Market Analysis Service, Publication Pricing Schedule, e-Business@Aberdeen Survey Calendar)","2000-2001","Aberdeen Group (multi-author): Hugh Bishop (e-Profile January 2000); Aberdeen Group / David Wright / ETI (Market Analysis Service June 2001); Aberdeen Pricing Committee (Publication Pricing 2000 — Peter Kastner sign-off threshold); e-Business@Aberdeen.com analyst team (Tim Minahan, Donovan Gow, Kent Allen, Chris Martins, Karen Moser, Judith Rosall, Lara Abrams) for Survey Research Program 2000","16","25","31","28","high","high","high"
"kastner-author","aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001","Aberdeen Proposal Templates (Profile, AAS-Starter, Executive White Paper) and Retainer Business Strategy Deck (PSK Draft, 2001)","2001","Peter S. Kastner / Aberdeen Group","7","15","30","24","high","high","high"
"kastner-author","aberdeen-training-book-day-3-03cfc1","How To Write A Profile and How To Conduct A RAMP","2000-06","Peter S. Kastner / Aberdeen Group","3","5","33","51","high","high","medium"
"kastner-author","aberdeen-training-day-1-522863","Twelve Vital Hours For Your Career Success","2000-06","Peter S. Kastner / Aberdeen Group","8","3","32","43","high","high","high"
"kastner-author","aberdeen-training-day-2-representing-abe-38ef4b","How To Represent Aberdeen and Yourself (Twelve Vital Hours, Session 2)","2000-08","Peter S. Kastner / John Logan / Thomas Willmott / Aberdeen Group","13","8","34","24","high","high","medium"
"kastner-author","aberdeen-training-day-4-marketing-busine-601526","Marketing and Business Development Basics (Twelve Vital Hours, Session 4)","2000-08","Peter S. Kastner / John Logan / Thomas Willmott / Aberdeen Group","5","9","37","24","high","high","medium"
"kastner-author","aberdeen-workshop-qualifying-questions-and-success-stories-2001-b6a001","Aberdeen Workshop Qualifying Questions, Training Plan, and 2001 Customer Success Stories","2001","Aberdeen Group / Peter S. Kastner (program owner)","17","17","30","24","high","high","medium"
"kastner-author","bio-webfocus-bef516","Peter Kastner - Aberdeen Group Biography (~2001)","2001","Aberdeen Group","6","3","9","24","medium","medium","not-applicable"
"kastner-author","business-value-outsourcing-57ce57","The Business Value in IT Outsourcing","2006-05-25","Peter S. Kastner, Aberdeen Group","2","5","17","33","high","high","high"
"kastner-author","1999-retainer-contract-d3a385","1999 Aberdeen Group Retainer Services Proposal to Computer Associates","1998-11-20","Peter S. Kastner","4","2","9","27","medium","medium","not-applicable"
"kastner-author","ca-acapulco-cio-pcs-ncs-netpcs-1997-552b4c","PCs, NCs, and NetPCs — Where Do We Go From Here? (CA Acapulco CIO Conference 1997)","1997-05-01","Peter S. Kastner","7","6","10","27","high","medium","high"
"kastner-author","ca-customer-focused-selling-curriculum-38c507","Customer Focused Selling — Computer Associates Sales Training Curriculum","1998-01-01","Peter S. Kastner","3","2","6","27","medium","medium","not-applicable"
"kastner-author","ca-infrastructure-speech-chaos-or-cosmos-9cdfb1","IT Infrastructure: Are We Building Chaos or Cosmos? (CA-sponsored infrastructure keynote, 1998)","1998-01-01","Peter S. Kastner","3","3","11","29","high","medium","high"
"kastner-author","ca-interbiz-bizworks-profile-054f3c","interBiz Solutions BizWorks Profile — Management Command and Control for the E-World","1999-01-01","Peter S. Kastner","4","5","15","30","high","medium","low"
"kastner-author","ca-internet-app-dev-sales-training-1996-48db9c","An Overview of Internet Application Development (CA Sales Training June 1996)","1996-06-01","Peter S. Kastner","4","6","10","29","high","medium","high"
"kastner-author","ca-y2k-cfo-executive-exchange-1997-c59ca4","What Every CFO Should Know About the Year 2000 IT Tsunami (CA CFO Executive Exchange December 1997)","1997-12-03","Peter S. Kastner","3","2","8","26","high","medium","high"
"kastner-author","carepo-kastner-unicenter-jasmine-1996-1d5ffe","Aberdeen Group Assessment of Unicenter and Jasmine for Computer Associates","1996-12-01","Peter S. Kastner","18","8","18","32","high","medium","medium"
"kastner-author","letter-to-sanjay-kumar-ca-world-2001-d60b1b","Letter to Sanjay Kumar on CA World 2001","2001-07-19","Peter S. Kastner","10","0","10","28","high","high","medium"
"kastner-author","psa-category-created-hofferberth-57edb8","How PSA Was Codified: The Evolution of Professional Services Automation","2025-03-04","Ryan Kelly","15","4","25","26","high","high","high"
"kastner-author","enterprise-integration-perspective-2-cb6165","Why Aberdeen Group is Focusing on Enterprise IT Integration","2006-02-23","Peter S. Kastner","5","16","18","32","medium","medium","medium"
"kastner-author","enterprise-integration-perspective-d21c1b","Why Aberdeen Group is Focusing on Enterprise IT Integration","2006","Peter S. Kastner","5","12","12","32","medium","high","high"
"kastner-author","hp-mercury-soa-2006-pdf-80785e","HP Can Boost SOA Offerings with Acquisition of Mercury","2006-07-31","Peter S. Kastner","17","9","12","31","high","high","high"
"kastner-author","ma-ibm-webify-5e0d4b","IBM + Webify = Industry SOA Application Jumpstart","2006-08-03","Peter S. Kastner","11","15","18","31","medium","medium","medium"
"kastner-author","ndatemplate-3b4753","Aberdeen Group Mutual Confidentiality Agreement Template","2000-01-01","Aberdeen Group","2","0","7","24","low","medium","not-applicable"
"kastner-author","next-steps-soa-2006-0fdea1","Next Steps in SOA: Applications on the Network","2006-Q1","Peter S. Kastner","2","6","10","30","medium","high","high"
"kastner-author","psk-bio2004-939357","Biography of Peter S. Kastner, Chief Research Officer (2004)","2004","Peter S. Kastner / Aberdeen Group","6","4","12","25","medium","medium","not-applicable"
"kastner-author","psk-bio97-475934","Aberdeen Group Qualifications and Peter S. Kastner Biography (1997)","1997","Peter S. Kastner / Aberdeen Group","7","5","15","25","medium","medium","not-applicable"
"kastner-author","psk-ibmbio-fde139","Peter S. Kastner Biography for IBM Engagements (VP Era, c.1993-1995)","1993-1995","Peter S. Kastner / Aberdeen Group","7","5","7","25","low","medium","not-applicable"
"kastner-author","psk-litigate98-72601c","Aberdeen Group Litigation Support Experience Summary (c.1998)","1998","Peter S. Kastner / Aberdeen Group","16","6","15","27","medium","medium","medium"
"kastner-author","psk-litigation-b452e6","Peter S. Kastner -- Litigation Biography and Expert Witness Credentials","1998-01-01","Peter S. Kastner / Aberdeen Group","23","6","15","26","high","medium","not-applicable"
"kastner-author","psk-niopubs-3d103b","Peter S. Kastner -- EVP/CRO Biography, Publications List, and Career History","1999-01-01","Peter S. Kastner / Aberdeen Group","13","6","20","25","high","high","not-applicable"
"kastner-author","ra-bam-bpm-37679c","The Business Activity Monitoring Benchmark Report: The Eyes and Ears of BPM","2006-08","Peter S. Kastner, Aberdeen Group","2","7","62","27","medium","medium","medium"
"kastner-author","ra-bpm-2006-f5a558","The Business Process Management Benchmark Report: Achieving Real Results through Monitoring and Performance Measurement","2006-08","Peter S. Kastner, Aberdeen Group","4","8","120","37","medium","medium","medium"
"kastner-author","ra-composite-apps-289c2f","The Composite Applications Benchmark Report: How SOA Standards Are Accelerating Business Change","2006-12","Rick Saia and Peter S. Kastner, Aberdeen Group","5","17","90","29","medium","medium","medium"
"kastner-author","ra-enterprise-apps-312ba4","Achieving More Value from Enterprise Applications","2006-05","Peter S. Kastner, Aberdeen Group","6","21","82","29","medium","medium","medium"
"kastner-author","soa-aon-webinar-31973c","Enterprise Integration Technology: Aberdeen Group's Market Trends & Research for 2006","2006-02-22","Peter S. Kastner, Aberdeen Group","5","13","28","32","high","high","high"
"kastner-author","soa-bpm-legacy-renewal-bce60f","Embracing the Future: The Case for Integrating SOA and BPM in Legacy Application Renewal","~2023-2026","Peter S. Kastner (AI-assisted)","2","5","22","27","low","medium","low"
"kastner-author","soa-lifecycle-perspective-1ff953","Application Lifecycle Management: Used by the Best of the Best in Class","2007-03-08","Rick Saia; Peter S. Kastner","3","8","31","28","medium","medium","medium"
"kastner-author","soa-overview-docx-12612f","Summary of Peter Kastner's Research on Service-Oriented Architecture (SOA)","2024-2026","Peter S. Kastner (AI-assisted summary)","2","4","10","29","medium","high","high"
"kastner-author","soa-with-bpm-docx-1211c7","Summary of Peter Kastner's Research on BPM and SOA","2024-2026","Peter S. Kastner (AI-assisted summary)","2","4","9","29","medium","high","high"
"kastner-author","adl-ase-asep-two-way-power-communications-1979-b8c001","ADL Client AS&E ASEP: Two-Way Power-Line Communications and Time-of-Day Metering (1979)","1979-01-01","Peter S. Kastner","7","5","11","28","medium","high","high"
"kastner-author","adl-commercial-engagements-kastner-1972-1979-b8b001","Kastner's ADL Commercial Engagements: Chase Manhattan TOOS, UFRJ Brazil Hospital, Houghton Mifflin, Ocean Spray, and Other Industry Studies (1972-1979)","2025-04-01","Peter S. Kastner","28","25","37","30","high","high","not-applicable"
"kastner-author","adl-public-safety-911-cad-systems-1973-1979-b8a001","ADL Public Safety / 911 CAD Systems: Boston, Philadelphia, Minneapolis, Aurora, and St. Petersburg (1973-1979)","2025-08-15","Peter S. Kastner","20","9","23","31","high","high","not-applicable"
"kastner-author","2004-obian-advisory-board-9ebf6a","Obian Advisory Board (Kastner as Aberdeen Senior VP, Pre-Obian Employment)","2004-08-03","Obian Group corporate","10","4","5","25","medium","low","not-applicable"
"kastner-author","phi-legacy-in-wang-labs-runaway-horse-1995-b8e001","PHI Legacy in Wang Laboratories: Charles Kenney's 'Riding the Runaway Horse' — Chapter 4 'I Have to Do This to Save My Company' (1995)","1995-01-01","Charles C. Kenney","36","7","27","29","high","high","not-applicable"
"kastner-author","phi-psd-brochure-and-kastner-engagements-1969-1972-b8d001","PHI Computer Services Professional Services Division: Brochure with Kastner Profile, Memoir of Junior Programmer Era, and PHI Engagements (1969-1972)","2025-04-01","Peter S. Kastner","27","25","32","31","high","high","not-applicable"
"kastner-author","prime-industry-product-5-year-plan-1981-0a3546","Prime Computer — Industry Product Requirements Plan (Five-Year Plan, July 1981, COMPANY CONFIDENTIAL)","1981-07-15","Peter Kastner & Others — Prime Computer Inc., Market Planning and Management Department","21","29","45","23","high","medium","high"
"kastner-author","ieee-db-stratus-32-psk-1d4564","A Fault-Tolerant Transaction Processing Environment (Stratus/32, IEEE Database Engineering, June 1983)","1983-06-01","Peter S. Kastner — Stratus Computer, Inc.","7","14","28","23","high","medium","high"
"kastner-author","stratus-banks-on-ft-cbn-1982-38dc47","Stratus Banks on Fault-Tolerant Systems' Success — Computer Business News, 7 June 1982 (PSK extensively quoted)","1982-06-07","Peter Bochner (Computer Business News)","9","9","9","25","high","medium","high"
"kastner-author","stratus-computer-is-down-mfg-ad-1985-881b7a","Stratus 'The Computer is Down' Manufacturing Plant-Floor Ad, 1985 — PSK as named contact","1985-01-01","Stratus Computer (corporate marketing — Kastner-era)","6","5","3","26","high","medium","medium"
"kastner-author","stratus-fault-tolerant-mkt-info-systems-1984-eb925f","Fault-Tolerant Systems Special Report — Information Systems News, 6 August 1984 (PSK at Stratus)","1984-08-06","Omri Serlin; Paul E. Schindler Jr.; Jean S. Bozman (Information Systems News)","15","6","8","24","high","medium","high"
"kastner-author","stratus-foster-acm-speech-pr-1982-16a134","Stratus Press Release — William Foster ACM Annual Conference Speech, 27 October 1982 (Kastner as media contact)","1982-10-18","Stratus Computer (corporate communications — Kastner-era)","7","3","4","24","high","high","high"
"kastner-author","stratus-ft-market-2b-1987-da450e","Fault-Tolerant Market To Hit $2 Billion in '87 — trade press, 1987 (PSK at Stratus quoted)","1987-01-01","S.K. (staff)","9","3","5","24","high","medium","high"
"kastner-author","stratus-ft-market-continued-1987-5105d7","Fault Tolerant — continued (NCR, Tandem low-cost, Tolerant Systems) — trade press, 1987 (companion clipping)","1987-01-01","S.K. (staff)","5","3","3","23","medium","medium","high"
"kastner-author","stratus-newcomers-tandem-eet-1982-24ae59","Newcomers Invade Fault-Tolerant Field, But Tandem Has Big Lead — Electronic Engineering Times, 24 May 1982 (PSK quoted)","1982-05-24","Electronic Engineering Times staff","11","6","10","24","high","medium","medium"
"kastner-author","stratus-olivetti-europe-1982-f4ae50","Stratus Expands in Europe — Olivetti $40M OEM Deal, c.1982 (PSK as Stratus communications director)","1982-04-01","Robert Schneider (local newspaper staff)","9","2","6","24","high","medium","medium"
"kastner-author","stratus-sequoia-comeback-marlboro-1987-e725fa","Sequoia Surprises Competition With Comeback — Marlboro Enterprise / Hudson Daily Sun, 16 October 1987 (PSK at Stratus quoted)","1987-10-16","Scott McLennan (Marlboro Enterprise / Hudson Daily Sun)","7","3","7","23","high","medium","high"
"kastner-author","stratus-xa2000-aba-banking-journal-ad-1987-ce9ddf","Stratus XA2000 'Once Again, Stratus Catches the Competition With Their Computers Down' — ABA Banking Journal Ad, 1987 (PSK as named contact)","1987-02-01","Stratus Computer (corporate marketing — Kastner-era)","3","3","3","25","high","low","medium"
"kastner-author","stratus-xa2000-launch-cw-1987-11913f","Stratus Readies XA2000 Series to Take on Tandem High End — Computerworld, 2 February 1987 (PSK + Foster quoted)","1987-02-02","James Connolly (Computerworld)","8","7","8","24","high","medium","high"
"kastner-author","encore-b7c40d","OLTP Market Analysis for Encore Computer Series 90","1990-01-01","Peter S. Kastner","9","8","18","23","medium","low","medium"
"kastner-author","ft-mitfor~1-a56a9d","Who Cares If The Computer Breaks?","1995-10-01","Peter S. Kastner","5","7","24","27","medium","high","high"
"kastner-author","goremote-profile-5-2a-8fa814","GoRemote Is Unifying Secure Remote Access Services","2003-09","Peter S. Kastner","19","15","25","31","medium","medium","high"
"kastner-author","hp-analyst-phone-call-6-204870","HP Pre-Summit Analyst Phone Call — Kastner Feedback","2003-09-01","Peter S. Kastner (Aberdeen Group, Chief Research Officer)","15","7","32","23","high","high","high"
"kastner-author","hp-can-boost-soa-offerings-with-acquisit-48e07e","HP Can Boost SOA Offerings with Acquisition of Mercury","2006-07-31","Peter S. Kastner","16","12","23","31","high","high","high"
"kastner-author","hp-compaq-blackmore-7-7f30a3","Letter to Peter Blackmore (Compaq EVP Sales & Services) — Post-9/11 HP-Compaq Merger Follow-up","2001-09-15","Peter S. Kastner (Aberdeen Group, Chief Research Officer)","7","1","8","23","medium","medium","not-applicable"
"kastner-author","hp-compaq-kastner-insight1-a5a4e0","The HP-Compaq Merger: If There's the Will, There's a Way","2001-09-06","Peter S. Kastner","12","5","20","28","high","high","high"
"kastner-author","hptpc92-2fd423","HP Section: TPC Benchmark Viewpoint (Aberdeen Group, 1992)","1992","Peter S. Kastner / Aberdeen Group","3","6","7","25","high","low","medium"
"kastner-author","ibm-+-webify-=-industry-soa-application--97733a","IBM + Webify = Industry SOA Application Jumpstart","2006-08-03","Peter S. Kastner","12","12","16","31","high","high","high"
"kastner-author","ibm-aberdeen-wip-deck-2-704ff9","IBM-Aberdeen: Storage Change Brings Opportunities (Sales Team Workshop)","2004-01-01","Aberdeen Group (Peter S. Kastner et al.)","3","6","12","26","medium","medium","low"
"kastner-author","ibm-major-account-plan-8-cc6400","Major Account Plan: IBM (excluding Global Services) — Aberdeen Internal Q3 2001","2001-09-01","Peter S. Kastner, Cindy Murray, Ed Black (Aberdeen Group)","7","4","28","23","medium","high","medium"
"kastner-author","ibm-messaging-workshop-report-final-9-ef7fbc","Project eLiza Positioning and Messaging Workshop Report","2001-06-01","Joyce Becknell, Gordon Haff, Peter Kastner (Aberdeen Group)","7","7","35","24","high","high","high"
"kastner-author","ibm-rs6000-midran~1-88f049","RS/6000 RDBMS Sales Training","1995-01-01","Peter S. Kastner","15","25","31","30","high","medium","high"
"kastner-author","ibm-scm-murray2-tm-4a0fbf","IBM-Aberdeen Meeting: Building Value Chain Leaders","2003-01-01","Jamie Bedard, Peter Kastner, Tim Minahan, Chris Jones, Tom Ryan, John Farrell (Aberdeen Group)","16","5","18","24","medium","medium","low"
"kastner-author","ibmfinal1-3-720230","Value Chain Research: Driving Intelligence, Demand, & Value for Value Chain Leaders (IBM Proposal)","2004-01-01","Aberdeen Group (Peter S. Kastner et al.)","12","4","16","25","high","medium","low"
"kastner-author","ibmramp95-9ffc12","IBM RS/6000 SP RAMP: Market Research Proposal","1995-10-17","Peter S. Kastner","5","6","12","23","medium","low","not-applicable"
"kastner-author","ibmrs6k-05561e","IBM RS/6000 Database Marketing Training Engagement (Aberdeen Group, June 1995)","1995-06-28","Peter S. Kastner / Aberdeen Group","14","10","12","28","medium","low","not-applicable"
"kastner-author","ibmtpc92-c32789","IBM Section: TPC Benchmark Viewpoint (Aberdeen Group, 1992)","1992","Peter S. Kastner / Aberdeen Group","3","6","13","25","high","low","high"
"kastner-author","iha-full-report---draft-jul-28-41de81","Consumer Adoption of Memory Cards: A Qualitative Study","2003-07-28","Peter S. Kastner","6","16","30","31","high","high","high"
"kastner-author","informdsa-9f8bcf","Can Parallel-Scalable RDBMSs Break the Downsizing Logjam?","1995","Peter S. Kastner / Aberdeen Group","2","5","20","27","high","medium","high"
"kastner-author","informix-dsa-presentation-2-8d5fa3","Choosing The Right Markets and the Right Partners for Informix","1995-1996","Peter S. Kastner / Aberdeen Group","13","10","30","33","high","medium","high"
"kastner-author","inforx95-3-9a45fe","Informix Software Overview","1995","Peter S. Kastner / Aberdeen Group","7","17","30","32","high","medium","high"
"kastner-author","intel-2010-vpro-daily-globe-42697e","2010 Business Computers Leave the Starting Gate","2010-02-04","Peter S. Kastner","12","9","23","30","medium","high","medium"
"kastner-author","intel-centrino-pk-8ecf9a","Intel's Centrino: Don't Man the Barricades","2003-03-01","Peter S. Kastner","6","7","20","33","high","high","high"
"kastner-author","intel-consumer-lt-10-5-03-580af7","LaGrande Technology — A Proposal: Consumer Market Research for Intel LT","2003-10-05","Peter S. Kastner","8","3","22","31","high","high","high"
"kastner-author","intel-dss99-42b2bc","Intel Decision Support Market Research Proposal","1999-06-16","Peter S. Kastner / Aberdeen Group","5","7","14","23","low","low","not-applicable"
"kastner-author","intel-ia2004-pk4-kc-edits-de9c37","Planning for Emerging Industry-Standard Platforms Computing Opportunities","2003-07","Peter S. Kastner","6","20","25","32","high","high","high"
"kastner-author","intel-idf-2005-spring-delegate-confirmat-0de810","Industry Analyst Relations at Spring IDF 2005 — Peter Kastner Delegate Confirmation Letter","2005-02-24","Liz Ryon (Intel SAS-Industry Analyst Relations Group)","7","8","10","24","medium","low","not-applicable"
"kastner-author","intel-idf-pk-notes-3-6666da","Kastner Personal IDF Notes — Consumer Spending, Extreme Edition, Prescott, BTX, DTCP","2003-09-16","Peter S. Kastner","5","7","8","24","low","low","medium"
"kastner-author","intel-infiband-wp--edit-psk-5-22f-a2c551","InfiniBand Architecture: Planning the Next-Generation Data Center","2002-05","Peter S. Kastner","20","16","22","31","high","high","high"
"kastner-author","intel-longlivedualcore-revised-5-fa8298","Intel's Fall Developer Forum (IDF): Megahertz is Dead, Long Live Dual-Core (Revised)","2004-09-16","Nathan Brookwood (Insight 64)","12","13","18","25","high","medium","high"
"kastner-author","intel-pulse-check-ia-continuum-2013-3a693f","Pulse Check: How Intel is Scaling to Meet the Decade's Opportunities","2013-06-02","Peter S. Kastner","12","16","24","35","medium","medium","low"
"kastner-author","intel-renewal1017-9-0d4419","Aberdeen-Intel Client Service Agreement Renewal (IT@Aberdeen, Gold, 2003-2004)","2003-09-30","Aberdeen Group / Intel Corporation","5","3","10","24","high","medium","not-applicable"
"kastner-author","intelitaniummfewp1[1]-773ea2","Intel's Itanium: Ready and Desirable for Mainframe-Class Workloads","2004-03","Peter S. Kastner","19","30","36","34","high","high","medium"
"kastner-author","it-budget-realities-benchmark-1b1313","The Strategic Enterprise IT Budget Realities Benchmark Report","2004-10","Bill Malik","16","12","45","22","high","medium","medium"
"kastner-author","itthar-1-4-32f824","Making the Corporate Platform Decision (ITT Hartford)","1995","Peter S. Kastner / Aberdeen Group","4","4","12","27","high","medium","high"
"kastner-author","jungle-1-5-675c58","Welcome to the RDBMS Jungle — Chapters 1-5","1995","Peter S. Kastner / Aberdeen Group","10","22","40","32","high","medium","high"
"kastner-author","jungle-6-7af8b7","Welcome to the RDBMS Jungle — Chapter 6","1995","Peter S. Kastner / Aberdeen Group","12","25","42","32","high","medium","high"
"kastner-author","kastner-ie-v-andersen-expert-report-3de98a","Report of Peter S. Kastner: Intelligent Electronics Inc. v. Andersen Consulting LLP","1999-06-21","Peter S. Kastner","17","10","45","43","high","medium","high"
"kastner-author","kastner-jrl-trends-1999-pk-responses-f4c5a4","JRL 1999 Trends List with Peter Kastner Responses","1999-01-01","Peter S. Kastner (annotations on JRL trend list)","25","20","15","25","high","medium","high"
"kastner-author","kastner-letter-to-craig-barrett-intel-2008-1ea221","Letter to Craig Barrett on Intel's 'Next Billion' Initiative: Field Observations from Haiti and Brazil","2008-06-17","Peter S. Kastner","8","7","16","29","medium","medium","medium"
"kastner-author","kastner-sipp-pc-lifecycle-dynamics-2003-4395fd","PC Lifecycle Dynamics (SIPP Florida speech)","2003-06-30","Peter S. Kastner","3","9","10","25","high","medium","high"
