# Source: access PC Deals 2002-2003.xls

## Sheet: Consumer (2160 rows x 12 cols)
[r0] PricingDate | PCmaker | SKU | ListPrice | CPUclass | CPUspeed | Memory | HDD | Opticals | Monitor | Printer | Merchant
[r354] 2002-09-22 | eMachines | T1440 | 499.97 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17s |  | BestBuy Stores
[r355] 2002-09-15 | eMachines | T1440 | 499.99 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17f |  | Circuit City Stores
[r356] 2002-09-07 | eMachines | T1440 | 499.97 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17s |  | BestBuy Stores
[r357] 2002-08-31 | eMachines | T1440 | 499.97 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17s |  | BestBuy Stores
[r358] 2002-08-24 | eMachines | T1440 | 399.97 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17s |  | BestBuy Stores
[r359] 2002-08-18 | eMachines | T1440 | 499.97 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17s |  | BestBuy Stores
[r360] 2002-08-11 | eMachines | T1440 | 449.98 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17s |  | CompUSA Stores
[r361] 2002-07-29 | eMachines | T1440 | 499.97 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" eMachines 17s |  | BestBuy Stores
[r362] 2002-12-23 | eMachines | T1742 | 400 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM |  |  | www.eMachines.com
[r363] 2002-12-15 | eMachines | T1742 | 400 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" Proview | Lexmark Z25 | BestBuy & Circuit City Stores
[r364] 2002-12-08 | eMachines | T1742 | 399.99 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" Proview | Lexmark Z25 | BestBuy Stores
[r365] 2002-12-02 | eMachines | T1742 | 399.99 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" Proview | Lexmark Z25 | BestBuy Stores
[r366] 2002-11-24 | eMachines | T1742 | 399.99 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" Proview | Lexmark Z25 | Circuit City Stores
[r367] 2002-11-17 | eMachines | T1742 | 399.99 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" Emachines 17s | Lexmark Z25 | BestBuy Stores
[r368] 2002-11-10 | eMachines | T1742 | 399.99 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" Emachines 17s | Lexmark Z25 | BestBuy Stores
[r369] 2002-11-03 | eMachines | T1742 | 399.99 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM |  |  | www.bestbuy.com
[r370] 2002-10-27 | eMachines | T1742 | 399.99 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM |  |  | www.bestbuy.com
[r371] 2002-10-20 | eMachines | T1742 | 399.97 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" eMachines 17s | Lexmark Z25 | BestBuy Stores
[r372] 2002-10-13 | eMachines | T1742 | 399.97 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" eMachines 17s | Lexmark Z25 | BestBuy Stores
[r373] 2002-10-06 | eMachines | T1742 | 399.97 | Celeron | 1.7 | 128 SDRAM | 40 | CD-ROM | 17" eMachines 17s |  | BestBuy Stores and Circuit City stores
[r374] 2002-12-23 | eMachines | T1840 | 500 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW |  |  | Fry's Outpost.com
[r375] 2002-12-15 | eMachines | T1840 | 500 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW | 17" eMachines 17s | Lexmark Z25 | BestBuy Stores
[r376] 2002-12-08 | eMachines | T1840 | 499.99 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW | 17" eMachines 17s | Lexmark Z25 | BestBuy Stores
[r377] 2002-12-02 | eMachines | T1840 | 499.99 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW | 17" eMachines 17s | Lexmark Z25 | BestBuy Stores
[r378] 2002-11-24 | eMachines | T1840 | 550 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW | 17" eMachines 17F | Lexmark Z25 | BestBuy or Circuit City Stores
[r379] 2002-11-17 | eMachines | T1840 | 499.99 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW | 19" Flat Screen | Canon i320 | Office Depot Stores
[r380] 2002-11-10 | eMachines | T1840 | 499.99 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r381] 2002-11-03 | eMachines | T1840 | 499.99 | Celeron | 1.8 | 128 DDR | 40 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r382] 2002-10-27 | eMachines | T1840 | 499.99 | Celeron | 1.8 | 384 DDR | 40 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r383] 2002-10-20 | eMachines | T1840 | 599.97 | Celeron | 1.8 | 384 DDR | 40 | DVD-ROM; CD-RW | 17" eMachines 17f | Canon i320 | Office Depot Stores
[r384] 2002-10-13 | eMachines | T1840 | 499.97 | Celeron | 1.8 | 128 SDRAM | 40 | DVD-ROM; CD-RW | 17" eMachines 17s | Lexmark Z25 | BestBuy Stores
[r385] 2002-10-06 | eMachines | T1840 | 549.99 | Celeron | 1.8 | 128 SDRAM | 40 | DVD-ROM; CD-RW | 17" eMachines 17f flat screen |  | Circuit City stores
[r386] 2002-08-18 | eMachines | T1860 | 599.99 | Athlon 1800+ | 1.53 | 256 DDR | 60 | CD-RW | 17" eMachines 17f |  | Circuit City Stores
[r387] 2002-08-11 | eMachines | T1860 | 759.98 | Athlon 1800+ | 1.53 | 256 DDR | 60 | CD-RW | 17" eMachines 17f |  | www.emachines.com
[r388] 2002-07-29 | eMachines | T1860 | 759.98 | Athlon 1800+ | 1.53 | 256 DDR | 60 | CD-RW | 17" eMachines 17f |  | www.emachines.com
[r389] 2002-09-07 | eMachines | T1862 | 599.97 | Celeron | 1.8 | 256 DDR | 60 | CD-RW | 17" eMachines 17s |  | www.emachines.com
[r390] 2002-08-31 | eMachines | T1862 | 759.98 | Celeron | 1.8 | 256 DDR | 60 | CD-RW | 17" eMachines 17f |  | www.emachines.com
[r391] 2002-08-24 | eMachines | T1862 | 599.99 | Celeron | 1.8 | 256 DDR | 60 | CD-RW | 17" eMachines 17f |  | BestBuy Stores
[r392] 2002-09-15 | eMachines | T2080 | 839.99 | Athlon 2000+ | 1.67 | 512 DDR | 80 | CD-RW; DVD-ROM | 17" eMachines 17f |  | Circuit City Stores
[r393] 2002-09-07 | eMachines | T2080 | 799.99 | Athlon 2000+ | 1.67 | 512 DDR | 80 | CD-RW; DVD-ROM | 17" eMachines 17f |  | Circuit City Stores
[r394] 2002-08-31 | eMachines | T2080 | 799.99 | Athlon 2000+ | 1.67 | 512 DDR | 80 | CD-RW; DVD-ROM | 17" eMachines 17f |  | Circuit City Stores
[r395] 2002-08-24 | eMachines | T2080 | 909.98 | Athlon 2000+ | 1.67 | 512 DDR | 80 | CD-RW; DVD-ROM | 17" eMachines 17f |  | www.emachines.com
[r396] 2002-08-18 | eMachines | T2080 | 909.98 | Athlon 2000+ | 1.67 | 512 DDR | 80 | CD-RW; DVD-ROM | 17" eMachines 17f |  | www.emachines.com
[r397] 2002-08-11 | eMachines | T2080 | 909.98 | Athlon 2000+ | 1.67 | 512 DDR | 80 | CD-RW; DVD-ROM | 17" eMachines 17f |  | www.emachines.com
[r398] 2002-07-29 | eMachines | T2080 | 909.98 | Athlon 2000+ | 1.67 | 512 DDR | 80 | CD-RW; DVD-ROM | 17" eMachines 17f |  | www.emachines.com
[r399] 2002-12-23 | eMachines | T2085 | 780 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW | 17" eMachines 17F flat screen |  | Circuit City stores
[r400] 2002-12-15 | eMachines | T2085 | 650 | Athlon 2000+ | 1.67 | 256 DDR | 80 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r401] 2002-12-08 | eMachines | T2085 | 690 | Athlon 2000+ | 1.67 | 256 DDR | 80 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r402] 2002-12-02 | eMachines | T2085 | 649.99 | Athlon 2000+ | 1.67 | 256 DDR | 80 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r403] 2002-11-24 | eMachines | T2085 | 649.99 | Athlon 2000+ | 1.67 | 256 DDR | 80 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r404] 2002-11-17 | eMachines | T2085 | 649.99 | Athlon 2000+ | 1.67 | 256 DDR | 80 | DVD-ROM; CD-RW |  |  | www.bestbuy.com
[r405] 2002-11-10 | eMachines | T2085 | 689.97 | Athlon 2000+ | 1.67 | 256 DDR | 80 | DVD-ROM; CD-RW | 17" eMachines 17s | Lexmark Z25 | BestBuy Stores
[r406] 2002-10-06 | eMachines | T2085 | 689.97 | Athlon 2000+ | 1.67 | 256 DDR | 80 | DVD-ROM; CD-RW | 17" eMachines 17S |  | BestBuy Stores
[r407] 2002-12-15 | eMachines | T2085 | 800 | Athlon 2400+ | 2 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" eMachines 17f flat screen | Lexmark Z25 | BestBuy Stores
[r408] 2002-12-23 | eMachines | T2200 | 749.99 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r409] 2002-12-15 | eMachines | T2200 | 900 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW | 17" eMachines 17F | Lexmark Z25 | Circuit City Stores
[r410] 2002-12-08 | eMachines | T2200 | 790 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW | 17" eMachines 17F | Lexmark Z25 | BestBuy Stores
[r411] 2002-12-02 | eMachines | T2200 | 900 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW | 17" eMachines 17F | Lexmark Z25 | Circuit City Stores
[r412] 2002-11-17 | eMachines | T2200 | 749.99 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW |  |  | www.circuitcity.com or www.bestbuy.com
[r413] 2002-11-10 | eMachines | T2200 | 749.99 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW |  |  | www.circuitcity.com or www.bestbuy.com
[r414] 2002-11-03 | eMachines | T2200 | 779.99 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW | 17" Emachines 17f | Lexmark Z25 | Circuit City stores
[r415] 2002-10-27 | eMachines | T2200 | 749.99 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW |  |  | www.bestbuy.com or www.circuitcity.com
[r416] 2002-10-20 | eMachines | T2200 | 799.99 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW | 17" eMachines 17f | Lexmark Z25 | Circuit City stores
[r417] 2002-10-06 | eMachines | T2200 | 799.97 | Athlon 2200+ | 1.8 | 512 DDR | 100 | DVD-ROM; CD-RW | 17" eMachines 17F flat screen |  | Circuit City stores
[r418] 2002-12-02 | eMachines | T4060 | 689.97 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" emachines 17s | Lexmark Z25 | BestBuy Stores
[r419] 2002-08-11 | eMachines | T4170 | 859.98 | Pentium 4 | 1.6 | 256 DDR | 60 | CD-RW | 17" eMachines 17f |  | www.emachines.com
[r420] 2002-07-29 | eMachines | T4170 | 859.98 | Pentium 4 | 1.6 | 256 DDR | 60 | CD-RW | 17" eMachines 17f |  | www.emachines.com
[r421] 2002-08-11 | Gateway | 300L | 738 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 15" Gateway EV500 |  | www.gateway.com
[r422] 2002-07-29 | Gateway | 300L | 738 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 15" Gateway EV500 |  | www.gateway.com
[r423] 2002-08-24 | Gateway | 300L Special | 813 | Celeron | 1.4 | 128 DDR | 40 | CD-ROM | 15" Gateway EV500 |  | www.gateway.com
[r424] 2002-08-18 | Gateway | 300L Special | 623 | Celeron | 1.4 | 128 DDR | 40 | CD-ROM | 15" Gateway EV500 |  | www.gateway.com
[r425] 2002-12-23 | Gateway | 300L special | 548 | Celeron | 2 | 256 DDR | 40 | CD-RW |  |  | www.gateway.com
[r426] 2002-12-15 | Gateway | 300L special | 548 | Celeron | 2 | 256 DDR | 40 | CD-RW |  |  | www.gateway.com
[r427] 2002-09-29 | Gateway | 300L Special  | 548 | Celeron | 1.8 | 256 DDR | 40 | CD-ROM | none |  | www.gateway.com
[r428] 2002-09-22 | Gateway | 300L Special  | 548 | Celeron | 1.8 | 128 DDR | 20 | CD-ROM | none |  | www.gateway.com
[r429] 2002-09-15 | Gateway | 300L Special  | 548 | Celeron | 1.8 | 128 DDR | 20 | CD-ROM | none |  | www.gateway.com
[r430] 2002-09-07 | Gateway | 300L Special  | 548 | Celeron | 1.8 | 128 DDR | 20 | CD-ROM | none |  | www.gateway.com
[r431] 2002-11-10 | Gateway | 300S | 498 | Celeron | 1.8 | 128 DDR | 40 | CD-RW |  |  | www.gateway.com
[r432] 2002-11-03 | Gateway | 300S | 498 | Celeron | 1.8 | 128 DDR | 40 | CD-RW |  |  | www.gateway.com
[r433] 2002-12-08 | Gateway | 300S | 498 | Celeron | 2 | 128 DDR | 40 | CD-RW |  |  | www.gateway.com
[r434] 2002-12-02 | Gateway | 300S | 498 | Celeron | 2 | 128 DDR | 40 | CD-RW |  |  | www.gateway.com
[r435] 2002-11-24 | Gateway | 300S | 498 | Celeron | 2 | 128 DDR | 40 | CD-RW |  |  | www.gateway.com
[r436] 2002-11-17 | Gateway | 300S | 498 | Celeron | 2 | 128 DDR | 40 | CD-RW |  |  | www.gateway.com
[r437] 2002-09-07 | Gateway | 300SE | 748 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r438] 2002-08-31 | Gateway | 300SE | 748 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r439] 2002-08-24 | Gateway | 300SE | 773 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r440] 2002-08-18 | Gateway | 300SE | 748 | Celeron | 1.4 | 128 SDRAM | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r441] 2002-08-11 | Gateway | 300SE | 798 | Celeron | 1.4 | 128 SDRAM | 20 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r442] 2002-07-29 | Gateway | 300SE | 798 | Celeron | 1.4 | 128 SDRAM | 20 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r443] 2002-09-15 | Gateway | 300SE | 748 | Celeron | 1.8 | 128 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r444] 2002-10-06 | Gateway | 300X | 1173 | Celeron | 2 | 256 DDR | 60 | DVD-ROM/ CD-RW Combo Drive | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r445] 2002-08-11 | Gateway | 500 Special | 1123 | Pentium 4 | 2 | 512 DDR | 80 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r446] 2002-07-29 | Gateway | 500 Special | 1103 | Pentium 4 | 2 | 256 DDR | 40 | CD-RW | 19" Mitsubishi VX920 |  | www.gateway.com
[r447] 2002-08-24 | Gateway | 500 Special | 1028 | Pentium 4 | 2.0A | 256 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r448] 2002-08-18 | Gateway | 500 Special | 903 | Pentium 4 | 2.0A | 256 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r449] 2002-11-17 | Gateway | 500L | 1158 | Pentium 4 | 1.8 | 256 DDR | 60 | CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r450] 2002-11-10 | Gateway | 500L | 1158 | Pentium 4 | 1.8 | 256 DDR | 60 | CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r451] 2002-11-03 | Gateway | 500L | 1133 | Pentium 4 | 1.8 | 256 DDR | 60 | CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r452] 2002-10-27 | Gateway | 500L | 1168 | Pentium 4 | 1.8 | 256 DDR | 60 | CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r453] 2002-10-20 | Gateway | 500L | 1157 | Pentium 4 | 1.8 | 256 DDR | 60 | CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r454] 2002-08-11 | Gateway | 500L | 1078 | Pentium 4 | 1.8 | 256 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r455] 2002-07-29 | Gateway | 500L | 1078 | Pentium 4 | 1.8 | 256 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r456] 2002-12-15 | Gateway | 500L special | 649 | Pentium 4 | 1.8 | 256 DDR | 40 | CD-RW |  |  | www.gateway.com
[r457] 2002-10-20 | Gateway | 500S    | 1518 | Pentium 4 | 1.8 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r458] 2002-10-13 | Gateway | 500S    | 1533 | Pentium 4 | 1.8 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r459] 2002-10-27 | Gateway | 500S    | 1418 | Pentium 4 | 2 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r460] 2002-11-24 | Gateway | 500S    | 1468 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r461] 2002-12-02 | Gateway | 500S    | 1443 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r462] 2002-11-17 | Gateway | 500S    | 1468 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r463] 2002-11-10 | Gateway | 500S    | 1418 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r464] 2002-11-03 | Gateway | 500S    | 1418 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r465] 2002-12-23 | Gateway | 500S Plus    | 1468 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r466] 2002-12-15 | Gateway | 500S Plus    | 1493 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel |  | www.gateway.com
[r467] 2002-12-08 | Gateway | 500S Plus    | 1493 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Gateway LCD Flat Panel | free printer or web camera (shipping extra) | www.gateway.com
[r468] 2002-08-11 | Gateway | 500SE | 853 | Pentium 4 | 1.8 | 128 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r469] 2002-07-29 | Gateway | 500SE | 853 | Pentium 4 | 1.8 | 128 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r470] 2002-10-13 | Gateway | 500SE Special | 1054 | Pentium 4 | 1.8 | 256 DDR | 60 | CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r471] 2002-10-06 | Gateway | 500SE Special | 903 | Pentium 4 | 1.8 | 256 DDR | 80 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r472] 2002-09-29 | Gateway | 500SE Special | 1038 | Pentium 4 | 1.8 | 256 DDR | 80 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r473] 2002-09-22 | Gateway | 500SE Special | 1018 | Pentium 4 | 1.8 | 256 DDR | 80 | DVD/CD-RW Combo Drive | 17" Gateway EV700 |  | www.gateway.com
[r474] 2002-09-15 | Gateway | 500SE Special | 1018 | Pentium 4 | 1.8 | 256 DDR | 40 | DVD/CD-RW Combo Drive | 17" Gateway EV700 |  | www.gateway.com
[r475] 2002-09-07 | Gateway | 500SE Special | 1018 | Pentium 4 | 1.8 | 256 DDR | 40 | CD-RW; DVD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r476] 2002-08-31 | Gateway | 500SE Special | 928 | Pentium 4 | 1.8 | 256 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r477] 2002-08-24 | Gateway | 500SE Special | 928 | Pentium 4 | 1.8 | 256 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r478] 2002-08-18 | Gateway | 500SE Special | 928 | Pentium 4 | 1.8 | 256 DDR | 40 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r479] 2002-08-24 | Gateway | 500X | 1698 | Pentium 4 | 2.26 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r480] 2002-08-18 | Gateway | 500X | 1698 | Pentium 4 | 2.26 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r481] 2002-08-11 | Gateway | 500X | 1698 | Pentium 4 | 2.26 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r482] 2002-07-29 | Gateway | 500X | 1698 | Pentium 4 | 2.26 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r483] 2002-10-06 | Gateway | 500X | 1703 | Pentium 4 | 2.4 | 512 DDR | 60 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r484] 2002-09-29 | Gateway | 500X | 1698 | Pentium 4 | 2.4 | 512 DDR | 60 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r485] 2002-09-22 | Gateway | 500X | 1698 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r486] 2002-09-15 | Gateway | 500X | 1698 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r487] 2002-09-07 | Gateway | 500X | 1599 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r488] 2002-08-31 | Gateway | 500X | 1698 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-RAM/DVD-R; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r489] 2002-08-11 | Gateway | 700L | 1188 | Pentium 4 | 1.8 | 256 RDRAM | 40 | CD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r490] 2002-07-29 | Gateway | 700L | 1188 | Pentium 4 | 1.8 | 256 RDRAM | 40 | CD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r491] 2002-08-24 | Gateway | 700L | 1178 | Pentium 4 | 2.26 | 256 RDRAM | 40 | CD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r492] 2002-08-18 | Gateway | 700L | 1178 | Pentium 4 | 2.26 | 256 RDRAM | 40 | CD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r493] 2002-08-31 | Gateway | 700L | 1177 | Pentium 4 | 2.4 | 256 RDRAM | 80 | CD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r494] 2002-09-29 | Gateway | 700L Special | 1238 | Pentium 4 | 2.4 | 256 RDRAM | 80 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r495] 2002-09-22 | Gateway | 700L Special | 1228 | Pentium 4 | 2.4 | 256 RDRAM | 80 | CD-RW | 17" Gateway EV700 |  | www.gateway.com
[r496] 2002-09-15 | Gateway | 700L Special | 1238 | Pentium 4 | 2.4 | 256 RDRAM | 80 | DVD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r497] 2002-09-07 | Gateway | 700L Special | 1238 | Pentium 4 | 2.4 | 256 RDRAM | 80 | DVD-ROM | 17" Gateway EV700 |  | www.gateway.com
[r498] 2002-08-24 | Gateway | 700S | 1668 | Pentium 4 | 2.26 | 512 RDRAM | 80 | DVD-ROM; CD-RW | 17" Gateway VX730 |  | www.gateway.com
[r499] 2002-08-18 | Gateway | 700S | 1668 | Pentium 4 | 2.26 | 512 RDRAM | 80 | DVD-ROM; CD-RW | 17" Gateway VX730 |  | www.gateway.com
[r500] 2002-08-11 | Gateway | 700S | 1598 | Pentium 4 | 2.26 | 256 RDRAM | 80 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r501] 2002-07-29 | Gateway | 700S | 1598 | Pentium 4 | 2.26 | 256 RDRAM | 80 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r502] 2002-12-23 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r503] 2002-12-15 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r504] 2002-12-08 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r505] 2002-12-02 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r506] 2002-11-24 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r507] 2002-11-17 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r508] 2002-11-10 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r509] 2002-11-03 | Gateway | 700S | 1718 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r510] 2002-10-27 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r511] 2002-10-20 | Gateway | 700S | 1638 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r512] 2002-10-13 | Gateway | 700S | 1643 | Pentium 4 | 2.4 | 512 RDRAM | 120 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
[r513] 2002-10-06 | Gateway | 700S | 1603 | Pentium 4 | 2.4 | 512 RDRAM | 80 | DVD-ROM; CD-RW | 15" Gateway LCD Flat Panel |  | www.gateway.com
