"row_id","article_seq","date","headline","publication","author","content_type","kastner_quotation","immediate_context","is_predictive","prescience_score","prescience_rationale","forecast_horizon_years","theme","decade","accuracy_outcome","verdict_rationale","verdict_sources","pipeline_route_reason"
"229","625","2004-04-06","Gateway Ends the WLAN Flim-Flam; New Gateway Wireless Access Points Add High Security, Remove High Price","FreshNews.com","Gateway Inc.","press-release","In both their price and functionality, Gateway is taking a disruptive approach with these two new wireless Aps,","), Advanced Encryption Standard (AES), 64/128-bit WEP encryption, PEAP, MSCHAP v2, inhibit SSID broadcast and MAC address filtering. ""In both their price and functionality, Gateway is taking a disruptive approach with these two new wireless Aps,"" said Peter Kastner, executive vice president and chief research officer, Aberdeen Group. ""Many wireless vendors are ignoring the pleas of small- and medium-sized businesses, who desire enterprise security and much more simplicity in set-up. SMBs clearly","no","not-applicable","Endorsement quote in a vendor press release — Kastner praising Gateway's SMB-targeted wireless access point pricing and security feature bundle. Not a market forecast.","0","mobile-and-wireless","2000s","","","","not_in_pdf"
"230","626","2003-02-26","H-P plunges on Q1 revenue miss","CBS MarketWatch","Rex Crum","online-article","They're making progress, but they've still got a long way to go,","a share. During the same period last year, H-P reported pro forma income of $625 million, or 25 cents a share, as a stand-alone company prior to completing the Compaq acquisition. ""They're making progress, but they've still got a long way to go,"" said Peter Kastner, computer hardware analyst with the Aberdeen Group. Kastner said that, in particular, H-P's printing and imaging business, its most profitable business area, is likely to face new challenges that could affect the company's bottom line","no","medium","Partially prescient — Kastner correctly flagged that the Compaq integration was incomplete and printing-business headwinds (third-party toner, Dell entry) loomed. Over 2003-2011 HP did gain operating momentum under Hurd but Fiorina was ousted in 2005, the PC business was spun/restructured multiple times, and by 2015 HP split in two (HPE/HP Inc.). The 'long way to go' framing proved accurate for Compaq-integration benefits.","2-5","pcs-and-clients","2000s","","","","not_in_pdf"
"231","627","2003-02-25","H-P profit rises 49 percent on cost cuts","CBS MarketWatch","Rex Crum","online-article","They're making progress, but they've still got a long ways to go,","of Compaq Computer. But the revenue of $17.9 billion fell short of analyst estimates, causing H-P shares to fall as much as 4.4 percent in after-hours trading to a low of $17.34. ""They're making progress, but they've still got a long ways to go,"" said Peter Kastner, computer hardware analyst with the Aberdeen Group. Kastner said that, in particular, H-P's printing and imaging business, its most- profitable business area, is likely to face new challenges that could affect the company's bottom lin","no","medium","Partially prescient — Kastner flagged printing-business vulnerability (third-party toner + impending Dell printer entry) as the key post-Compaq-merger risk. HP Printing remained the most profitable division but did face margin compression from third-party cartridges, and Dell entered printers in 2003. The structural threat was correct in direction.","2-5","pcs-and-clients","2000s","","","","not_in_pdf"
"232","628","2003-08-15","Hardware stocks eke out gain after Dell report","CBS MarketWatch","Rex Crum","online-article","Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless deflation in prices, Dell is leading the industry in performance on a percentage basis.","t of sales. After the earnings report, A.G. Edwards analysts raised their rating on Dell shares (DELL 12.77, -0.10, -0.78%) to ""buy"" from ""hold"", helping the stock gain 95 cents to close at $32.34. ""This is a very good quarter, again, for Dell,"" said Peter Kastner, analyst with Aberdeen Group. ""Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless deflation in prices, Dell is leading the industry in performance on a percentage basis."" Management","no","high","Highly prescient — Kastner's characterization of Dell's execution as best-in-class through deflation held through 2004-2005. Dell peaked in 2005 at ~19 percent global PC share. The subsequent decline (quality issues 2006-07, HP overtake 2007, LBO by Michael Dell 2013) did not invalidate the 2003 margin-discipline observation.","2-4","pcs-and-clients","2000s","","","","not_in_pdf"
"233","629","2001-09-17","Hi-Tech Execs: Fed Rate Cut Was a Necessary Move","CRN","CRN Editorial Staff","online-article","Between the Fed's aggressive rate cutting and the broken piggy bank of the social security surplus, there will be huge fiscal stimulus to the economy, which should result in the next six months in a pick up in demand for both capital and consumer and products,","d's aggressive rate cutting and the broken piggy bank of the social security surplus, there will be huge fiscal stimulus to the economy, which should result in the next six months in a pick up in demand for both capital and consumer and products,"" says Peter Kastner, chief research officer at Aberdeen Group, Boston. ""It will take the world markets some days to adjust to last Tuesday's tragedies, and any other military events yet to occur, but the economic underpinning for a classic fiscal turnar","yes","medium","Partially prescient — Kastner correctly identified the 2001 Fed-plus-fiscal stimulus combination as foundation for recovery. The 2002-2005 economic rebound (capital spending + housing + consumer) did materialize, supported by rate cuts to 1 percent and Bush tax cuts. However, the 'social security surplus' fiscal framing became obsolete as sustained deficits replaced the 2000-era surpluses, and the 2008 crisis undid much of the 2003-2007 recovery.","0-5","security","2000s","","","","pdf_format_mismatch"
"234","629","2001-09-17","Hi-Tech Execs: Fed Rate Cut Was a Necessary Move","CRN","CRN Editorial Staff","online-article","It will take the world markets some days to adjust to last Tuesday's tragedies, and any other military events yet to occur, but the economic underpinning for a classic fiscal turnaround is now in place.","""It will take the world markets some days to adjust to last Tuesday's tragedies, and any other military events yet to occur, but the economic underpinning for a classic fiscal turnaround is now in place,"" says Kastner. The missing ingredient, he says, will be consumer confidence.","yes","high","Highly prescient — six days after 9/11, Kastner correctly forecast a classic Fed-driven fiscal recovery with consumer confidence as the swing variable. The 2002-2003 recovery proved Keynesian textbook: rate cuts + tax cuts + deficit spending pulled the economy out of the dot-com collapse, and consumer confidence rebounded by mid-2002 and sustained the expansion through 2007.","0-3","e-commerce-and-internet","2000s","","","","pdf_format_mismatch"
"235","629","2001-09-17","Hi-Tech Execs: Fed Rate Cut Was a Necessary Move","CRN","CRN Editorial Staff","online-article","Maybe, says Kastner.","Will the rate cut help the tech sector, and in particular, the telecom industry? ""Maybe,"" says Kastner. One of the political problems that will surface very quickly is the need to deliver last-mile broadband to many more businesses and homes than the seven to 10 million that have this capability today, he says.","yes","medium","Partially prescient — Kastner's skepticism that Fed easing alone would help telecom proved correct. The 2001-2003 telecom capex collapse continued despite rate cuts; industry recovery required carrier consolidation (SBC/AT&T 2005, Verizon/MCI 2005), broadband stimulus, and the iPhone/smartphone era to restore growth. The rate-cut lever was necessary but not sufficient.","2-5","mobile-and-wireless","2000s","","","","pdf_format_mismatch"
"236","629","2001-09-17","Hi-Tech Execs: Fed Rate Cut Was a Necessary Move","CRN","CRN Editorial Staff","online-article","Without broadband available to a wide segment of the economy, we do not foresee a huge up-tick in communications demand,","t-mile broadband to many more businesses and homes than the seven to 10 million that have this capability today, he says. ""Without broadband available to a wide segment of the economy, we do not foresee a huge up-tick in communications demand,"" says Kastner. IBM's Hanny says he isn't deeply concerned about the effects on the market, although he will be monitoring it as the weeks and months pass. ""I wasn't even dwelling on how the market opened up today,"" says Hanny. ""I agree with the way Warren","yes","high","Highly prescient — Kastner's 2001 diagnosis that broadband penetration was the binding constraint on communications demand proved exactly right. The 2003-2010 broadband rollout (cable modem + DSL, then FTTH and LTE) unlocked online video (YouTube 2005, Netflix streaming 2007), VoIP, cloud computing, and mobile broadband — each validating the 'broadband-first' demand-creation thesis. FCC's ~2010 National Broadband Plan formally adopted this framework.","5-15","mobile-and-wireless","2000s","","","","pdf_format_mismatch"
"237","630","2002-11-01","HON Industries Furnished With Linux","eWeek","Larry Barrett","online-article","For cut-and-dried applications, businesses are finding Linux is comparatively inexpensive next to the fancy features that you get with a Windows NT or Unix server. For run-of-the-mill manufacturing processes, Linux provides a perfect environment. The money you're saving by not buying proprietary software and hardware can be used for other projects.","Case-study article on HON Industries (Muscatine, Iowa office-furniture maker) replacing Windows NT with Linux workstations on its manufacturing floor; Kastner positions Linux as a viable low-cost alternative for cut-and-dried manufacturing applications.","yes","high","Kastner correctly identified the embedded/industrial-control niche as the segment where Linux would first displace Windows NT and Unix — a pattern validated through the 2000s as Linux came to dominate manufacturing floor controls, POS systems, and embedded devices while Windows retreated to knowledge-worker desktops.","5","os-and-platforms","2000s","","","","pdf_format_mismatch"
"238","631","2002-02-13","HP cuts prices on some Intel-based servers 11% to 31%","Computerworld","Todd R. Weiss","online-article","I'd be surprised if their top sellers are being cut by 31%. An 11% price drop is believable. Thirty-one percent either shows they were dramatically overpriced or they're trying to get a lot of supply out before the end of the quarter.","Reacting to HP's 11-31% price cuts on LP1000r/LP2000r 1U/2U Intel-based rack servers and appliances (announced Feb 12, 2002); Kastner reads the deeper 31% cuts as a pre-quarter-end clearance signal rather than genuine cost-pass-through, and notes the impending HP-Compaq merger as another possible factor.","no","not-applicable","Tactical channel-read of HP pricing behavior ahead of the Compaq merger close; no multi-year forecast.","","pcs-and-clients","2000s","","","","pdf_format_mismatch"
"240","633","2003-02-26","HP Shares Sink On Revenue Shortfall, Cautious Outlook","CRN","Matthew Fordahl","online-article","They are seeing more competition from third-party toner cartridges. And in the coming quarter, it's widely rumored that Dell will be entering the printer business.","HP Q1 FY2003 earnings reaction (stock down 15%+); Kastner flags two structural threats to HP's printer/ink-cartridge profit engine: generic third-party toner and Dell's imminent entry into printers (Dell-branded printers launched March 21, 2003).","yes","high","Both predictions validated: Dell entered the printer business the following month (March 2003 launch); third-party toner competition expanded through the 2000s and became a significant drag on HP's Imaging & Printing Group margins. The ""third-party toner"" concern in particular was a durable structural thesis — HP's printer profitability erosion through 2010s is its practical confirmation.","1","pcs-and-clients","2000s","","","","pdf_format_mismatch"
"241","110","2002-11-22","Resilient HP Rebounds from Capellas Exit","Financial Times","Simon London","press-article","Clearly, the printing business continues to be a blockbuster.","HP reported surprisingly resilient quarterly earnings and its shares had rebounded 29 percent from a recent low. HP's imaging and printing division showed 12 percent revenue growth compared to only 5 percent for Lexmark.","no","not-applicable","Observational — current-state analysis.","0","it-spend-and-market-outlook","2000s","","","","not_in_pdf"
"242","111","2002-11-29","Retailers Lure Shoppers with Black Friday Bargains","Dow Jones Newswires","James Covert and Christine Nuzumi","press-article","It's difficult to make a year on $79 DVD players or $200 digital cameras.","Kastner noted that tireless bargain-hunting by shoppers had forced down prices for key consumer electronics items, sapping profits from retailers. He noted this despite a relative wealth of new products in the consumer-electronics area.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"243","112","2002-12-16","PC Makers Flood Market with Low-Cost Computers","Reuters","Caroline Humer","press-article","I think at the end of the day, HP is picking up some market share.","Hewlett-Packard was aggressively cutting prices during the holiday season. HP had made headlines with a PC, flat-panel monitor and printer package for under $700 at Wal-Mart.","yes","medium","Kastner predicted HP was picking up some market share in the PC market. HP did gain share through the Compaq merger integration period in 2002–2004 before eventually becoming the world's largest PC maker.","2","pcs-and-clients","2000s","","","","not_in_pdf"
"244","112","2002-12-16","PC Makers Flood Market with Low-Cost Computers","Reuters","Caroline Humer","press-article","HP has the better value but consumers seem to be reacting at the very low end, with eMachines being the most pound of machine per dollar.","Kastner noted HP was cutting prices by using less expensive processors and getting new processors into machines more quickly. Dell was focusing on more expensive machines, potentially gaining better margins.","no","not-applicable","Observational — current-state analysis.","0","pcs-and-clients","2000s","","","","not_in_pdf"
"245","113","2003-01-01","IT/Automation Cost Reduction in Intel's Manufacturing Environment (MIT Working Paper)","E-Commerce Times / MIT Sloan Working Paper","Brian Subirana","press-article","Overall, 2 percent month-over-month is good, and the book-to-bill ratio for November was looking better than it has been in a bit. It's still a single data point, and Aberdeen's view is that there is no sign of a global semiconductor turnaround yet.","Aberdeen Group chief research officer Peter Kastner assessed semiconductor industry recovery prospects, cited in an MIT Sloan working paper on Intel manufacturing.","yes","medium","Kastner assessed there was no sign of a global semiconductor turnaround yet in early 2003. The semiconductor industry did begin recovering later in 2003, so his 'no turnaround yet' view was correct at the moment but the cycle turned within months.","1","pcs-and-clients","2000s","","","","not_in_pdf"
"246","114","2003-01-01","A Whirlwind of Financing Options","CDW.ca / Solutions Library","","press-article","It's like buying a car. Do you want to pay for it all at once or over three or four or five years?","Kastner commented on the growing trend of IT vendor financing, driven by the soft economy. He noted vendors like IBM, Microsoft, HP, Sun Microsystems and others were offering financing options to ease the upfront costs of technology upgrades.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"247","115","2003-01-03","Aberdeen Predicts Modest IT Rebound In 2003","TechWeb","Gregg Keizer","press-article","More and more IT organizations are telling us that their executives have concluded that [technology] operations are not their core competency.","Aberdeen Group released its IT spending forecast for 2003, noting growing interest in outsourcing.","no","not-applicable","Observational — current-state observation about IT executives re-evaluating core competencies","0","it-spend-and-market-outlook","2000s","","","","not_in_pdf"
"248","115","2003-01-03","Aberdeen Predicts Modest IT Rebound In 2003","TechWeb","Gregg Keizer","press-article","That's a horse of a completely different color, and a potential economic threat to the livelihood of a lot of Americans.","Kastner distinguished between domestic outsourcing and offshore outsourcing, noting the latter was a new and more consequential trend.","no","not-applicable","Observational — commentary on offshoring as an economic threat (context-dependent quote fragment)","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"249","115","2003-01-03","Aberdeen Predicts Modest IT Rebound In 2003","TechWeb","Gregg Keizer","press-article","That's inflation, plus or minus.","Kastner characterized Aberdeen's forecast of 2-3% IT spending growth for 2003 as essentially tracking inflation with no real expansion.","no","not-applicable","Observational — characterization of a projected IT spending growth rate as matching inflation","0","it-spend-and-market-outlook","2000s","","","","not_in_pdf"
"250","115","2003-01-03","Aberdeen Predicts Modest IT Rebound In 2003","TechWeb","Gregg Keizer","press-article","Ultimately, psychology and not technology will determine the growth rate for IT spending this year.","Kastner argued that executive confidence and sentiment — not specific product cycles — would be the swing factor in 2003 IT budgets.","yes","medium","Psychological factors (confidence, budget release) did play a major role in 2003 IT spending decisions alongside Y2K hangover and economic uncertainty. The IT rebound in 2003–2004 was indeed driven partly by pent-up demand psychology, though technology refresh cycles also mattered.","1","it-spend-and-market-outlook","2000s","","","","not_in_pdf"
"251","116","2003-01-06","Restructure Plans Weigh on Gateway","CBS MarketWatch","Rex Crum","press-article","It looks to us as if Gateway's whole business model is on the boardroom table.","Gateway shares fell after CEO Ted Waitt said the company would reshuffle management and unveil a new business strategy following weak holiday sales. Gateway had suffered channel inventory problems during the holiday season.","no","not-applicable","Observational — current-state analysis.","0","pcs-and-clients","2000s","","","","not_in_pdf"
"252","116","2003-01-06","Restructure Plans Weigh on Gateway","CBS MarketWatch","Rex Crum","press-article","I think they made a huge impression on the market by adding new products, but they showed they really need a supply chain that can keep up with the market.","Gateway had begun carrying more than 100 new digital products including a 42-inch plasma TV, but reportedly suffered channel inventory problems during the holiday season.","no","not-applicable","Observational — current-state analysis.","0","pcs-and-clients","2000s","","","","not_in_pdf"
"253","117","2003-01-13","Tax Break Could Ease IT Purchasing Pain","Computerworld","Patrick Thibodeau","press-article","[Aberdeen Group Inc. said it expects U.S. IT spending to increase 3.6 percent in 2003.]","The article covered debate over expanding the 30% depreciation bonus for IT purchases. Aberdeen Group was one of several research firms cited for their 2003 IT spending forecasts, though no direct Kastner quote appeared.","yes","medium","Aberdeen predicted US IT spending would increase 3.6% in 2003. IT spending growth in 2003 was modest and close to flat/slightly positive — the direction was right but 3.6% was optimistic for a year when many firms held back spending.","1","it-spend-and-market-outlook","2000s","","","","not_in_pdf"
"254","118","2003-02-25","Hewlett-Packard Posts Q1 Profits, But Misses Sales Views","Dow Jones Newswires","Donna Fuscaldo","press-article","H-P is stuck in a financial traffic jam. For its revenue to improve, it needs for the economy to wake up from its slumber. It can cut costs only so long.","HP reported first-quarter net income increase but sales failed to meet analysts' expectations. HP shares were down in after-hours trading after the mixed results.","no","not-applicable","Observational — current-state analysis.","0","it-spend-and-market-outlook","2000s","","","","not_in_pdf"
"255","119","2003-02-26","H-P Posts Profit but Its Outlook Still Cloudy","USA Today","Jon Swartz","press-article","It's hard to grow when corporate spending is stingy and some printers cost $99.","HP reported better-than-expected quarterly profit including the first profitable quarter for its PC division since late 2000. However HP's printer revenue was flat and investors were concerned about murky outlook.","no","not-applicable","Observational — current-state analysis.","0","pcs-and-clients","2000s","","","","not_in_pdf"
"256","120","2003-03-05","Defragmenting: the Prescription for Computers Behaving Badly","Dow Jones / Asian Wall Street Journal / Far Eastern Economic Review","","press-article","Picture a child's box of alphabet blocks, all lined up A-Z. That's what the files on a new, or well-maintained, hard drive should look like. Now, take out blocks to spell a word. The box has holes in it, just as a disk drive does as files are deleted or moved. Now, put the blocks used to create the word back in the box — the first letter of the word going into the first slot, the second letter into the second slot, etc. When completed, the alphabet box is no longer in alphabetical sequence. This mixed-up condition is a fragmented hard drive.","A technology column on the importance of defragmenting hard drives cited Kastner as someone who takes his defragmentation seriously. He explained the concept of fragmentation using the alphabet blocks analogy.","no","not-applicable","Observational — current-state analysis.","0","storage","2000s","","","","not_in_pdf"
"257","120","2003-03-05","Defragmenting: the Prescription for Computers Behaving Badly","Dow Jones / Asian Wall Street Journal / Far Eastern Economic Review","","press-article","Any PC user who does not regularly defragment their hard drive must enjoy looking at the screen waiting for something to happen. Many think they need a new PC when all they need is to undo a year or two worth of fragmentation.","Kastner explained that when the disk is arranged neatly, things can move at least a third faster. He noted that getting data files, especially programs, grouped in the order they will be called on is key.","no","not-applicable","Observational — current-state analysis.","0","storage","2000s","","","","not_in_pdf"
"258","121","2003-03-24","Don't Panic! Intel's New Centrino Notebook Chipset Means Wi-Fi Is Coming Whether You're Ready for It or Not","InternetWeek","Peter Kastner","press-article","Aberdeen Group research indicates that a campus-bound meeting-attendee can be productive an extra 30 minutes a day.","Kastner wrote an analysis of Intel's Centrino launch for InternetWeek, arguing that Centrino notebooks and wireless networking should become standard IT infrastructure building blocks.","no","not-applicable","Observational — current-state analysis.","0","mobile-and-wireless","2000s","","","","pdf_format_mismatch"
"259","122","2003-04-02","Businesses Affected by Mystery Cold","San Francisco Examiner / Houston Chronicle","Paul Elias, Associated Press","press-article","Nobody knows what's going to happen, and we should all be concerned.","Kastner warned that trillions of dollars in global commerce could be at stake. The article described U.S. companies altering business plans due to SARS spreading through Asia.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"260","122","2003-04-02","Businesses Affected by Mystery Cold","San Francisco Examiner / Houston Chronicle","Paul Elias, Associated Press","press-article","These just aren't sales calls that are being canceled. These are engineering and quality-control trips.","Kastner elaborated on the kinds of business trips being canceled due to SARS. He noted apparel manufacturers were also particularly vulnerable.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"261","123","2003-04-02","Mystery Illness Threatens Health of Business Plans","Fresno Bee","Paul Elias, Associated Press","press-article","Nobody knows what's going to happen, and we should all be concerned. The trend so far has been negative.","Kastner warned that trillions of dollars in global commerce were at stake. The article described U.S. companies big and small altering their business plans due to SARS.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"262","124","2003-04-02","SARS Puts an End to Business as Usual in Asia","InfoWorld.com / NetworkWorld Fusion / Computerworld.com","Sumner Lemon, IDG News Service","press-article","The PRC has not been forthcoming about the situation, and until recently claimed that the outbreak had been contained. The deceit of the PRC government in hiding what has become a serious global health threat will not be quickly forgotten. A new level of suspicion by investors of the government's ability to protect investments will take years to dispel. After all, low-cost manufacturing and disrupted supply are oil and water in a just-in-time world.","Craig and Kastner commented on China's slow response to the outbreak and its implications for investment confidence. The article noted WHO had been delayed in visiting Guangdong province.","yes","medium","Kastner predicted China's government deception over SARS would create lasting investor suspicion taking years to dispel. Investor concerns about China's transparency did persist, though foreign investment in China's electronics sector recovered and accelerated after 2003 rather than being suppressed for years.","3","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"263","125","2003-04-02","SARS Could Impact IT Supply Chain","Bank Systems & Technology Online","Gregg Keizer","press-article","It's difficult to gauge how pervasive the SARS epidemic will become in the Asia/Pacific region. At a minimum, the SARS epidemic will cause schedule slippages and disrupt the aggressive growth plans that global electronics companies have for the affected geographies. Worst case, it could result in major supply-chain disruptions and another downdraft for an already challenged industry.","The article reported on Kastner's new Aberdeen Group report warning that SARS could break the IT manufacturing supply chain. Kastner pointed to China's dependence as a source for most of the world's AC-to-DC power supplies.","yes","medium","Kastner forecast at minimum schedule slippages and at worst major supply chain disruptions from SARS. The minimum scenario (delays, disruption to growth plans) materialized, while the worst case did not, as SARS was contained by mid-2003.","1","it-spend-and-market-outlook","2000s","","","","not_in_pdf"
"264","125","2003-04-02","SARS Could Impact IT Supply Chain","Bank Systems & Technology Online","Gregg Keizer","press-article","The dependable supply of key component building blocks is threatened by SARS, not just the assembly plants in China.","Kastner explained that the problem stemmed from electronics manufacturers' dependence on suppliers across the region, not just assembly plants.","yes","medium","Kastner predicted SARS threatened dependable component supply beyond just assembly plants. This proved partially correct — component supply was stressed but not severely broken, and recovery was relatively swift.","1","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"265","126","2003-04-02","Disease Delays High-Tech Travelers","Austin American-Statesman","Kirk Ladendorf and Mary Ann Roser","press-article","It is a trillion-dollar industry. If the supply chain gets disrupted in a just-in-time industry, then all hell breaks loose.","Kastner warned that the tech industry was vulnerable to the spread of SARS because Chinese cities including Hong Kong form critical links in the high-tech food chain. Aberdeen noted Taiwan's Compal Communications had barred employees from traveling to China.","yes","medium","Kastner warned supply chain disruption in a just-in-time industry would cause major cascading failures. This was directionally correct as a risk framing, but SARS was contained before triggering the catastrophic scenario he described.","1","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"266","127","2003-04-02","Businesses Delay Asia Trips Because of SARS","Cox News Service / Foster's Online","Kirk Ladendorf and Mary Ann Roser","press-article","It is a billion-dollar industry. If the supply chain gets disrupted in a just-in-time industry, then all hell breaks loose.","Kastner warned that the tech industry was vulnerable to SARS because China and Hong Kong form critical links in the high-tech food chain. The Aberdeen Group said Compal Communications had barred employees from traveling.","yes","medium","Kastner warned that supply chain disruption in a just-in-time industry would cause cascading failures. The warning was directionally sound but SARS was contained before the worst outcomes materialized.","1","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"267","128","2003-04-03","NBC Nightly News at 6:50 PM","NBC Nightly News","Anne Thompson","broadcast-transcript","SARS could well be the tipping point that takes the world into its second recession in three years.","The NBC Nightly News segment covered SARS disrupting the global economy. Kastner appeared as a guest commenting on economic impacts of the outbreak.","yes","low","Kastner predicted SARS could tip the world into a second recession. SARS was contained by mid-2003 and did not cause a global recession; the world economy and tech sector recovered through 2003–2004.","1","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"268","129","2003-04-03","CNBC Morning Call at 11:29 AM","CNBC Morning Call","","broadcast-transcript","Well, importantly, the electronic industry looks for low cost, of course, but they look for dependable supply. In the last few years, China, the People's Republic, has given them high quality, low costs, but now with the SARS outbreak, the concern is that if there is some sort of quarantine, hypothetically, that would lead to a massive disruption of the supply chain.","Host Ted asked how the SARS outbreak might break the rules of electronics supply. Kastner was the featured guest explaining the dependence of the electronics industry on China.","yes","medium","Kastner warned that SARS could cause massive supply chain disruption if quarantines were imposed. SARS disruptions to China manufacturing were real but limited; supply chains bent but did not break in 2003, making this partially correct.","1","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"269","129","2003-04-03","CNBC Morning Call at 11:29 AM","CNBC Morning Call","","broadcast-transcript","There are 115 million PCs alone that are assembled in Asia. Many are in China. It is a critical building block manufacturing place in the global supply chain.","Host Ted asked about China's market share in electronics. Kastner explained the scale of Asian PC assembly.","no","not-applicable","Observational — current-state analysis.","0","pcs-and-clients","2000s","","","","not_in_pdf"
"270","129","2003-04-03","CNBC Morning Call at 11:29 AM","CNBC Morning Call","","broadcast-transcript","Yeah, so far, we have seen people canceling trips and postponing their developer forum, for instance. I think what happened last week since I began looking at this is that, number one, the governments of the world are more concerned, number two, we'll see what amounts to voluntary quarantine, that should reduce the spread of the disease, but as the head of the CDC said yesterday, it is too early to tell actually what will happen.","Host Ted asked whether management was changing the way it does things. Kastner described the early corporate responses to the SARS outbreak.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"271","129","2003-04-03","CNBC Morning Call at 11:29 AM","CNBC Morning Call","","broadcast-transcript","That is unknown. I can tell you the executives I have talked to are certainly concerned with the fact that the Chinese government for too long sat on this.","Host Ted asked how much commercial damage China had done to itself. Kastner commented on executive concern about the Chinese government's handling of SARS.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"272","130","2003-04-03","Spread of SARS in Asia Prompts Fears for High-Tech Industry","Wall Street Journal Online","William Foreman, Associated Press","press-article","At a minimum, the SARS epidemic will cause schedule slippages and disrupt the aggressive growth plans that global electronics companies have for the affected geographies. Worst case, it could result in major supply chain disruptions and another downdraft for an already challenged industry.","Craig and Kastner co-authored an Aberdeen Group report warning about SARS risks to the global tech industry. The article reported on Intel canceling road shows in China and Taiwan.","yes","medium","Kastner predicted at minimum schedule slippages and disruption to growth plans, worst case major supply chain disruptions. The minimum scenario largely played out — some delays and disruptions occurred — but the worst case did not materialize as SARS was contained quickly.","1","pcs-and-clients","2000s","","","","not_in_pdf"
"273","131","2003-04-03","SARS Fears Afflict Oregon Industries","The Oregonian","Ted Sickinger and Boaz Herzog","press-article","This could potentially be very serious.","Aberdeen Group's Russ Craig warned about the potential impact of SARS on the electronics industry. The article covered how Oregon's high-tech and shoe industries were being disrupted by the outbreak.","yes","low","Craig said SARS could potentially be very serious for industry and supply chains. While SARS caused concern, it was contained by mid-2003 with limited lasting economic damage to the electronics industry.","1","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"274","131","2003-04-03","SARS Fears Afflict Oregon Industries","The Oregonian","Ted Sickinger and Boaz Herzog","press-article","In this case, the kingdom could be lost for the lack of a nail — or a capacitor.","Craig discussed how SARS could lead to component shortages, given how much of the electronics supply chain depended on Asian manufacturing. He noted that language barriers and technical support meant at minimum product schedules would slip.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"275","132","2003-04-03","The Industry Is Saying to Itself, 'Hey, Wait a Minute. How Is This Going to Work?' (Orlando Sentinel — SARS Scare Puts Travel Plans on Hold for Many)","Orlando Sentinel","Robert Johnson","press-article","The industry is saying to itself, 'Hey, wait a minute. How is this going to work?'","The article covered leisure and business travelers reconsidering trips to Asia. Russell Craig of Aberdeen Group commented on supply chain concerns.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"276","133","2003-04-03","Denver Post — Businesses Banning Asia Travel","Denver Post","Marsha Austin","press-article","[No direct quote from Kastner — article attributes data to Aberdeen analysts Russ Craig and Peter Kastner regarding Motorola closing its Singapore plant.]","The article cited Aberdeen Group analysts Russ Craig and Peter Kastner regarding Motorola temporarily closing a cellphone manufacturing facility in Singapore after 305 workers were quarantined due to SARS exposure.","no","not-applicable","Observational — current-state analysis.","0","mobile-and-wireless","2000s","","","","not_in_pdf"
"277","134","2003-04-03","From Tourism to High Finance, Mysterious Illness Spreads Havoc","The New York Times","Keith Bradsher","press-article","One of the imponderables here is how this will affect perceptions of China. Until this happened it was the absolute hot spot in terms of the electronics industry.","Craig commented on what the SARS outbreak might mean for China's status as the dominant electronics manufacturing destination. The article covered the broad economic disruption across Asia.","yes","medium","Craig predicted SARS would damage perceptions of China as the hot spot for electronics investment. This proved only partially correct; China's electronics investment recovered strongly after SARS and China became even more dominant in electronics manufacturing through the 2000s.","3","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
