"article_id","headline_norm","horizon_label","horizon_int","row_id"
"rtf-53","product spotlight the dec market","SH-3y","3","875"
"rtf-53","product spotlight the dec market","SH-3y","3","876"
"rtf-54","rdbms show they can pull oltp weight","SH-3y","3","863"
"rtf-54","rdbms show they can pull oltp weight","SH-3y","3","864"
"rtf-54","rdbms show they can pull oltp weight","prefilter_skip","0","11"
"rtf-54","rdbms show they can pull oltp weight","prefilter_skip","0","12"
"rtf-55","sybase serves up a new sql","SH-3y","3","896"
"rtf-55","sybase serves up a new sql","prefilter_skip","0","40"
"rtf-56","tesseract walker to be financial software allies","LH","10","17"
"rtf-56","tesseract walker to be financial software allies","LH","10","18"
"rtf-56","tesseract walker to be financial software allies","SH-3y","3","871"
"rtf-56","tesseract walker to be financial software allies","SH-3y","3","872"
"rtf-56","tesseract walker to be financial software allies","SH-3y","3","873"
"rtf-56","tesseract walker to be financial software allies","SH-5y","5","19"
"rtf-56","tesseract walker to be financial software allies","SH-5y","5","710"
"rtf-56","tesseract walker to be financial software allies","prefilter_skip","0","20"
"rtf-56","tesseract walker to be financial software allies","prefilter_skip","0","21"
"rtf-57","benchmark gains following","prefilter_skip","0","16"
"rtf-58","tandem goes to relational dbms tools","SH-3y","3","15"
"rtf-58","tandem goes to relational dbms tools","SH-3y","3","869"
"rtf-59","technology on trial","SH-3y","3","971"
"rtf-59","technology on trial","SH-3y","3","972"
"rtf-59","technology on trial","SH-3y","3","973"
"rtf-59","technology on trial","SH-3y","3","974"
"rtf-59","technology on trial","SH-5y","5","144"
"rtf-59","technology on trial","SH-5y","5","145"
"rtf-59","technology on trial","SH-5y","5","146"
"rtf-59","technology on trial","SH-5y","5","743"
"rtf-59","technology on trial","prefilter_skip","0","142"
"rtf-59","technology on trial","prefilter_skip","0","143"
"rtf-59","technology on trial","prefilter_skip","0","742"
"rtf-60","workstations drawn more toward","SH-3y","3","881"
"rtf-61","ncr announces os2 to nt migration service","SH-3y","3","965"
"rtf-61","ncr announces os2 to nt migration service","prefilter_skip","0","134"
"rtf-61","ncr announces os2 to nt migration service","prefilter_skip","0","135"
"rtf-62","ncr adds app processor workgroup computing","prefilter_skip","0","130"
"rtf-63","netframe gives servers flexibility","SH-3y","3","959"
"rtf-63","netframe gives servers flexibility","SH-3y","3","960"
"rtf-63","netframe gives servers flexibility","SH-5y","7","128"
"rtf-63","netframe gives servers flexibility","prefilter_skip","0","127"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","1","78"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","2","57"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","2","65"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","2","75"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","56"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","58"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","67"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","74"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","81"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","82"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","84"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","86"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","906"
"rtf-64","aix database stuck in lab users express little concern","SH-3y","3","907"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","54"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","55"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","59"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","60"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","61"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","62"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","63"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","64"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","66"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","68"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","69"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","70"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","71"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","72"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","73"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","76"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","77"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","79"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","80"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","83"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","85"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","87"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","718"
"rtf-64","aix database stuck in lab users express little concern","prefilter_skip","0","719"
"rtf-7","oracle calls database detente on olap","LH","8","764"
"rtf-7","oracle calls database detente on olap","SH-3y","3","995"
"rtf-7","oracle calls database detente on olap","prefilter_skip","0","170"
"rtf-8","at t splinters","SH-3y","2","762"
"rtf-9","at t gis dives into vertical markets","SH-3y","3","989"
"rtf-9","at t gis dives into vertical markets","SH-3y","3","990"
"rtf-9","at t gis dives into vertical markets","SH-5y","5","752"
"rtf-9","at t gis dives into vertical markets","prefilter_skip","0","161"
