reject,row_id,article_seq,date,headline,publication,author,content_type,kastner_quotation,immediate_context,is_predictive,prescience_score,prescience_rationale,forecast_horizon_years,theme,decade,accuracy_outcome,verdict_rationale,verdict_sources,source_segment_idx,classification,discovery_rule,discovery_confidence,detector_headline_attempted
,,,,"""Our research shows that CA customers are a lot happier than they were a year ago, when CA started its new",AP,,,"""Our research shows that CA customers are a lot happier than they were a year ago, when CA started its new sales model,"" Aberdeen’s Kastner said. Wyly asserted that CA has also dropped its pro forma financial reporting practices in favor of strict adherence to Generally Accepted Accounting Principles thanks to his pressure. Pro forma results are often difficult to understand and can pu","""Our research shows that CA customers are a lot happier than they were a year ago, when CA started its new sales model,"" Aberdeen’s Kastner said. Wyly asserted that CA has also dropped its pro forma financial reporting practices in favor of strict adherence to Generally Accepted Accounting Principles thanks to his pressure. Pro forma results are often difficult to understand and can put a companys performance in an unrealistically favorable light. Concern over such accounting practices and outrage over an opulent compensation package for Wang and Kumar two years ago left hard feelings among",,,,,,,,,,279,ARTICLE_HEAD,R1+R3,high,"""Our research shows that CA customers are a lot happier than they were a year ago, when CA started its new"
,,,,IBM Hires Borman,AP,,,"partners, this move is very sensible."" Levarditauro said IDC. Kastner of Aberdeen also stressed the validity of the Borman sector partners. ""His past experience in the field of partners will be essential to give the go-to marketing initiatives that are focused on new i5 server. However,from the outside, One has the im","partners, this move is very sensible."" Levarditauro said IDC. Kastner of Aberdeen also stressed the validity of the Borman sector partners. ""His past experience in the field of partners will be essential to give the go-to marketing initiatives that are focused on new i5 server. However,from the outside, One has the impression that IBM has decided to focus on a person with proven experience to give new impetus to the iSeries world. "" Bob Boyson, president of Common, the largest IBM user group, has expressed a positive opinion on the appointment of Borman. 'It is n",,,,,,,,,,287,ARTICLE_CONTINUATION,R1+R3,high,
,,,,Navy Lands Supercomputer,E-Commerce Times,Keith Regan,,"Keith Regan IBM Lands Navy Supercomputer Deal 07/27/04 9:57 AM PT | E-Commerce Times | 600 Words Aberdeen Group Chief Research Officer Peter Kastner told the E-Commerce Times that more companies these days can lash servers together to produce high-powered machines. ""It used to be if you needed a machine this powerful, you had only a handful of... Elizabeth Millard Hitachi, NEC Join To Challenge","Keith Regan IBM Lands Navy Supercomputer Deal 07/27/04 9:57 AM PT | E-Commerce Times | 600 Words Aberdeen Group Chief Research Officer Peter Kastner told the E-Commerce Times that more companies these days can lash servers together to produce high-powered machines. ""It used to be if you needed a machine this powerful, you had only a handful of... Elizabeth Millard Hitachi, NEC Join To Challenge Cisco 06/25/04 9:45 AM PT | E-Commerce Times | 661 Words Aberdeen analyst Peter Kastner told the E-Commerce Times: ""Cisco understands routers, and the problems that they solve. They have the market well",,,,,,,,,,304,ARTICLE_HEAD,R1+R3,high,Keith Regan
,,,,Navy Lands Supercomputer,E-Commerce Times,Keith Regan,,"her to produce high-powered machines. ""It used to be if you needed a machine this powerful, you had only a handful of... Elizabeth Millard Hitachi, NEC Join To Challenge Cisco 06/25/04 9:45 AM PT | E-Commerce Times | 661 Words Aberdeen analyst Peter Kastner told the E-Commerce Times: ""Cisco understands routers, and the problems that they solve. They have the market well","Keith Regan IBM Lands Navy Supercomputer Deal 07/27/04 9:57 AM PT | E-Commerce Times | 600 Words Aberdeen Group Chief Research Officer Peter Kastner told the E-Commerce Times that more companies these days can lash servers together to produce high-powered machines. ""It used to be if you needed a machine this powerful, you had only a handful of... Elizabeth Millard Hitachi, NEC Join To Challenge Cisco 06/25/04 9:45 AM PT | E-Commerce Times | 661 Words Aberdeen analyst Peter Kastner told the E-Commerce Times: ""Cisco understands routers, and the problems that they solve. They have the market well",,,,,,,,,,304,ARTICLE_HEAD,R1+R3,high,Keith Regan
,,,,"Manufacturers count on a low redemption rate, as do retailers, because they can advertise a discounted price but sell",,,,"Manufacturers count on a low redemption rate, as do retailers, because they can advertise a discounted price but sell at full price and keep the difference. ''It is a primary reason for using rebates instead of sales,'' Mr. Kastner said. ''It also boggles the mind that otherwise upstanding product companies would pursue this tawdry strategy, which can alienate their consumers.'' Manufacturers and companies that process rebates say they are being blamed for problems they do not","Manufacturers count on a low redemption rate, as do retailers, because they can advertise a discounted price but sell at full price and keep the difference. ''It is a primary reason for using rebates instead of sales,'' Mr. Kastner said. ''It also boggles the mind that otherwise upstanding product companies would pursue this tawdry strategy, which can alienate their consumers.'' Manufacturers and companies that process rebates say they are being blamed for problems they do not cause. ''Consumers complain because they don't receive their rebates,'' said Frank Giordano, president of TCA Fulfillm",,,,,,,,,,309,ARTICLE_HEAD,R1,medium,"Manufacturers count on a low redemption rate, as do retailers, because they can advertise a discounted price but sell"
,,,,Computers bring productivity surge,,,,"0 skilled employees to the payroll. And because these tasks are only a few of the total number of computer-based tasks the average employee performs in a day, the true productivity advantage could be much, much greater. Reasons to Upgrade: Peter S. Kastner, executive vice president and chief research officer for the Consumer Digital Technology Practice at Aberdeen Group, in his report titled, ‘Why You Need To Replace Those Windows* 98 And NT* Machines’ said, “Looking down the road, keeping Windows 98-","increase of 1.5 million employee work hours. That’s the equivalent of adding 750 skilled employees to the payroll. And because these tasks are only a few of the total number of computer-based tasks the average employee performs in a day, the true productivity advantage could be much, much greater. Reasons to Upgrade: Peter S. Kastner, executive vice president and chief research officer for the Consumer Digital Technology Practice at Aberdeen Group, in his report titled, ‘Why You Need To Replace Those Windows* 98 And NT* Machines’ said, “Looking down the road, keeping Windows 98-era PCs around",,,,,,,,,,310,ARTICLE_CONTINUATION,R1,medium,
,,,,Worldwide IT spending increases,DC Velocity,,,"4 percent in 2003, predicts the Aberdeen Group. Worldwide spending on IT products and services is expected to increase 4 percent in 2003, predicts the Aberdeen Group, a technology market analysis firm. That compares to growth of 1 percent last year. Aberdeen forecasts long-term growth in the 4-to 5-percent range. The firm expects that in the United States,IT purchases will increase 3.6 percent in 2003, with annual increases of between 5 and 6 per","February 2003 -- newsworthy soft growth seen for software By DC Velocity Staff Worldwide spending on IT products and services is expected to increase 4 percent in 2003, predicts the Aberdeen Group. Worldwide spending on IT products and services is expected to increase 4 percent in 2003, predicts the Aberdeen Group, a technology market analysis firm. That compares to growth of 1 percent last year. Aberdeen forecasts long-term growth in the 4-to 5-percent range. The firm expects that in the United States,IT purchases will increase 3.6 percent in 2003, with annual increases of between 5 and 6 per",,,,,,,,,,313,ARTICLE_HEAD,R2,low,February 2003 -- newsworthy
,,,,Dell executives said shipments of its OptiPlex and Dimension desktop computers rose 25 percent in the three,,,,"of its OptiPlex and Dimension desktop computers rose 25 percent in the three months ended Aug. 1, while server shipments rose 27 percent over the year-ago period. Revenue from external storage systems rose 46 percent to more than $1.5 billion. Peter Kastner, a personal computer analyst with Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue growth,","Dell executives said shipments of its OptiPlex and Dimension desktop computers rose 25 percent in the three months ended Aug. 1, while server shipments rose 27 percent over the year-ago period. Revenue from external storage systems rose 46 percent to more than $1.5 billion. Peter Kastner, a personal computer analyst with Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless d",,,,,,,,,,321,ARTICLE_HEAD,R1+R3,high,Dell executives said shipments of its OptiPlex and Dimension desktop computers rose 25 percent in the three
,,,,Dell executives said shipments of its OptiPlex and Dimension desktop computers rose 25 percent in the three,,,,"s rose 46 percent to more than $1.5 billion. Peter Kastner, a personal computer analyst with Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless d","Dell executives said shipments of its OptiPlex and Dimension desktop computers rose 25 percent in the three months ended Aug. 1, while server shipments rose 27 percent over the year-ago period. Revenue from external storage systems rose 46 percent to more than $1.5 billion. Peter Kastner, a personal computer analyst with Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless d",,,,,,,,,,321,ARTICLE_HEAD,R1+R3,high,Dell executives said shipments of its OptiPlex and Dimension desktop computers rose 25 percent in the three
,,,,Dell is clearly serious about its expansion efforts. “Do not overlook the fact that Dell Computer Inc. changed its,Inc.,,,"Dell is clearly serious about its expansion efforts. “Do not overlook the fact that Dell Computer Inc. changed its name to Dell Inc.,” Kastner says. “That's a direct message from the board of directors that computers are not Dell's only business anymore.” That may be good news for consumers and bad news for other consumer electronics marketers. Russ Craig, director of research of semicondu","Dell is clearly serious about its expansion efforts. “Do not overlook the fact that Dell Computer Inc. changed its name to Dell Inc.,” Kastner says. “That's a direct message from the board of directors that computers are not Dell's only business anymore.” That may be good news for consumers and bad news for other consumer electronics marketers. Russ Craig, director of research of semiconductors for Aberdeen Group, says that the entry of Dell into the consumer electronics market will push competitors to lower prices, sometimes to their detriment since most do not have the financial leeway Dell",,,,,,,,,,323,ARTICLE_HEAD,R1,medium,Dell is clearly serious about its expansion efforts. “Do not overlook the fact that Dell Computer Inc. changed its
,,,,"Although the asset recovery business is profitable, its success rests with helping customers purchase additional Dell",Inc.,,,"to do with old equipment, Arbogast says. ""Given that our primary focus is enabling Dell's to sell additional hardware, Dell's focus on this service is not to build a huge portfolio of highly profitable asset recovery services,"" Arbogast says. Peter Kastner, an analyst at Boston-based research firm The Aberdeen Group Inc., says the asset recovery program isn't likely to generate the 30 percent profit margins that Dell typically seeks, but it","Although the asset recovery business is profitable, its success rests with helping customers purchase additional Dell equipment without fretting about what to do with old equipment, Arbogast says. ""Given that our primary focus is enabling Dell's to sell additional hardware, Dell's focus on this service is not to build a huge portfolio of highly profitable asset recovery services,"" Arbogast says. Peter Kastner, an analyst at Boston-based research firm The Aberdeen Group Inc., says the asset recovery program isn't likely to generate the 30 percent profit margins that Dell typically seeks, but it",,,,,,,,,,327,ARTICLE_HEAD,R1,medium,"Although the asset recovery business is profitable, its success rests with helping customers purchase additional Dell"
,,,,"Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the",,,,"Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue gro","Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless deflation in prices, Dell is leading the industry in performance on a percentage basis."" In after-hours trading, Dell's shares gave up 45 cents to trade at $30.94 after rising 8 cents i",,,,,,,,,,335,ARTICLE_HEAD,R1+R3,high,"Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the"
,,,,"Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the",,,,"Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless deflation in prices, Dell is leading the industry in performance on a percentage basis."" In after-hours trading, Dell's shares gave up 45","Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the company's focus on standardized computing technologies. ""This is a very good quarter, again, for Dell,"" Kastner said. ""Profits continue to outpace revenue growth, (and) in spite of anemic economic conditions and relentless deflation in prices, Dell is leading the industry in performance on a percentage basis."" In after-hours trading, Dell's shares gave up 45 cents to trade at $30.94 after rising 8 cents in the regular market session. Going forward, Dell CFO Jim Schneider said the company ex",,,,,,,,,,335,ARTICLE_HEAD,R1+R3,high,"Peter Kastner, a personal computer analyst with the Aberdeen Group, said Dell's performance supports the"
,,,,Pescatore added that Cisco should work to reduce the impact of future code exposures by joining the File Signature,,,,"wire, IBM (NYSE: IBM) More about IBM, Sun Microsystems and others, aims to create a library of legitimate software products and their signatures. Trouble Ahead? Although enterprises may be protected from harm as a result of the reported code leak, Kastner posited that Cisco itself could have difficulties because of the theft. ""Any code posted to the Net gives hackers an opportunity,"" Kastner said. Armed with the stolen code, hackers will be","Pescatore added that Cisco should work to reduce the impact of future code exposures by joining the File Signature Database. This initiative, led by Tripwire, IBM (NYSE: IBM) More about IBM, Sun Microsystems and others, aims to create a library of legitimate software products and their signatures. Trouble Ahead? Although enterprises may be protected from harm as a result of the reported code leak, Kastner posited that Cisco itself could have difficulties because of the theft. ""Any code posted to the Net gives hackers an opportunity,"" Kastner said. Armed with the stolen code, hackers will be",,,,,,,,,,340,ARTICLE_HEAD,R1,medium,Pescatore added that Cisco should work to reduce the impact of future code exposures by joining the File Signature
,,,,Pescatore added that Cisco should work to reduce the impact of future code exposures by joining the File Signature,,,,"ures. Trouble Ahead? Although enterprises may be protected from harm as a result of the reported code leak, Kastner posited that Cisco itself could have difficulties because of the theft. ""Any code posted to the Net gives hackers an opportunity,"" Kastner said. Armed with the stolen code, hackers will be","educe the impact of future code exposures by joining the File Signature Database. This initiative, led by Tripwire, IBM (NYSE: IBM) More about IBM, Sun Microsystems and others, aims to create a library of legitimate software products and their signatures. Trouble Ahead? Although enterprises may be protected from harm as a result of the reported code leak, Kastner posited that Cisco itself could have difficulties because of the theft. ""Any code posted to the Net gives hackers an opportunity,"" Kastner said. Armed with the stolen code, hackers will be",,,,,,,,,,340,ARTICLE_HEAD,R1,medium,Pescatore added that Cisco should work to reduce the impact of future code exposures by joining the File Signature
,,,,"""As a nation, we have to innovate faster than the rest of the world,"" he said. ""Clearly, this technology will have an",AP,,,"to innovate faster than the rest of the world,"" he said. ""Clearly, this technology will have an impact for all nations, but it's in our best interest to have it here for economic competitiveness and faster innovation."" Aberdeen Group analyst Peter Kastner told the E-Commerce Times that such a supercomputer also would be handy for military applications, as it would eliminate the need for real-world testing. Beyond Science Zacharia added that beyond scientific applications, such a powerful supercompu","""As a nation, we have to innovate faster than the rest of the world,"" he said. ""Clearly, this technology will have an impact for all nations, but it's in our best interest to have it here for economic competitiveness and faster innovation."" Aberdeen Group analyst Peter Kastner told the E-Commerce Times that such a supercomputer also would be handy for military applications, as it would eliminate the need for real-world testing. Beyond Science Zacharia added that beyond scientific applications, such a powerful supercomputer also could be used for corporate strategies. For example, an automak",,,,,,,,,,343,ARTICLE_HEAD,R1+R3,high,"""As a nation, we have to innovate faster than the rest of the world,"" he said. ""Clearly, this technology will have an"
,,,,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the",AP,,,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the Redmond, Washington-based giant, said Aberdeen Group chief research officer Peter Kastner. In an interview with the E-Commerce Times, Kastner noted that Microsoft has many ""silent friends"" who might become vocal as the case goes forward. ""How Microsoft does business has been determined as legal in the U.S.,"" Kastner said. ""So, for the","As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the Redmond, Washington-based giant, said Aberdeen Group chief research officer Peter Kastner. In an interview with the E-Commerce Times, Kastner noted that Microsoft has many ""silent friends"" who might become vocal as the case goes forward. ""How Microsoft does business has been determined as legal in the U.S.,"" Kastner said. ""So, for the EU to set a totally different standard for business conduct threatens not only Microsoft, but every other global company as well."" Desler agreed the ru",,,,,,,,,,344,ARTICLE_HEAD,R1+R3,high,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the"
,,,,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the",AP,,,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the Redmond, Washington-based giant, said Aberdeen Group chief research officer Peter Kastner. In an interview with the E-Commerce Times, Kastner noted that Microsoft has many ""silent friends"" who might become vocal as the case goes forward. ""How Microsoft does business has been determined as legal in the U.S.,"" Kastner said. ""So, for the EU to set a totally different standard for business c","As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the Redmond, Washington-based giant, said Aberdeen Group chief research officer Peter Kastner. In an interview with the E-Commerce Times, Kastner noted that Microsoft has many ""silent friends"" who might become vocal as the case goes forward. ""How Microsoft does business has been determined as legal in the U.S.,"" Kastner said. ""So, for the EU to set a totally different standard for business conduct threatens not only Microsoft, but every other global company as well."" Desler agreed the ru",,,,,,,,,,344,ARTICLE_HEAD,R1+R3,high,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the"
,,,,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the",AP,,,"earch officer Peter Kastner. In an interview with the E-Commerce Times, Kastner noted that Microsoft has many ""silent friends"" who might become vocal as the case goes forward. ""How Microsoft does business has been determined as legal in the U.S.,"" Kastner said. ""So, for the EU to set a totally different standard for business conduct threatens not only Microsoft, but every other global company as well."" Desler agreed the ru","As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the Redmond, Washington-based giant, said Aberdeen Group chief research officer Peter Kastner. In an interview with the E-Commerce Times, Kastner noted that Microsoft has many ""silent friends"" who might become vocal as the case goes forward. ""How Microsoft does business has been determined as legal in the U.S.,"" Kastner said. ""So, for the EU to set a totally different standard for business conduct threatens not only Microsoft, but every other global company as well."" Desler agreed the ru",,,,,,,,,,344,ARTICLE_HEAD,R1,medium,"As the Microsoft appeal goes forward, it will be interesting to note which companies emerge as allies to the"
,,,,Dell reports earnings,,,,"""Dell's operating costs -- general, sales and administrative -- are under 10 percent now of sales,"" said Kastner. ""So it's a lean and mean, low-overhead operation."" Dell is ahead of schedule in its effort to save more than $1 billion in total costs this year, including cost cuts in product design Click here to get the Free Email Design No-No's Guide from Lyri","""Dell's operating costs -- general, sales and administrative -- are under 10 percent now of sales,"" said Kastner. ""So it's a lean and mean, low-overhead operation."" Dell is ahead of schedule in its effort to save more than $1 billion in total costs this year, including cost cuts in product design Click here to get the Free Email Design No-No's Guide from Lyris -- includes the top 10 things you need to know., manufacturing, logistics and warranties, according to Rollins. HP executives could not immediately be reached for comment. Hitachi, NEC Join To Challenge Cisco By Elizabeth Millard, E-C",,,,,,,,,,349,UNKNOWN,R1,medium,
,,,,Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher,AP,,,"Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher political office, and that the Microsoft case offers high visibility to the attorneys general involved. ""Draw your own conclusions,"" Kastner said.","Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher political office, and that the Microsoft case offers high visibility to the attorneys general involved. ""Draw your own conclusions,"" Kastner said. Microsoft Patches IE Security Flaws By Helen Gallagher, E-Commerce Times 02/03/04 7:28 AM PT Users, especially home workers, small businesses and individuals, could lower their risk of attack immediately by using the Mozilla or Netscape browser to s",,,,,,,,,,356,ARTICLE_HEAD,R1,medium,Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher
,,,,Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher,AP,,,"Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher political office, and that the Microsoft case offers high visibility to the attorneys general involved. ""Draw your own conclusions,"" Kastner said. Microsoft Patches IE Security Flaws By Helen Gallagher, E-Commerce Times 02/03/04 7:28 AM PT Users, especially home workers, small businesses and individuals, could lower their risk of attack immediately by using the Mozilla or Netscape brow","Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher political office, and that the Microsoft case offers high visibility to the attorneys general involved. ""Draw your own conclusions,"" Kastner said. Microsoft Patches IE Security Flaws By Helen Gallagher, E-Commerce Times 02/03/04 7:28 AM PT Users, especially home workers, small businesses and individuals, could lower their risk of attack immediately by using the Mozilla or Netscape browser to search the Internet, iDefense director of malicious code Ken Dunham told the E-Commerce Times.",,,,,,,,,,356,ARTICLE_HEAD,R1,medium,Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher
,,,,States take on Microsoft anti-trust,E-Commerce Times,,,"Analysts said they expect the states will not get exactly what they want. ""I don't believe the states will get Windows chopped up the way they have suggested,"" Peter Kastner, chief research officer at the Aberdeen Group, told the E-Commerce Times. ""But I do believe the judge will [do more than] simply reaffirm the agreement the Justice Department and Microsoft reached last November,"" he added. New Broadband Legislatio","Analysts said they expect the states will not get exactly what they want. ""I don't believe the states will get Windows chopped up the way they have suggested,"" Peter Kastner, chief research officer at the Aberdeen Group, told the E-Commerce Times. ""But I do believe the judge will [do more than] simply reaffirm the agreement the Justice Department and Microsoft reached last November,"" he added. New Broadband Legislation Revives Old Debate By Jennifer LeClaire, E-Commerce Times 05/03/02 10:53 AM PT Jim Cicconi, AT&T general counsel, said Breaux's bill would be 'a sledgehammer blow to a telec",,,,,,,,,,359,UNKNOWN,R1+R3,high,
,,,,Dell Gaining Ground,,,,"Gaining Ground Analysts said they expected Dell to profit in the education market, thanks largely to its network of partners developed over the past few years. ""Many universities treat Dell as a preferred vendor,"" Kastner said. ""Students can purchase discounted Dells at the university book store and get free university desktop support."" But in addition to an uptick in education, government and business sales, Dell executives said the company believes it is gaining m","Gaining Ground Analysts said they expected Dell to profit in the education market, thanks largely to its network of partners developed over the past few years. ""Many universities treat Dell as a preferred vendor,"" Kastner said. ""Students can purchase discounted Dells at the university book store and get free university desktop support."" But in addition to an uptick in education, government and business sales, Dell executives said the company believes it is gaining market share from competitors in a climate of weak overall demand. Kastner agreed that Dell has been increasing its market shar",,,,,,,,,,361,ARTICLE_HEAD,R1,medium,Gaining Ground
,,,,Dell Gaining Ground,,,,"ok store and get free university desktop support."" But in addition to an uptick in education, government and business sales, Dell executives said the company believes it is gaining market share from competitors in a climate of weak overall demand. Kastner agreed that Dell has been increasing its market shar","ted Dell to profit in the education market, thanks largely to its network of partners developed over the past few years. ""Many universities treat Dell as a preferred vendor,"" Kastner said. ""Students can purchase discounted Dells at the university book store and get free university desktop support."" But in addition to an uptick in education, government and business sales, Dell executives said the company believes it is gaining market share from competitors in a climate of weak overall demand. Kastner agreed that Dell has been increasing its market shar",,,,,,,,,,361,ARTICLE_HEAD,R1,medium,Gaining Ground
,,,,Gartner's Smith concurred that the platform's basic security features are paramount. He rated the partitioning feature,,,,"important bulwark against malware and denial-of-service attacks. As for .NET, Smith said those in the know already have it. ""You didn't need to wait for Win2003 to deploy .NET. If you did, you didn't really understand the software."" But Aberdeen's Kastner said that, nonetheless, integration of .NET with Win2003 is important because it makes .NET more reliable. ""You have to realize Win2003 is a long-term project to bring underlying stabili","Gartner's Smith concurred that the platform's basic security features are paramount. He rated the partitioning feature for Internet Information Server as an important bulwark against malware and denial-of-service attacks. As for .NET, Smith said those in the know already have it. ""You didn't need to wait for Win2003 to deploy .NET. If you did, you didn't really understand the software."" But Aberdeen's Kastner said that, nonetheless, integration of .NET with Win2003 is important because it makes .NET more reliable. ""You have to realize Win2003 is a long-term project to bring underlying stabili",,,,,,,,,,365,ARTICLE_HEAD,R1+R3,high,Gartner's Smith concurred that the platform's basic security features are paramount. He rated the partitioning feature
,,,,"Microsoft has said it is investigating the file-name spoofing vulnerability, but the company has not disclosed whether",E-Commerce Times,,,"ft has said it is investigating the file-name spoofing vulnerability, but the company has not disclosed whether a patch will become available at the same time as the patch for the IE spoofing flaw discovered last month. Aberdeen Group analyst Peter Kastner told the E-Commerce Times that although Microsoft is often criticized for patch delays, he believes the company should be given some leeway on the issue. ""You're not seeing a whole lot of functionality creeping through the micro patch process,"" he","Microsoft has said it is investigating the file-name spoofing vulnerability, but the company has not disclosed whether a patch will become available at the same time as the patch for the IE spoofing flaw discovered last month. Aberdeen Group analyst Peter Kastner told the E-Commerce Times that although Microsoft is often criticized for patch delays, he believes the company should be given some leeway on the issue. ""You're not seeing a whole lot of functionality creeping through the micro patch process,"" he said. ""Whenever a security flaw is found, they fix it as quickly as possible and push",,,,,,,,,,370,ARTICLE_HEAD,R1+R3,high,"Microsoft has said it is investigating the file-name spoofing vulnerability, but the company has not disclosed whether"
,,,,"This build-to-order model has worked not only with PCs, but in other segments where Dell has been capturing market",AP,,,"ld-to-order model has worked not only with PCs, but in other segments where Dell has been capturing market share, including servers, workstations and notebook computers. In an atmosphere in which cutting spending remains a major competitive factor, Kastner said, Dell is poised to ride out tough times while positioning itself for the recovery, when corporate IT investment increases. ""They're able to move the throttle much more quickly than the competition,"" he noted. According to Dell spokesperson Mi","This build-to-order model has worked not only with PCs, but in other segments where Dell has been capturing market share, including servers, workstations and notebook computers. In an atmosphere in which cutting spending remains a major competitive factor, Kastner said, Dell is poised to ride out tough times while positioning itself for the recovery, when corporate IT investment increases. ""They're able to move the throttle much more quickly than the competition,"" he noted. According to Dell spokesperson Mike Maher, the build-to-order model scales well to products beyond consumer PCs. He sa",,,,,,,,,,372,ARTICLE_HEAD,R1,medium,"This build-to-order model has worked not only with PCs, but in other segments where Dell has been capturing market"
,,,,"Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and",,,,"Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and companies can no longer build their futures on spending-fueled buzz and marketing hype. ""The Internet gold rush is over,"" said Kastner. ""Businesses are putting their dreams more in","Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and companies can no longer build their futures on spending-fueled buzz and marketing hype. ""The Internet gold rush is over,"" said Kastner. ""Businesses are putting their dreams more in line with reality. They're using a much sharper pencil when making their plans and decisions."" Preparing for 2002, companies need more stringent, focused planning than they might have settled for in past years, with better defined objectives and a",,,,,,,,,,374,ARTICLE_HEAD,R1,medium,"Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and"
,,,,"Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and",,,,"Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and companies can no longer build their futures on spending-fueled buzz and marketing hype. ""The Internet gold rush is over,"" said Kastner. ""Businesses are putting their dreams more in line with reality. They're using a much sharper pencil when making their plans and decisions."" Preparing for 2002, companies need more stringent, focused planning than they might have settled for in pas","Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and companies can no longer build their futures on spending-fueled buzz and marketing hype. ""The Internet gold rush is over,"" said Kastner. ""Businesses are putting their dreams more in line with reality. They're using a much sharper pencil when making their plans and decisions."" Preparing for 2002, companies need more stringent, focused planning than they might have settled for in past years, with better defined objectives and a much tighter rein on new spending. Tighter, Shorter, Smaller For e",,,,,,,,,,374,ARTICLE_HEAD,R1,medium,"Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and"
,,,,"Aberdeen Group chief research officer Peter Kastner noted that other improvements, which are likely to play",,,,"Aberdeen Group chief research officer Peter Kastner noted that other improvements, which are likely to play out for the rest of the decade, will transform e-commerce in even more ways. As wireless devices become more Web-compatible, and as server size continues to shrink, e-businesses will be able to","Aberdeen Group chief research officer Peter Kastner noted that other improvements, which are likely to play out for the rest of the decade, will transform e-commerce in even more ways. As wireless devices become more Web-compatible, and as server size continues to shrink, e-businesses will be able to provide more features and functions without devoting huge amounts of space to new equipment. Server and software enhancements will also make certain e-marketing functions smarter -- for example, they could allow specific, targeted product recommend",,,,,,,,,,377,ARTICLE_HEAD,R1+R3,high,"Aberdeen Group chief research officer Peter Kastner noted that other improvements, which are likely to play"
