obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,verification_method,methodology_code,source_page,notes,collection,thread_tag,section,legacy_obs_id,_study_type,_study_prescience,_bucket
maxtor-ramp-interview-guide-first-draft-c68ebd-OBS-001,maxtor-ramp-interview-guide-first-draft-c68ebd,aberdeen-group,,market-research-design,2003,Instrument type,Face-to-face structured RAMP interview guide,high,ingest-extraction,interview-design,Lines 20-22,Designed for in-person executive interviews as part of the Maxtor RAMP validation project with approximately 5 enterprise companies.,,,,,market-study,high,market-research
aberdeen-1997-actra-commercexpert-internet-commerce-OBS-010,aberdeen-1997-actra-commercexpert-internet-commerce,actra-corp,commercexpert-suite,viability-prediction,1997,Actra competitive viability,CommerceXpert is now a formidable offering; distribution via Netscape/GEIS gives market leadership potential,verified,outcome-linkage,competitive-profiling,p.1,Aberdeen reversal from spring 1997 skepticism; predicts sustained competitive force,,,,,market-study,high,market-research
1998-nt-professional-services-buying-guide-1998-edition-14e452-OBS-008,1998-nt-professional-services-buying-guide-1998-edition-14e452,,windows-nt,framework-factor,1998,Provider type 2 — NT ISVs,Software suppliers with professional services orgs for NT software deployment; typically subcontract to IPSPs,high,ingest-extraction,competitive-profiling,Chapter 1,One of four NT Professional Services provider categories,,,,14e452-OBS-008,market-study,medium,market-research
tpcbench92-139998-OBS-018,tpcbench92-139998,aberdeen-group,tpc-benchmark,expert-opinion,1992,TPC competition benefit to buyers,Buyers will benefit from supplier competition; competition breeds better price and performance,high,ingest-extraction,expert-commentary,1,,,,,,market-study,medium,market-research
cab199-1-2-0cb163-OBS-013,cab199-1-2-0cb163,informix-corporation,tech-09,competitive-assessment,1997,benchmark-wins,Informix wins most head-to-head benchmarks it competes in,high,ingest-extraction,expert-opinion,7,Aberdeen notes Informix has strong track record winning competitive benchmarks.,,,,cab199-1-2-0cb163.013,market-study,medium,market-research
aberdeen-1996-risc-unix-market-OBS-037,aberdeen-1996-risc-unix-market,data-general,clariion,market-data,1995,Data General RISC/Unix revenue,$620 million,medium,ingest-extraction,revenue-benchmark,p.3,,,,,,market-study,medium,market-research
2002-second-generation-pdas-it-s-high-time-for-wireless-c6563f-OBS-006,2002-second-generation-pdas-it-s-high-time-for-wireless-c6563f,,enterprise-mobility,viability-prediction,2002,2002 market prediction - wireless enterprise mobility,2002 will be the year vendors deliver integrated wireless enterprise PIM/email,verified,outcome-linkage,industry-analysis,1,Key forward-looking claim: the year of wireless enterprise PDA delivery,,,,,market-study,high,market-research
cab199-1-2-0cb163-OBS-018,cab199-1-2-0cb163,informix-corporation,tech-09,vendor-weakness,1997,resources-customer-base,Limited resources and customer base,high,ingest-extraction,expert-opinion,7,Informix rated as constrained by smaller resource base and customer count vs. Oracle/IBM.,,,,cab199-1-2-0cb163.018,market-study,medium,market-research
2001-living-with-windows-xp-media-player-and-wireless-s-02f8a8-OBS-010,2001-living-with-windows-xp-media-player-and-wireless-s-02f8a8,microsoft-corporation,windows-xp,market-data,2002,Corporate XP adoption by end of 2002,"75% of corporate PCs still running Windows 95, 98, or NT Workstation by end of 2002 (Gartner)",verified,ingest-extraction,document-review,web-research,Enterprise lagged behind consumer adoption; XP's consumer features not main enterprise driver,,,,02f8a8-OBS-010,market-study,high,market-research
2001-pdas-in-the-enterprise-analyzing-supplier-viabilit-b2c1d0-OBS-002,2001-pdas-in-the-enterprise-analyzing-supplier-viabilit-b2c1d0,,market-positioning-pyramid,framework-factor,2001,MPP framework application,Aberdeen MPP framework applied to PDA vendor evaluation,high,ingest-extraction,industry-analysis,abstract,Market Positioning Pyramid used to assess product quality and supplier viability,,,,b2c1d0-OBS-002,market-study,low,market-research
utilities-transformed-it-696ffb-OBS-002,utilities-transformed-it-696ffb,,internet-energy-services,expert-opinion,1998,Energy deregulation IT role,Information technology is the means for an evolution from conservative market structures to competitive markets for transmission and power,high,ingest-extraction,expert-opinion,Overview,Core thesis: IT enables deregulation,,,,,market-study,high,market-research
nti-2-open-systems-1dd3af-OBS-017,nti-2-open-systems-1dd3af,novell,unix,technology-assessment,1993,Novell acquisition of Unix Systems Laboratories,Acquired USL from AT&T,high,ingest-extraction,industry-analysis,16,AT&T spun off USL; acquired by Novell; Unix International effectively dissolved,,,,,market-study,high,market-research
aberdeen-1996-dec-manageworks-22-OBS-019,aberdeen-1996-dec-manageworks-22,digital-equipment-corporation,manageworks-22,expert-opinion,1996,Aberdeen assessment of enterprise management role,ManageWORKS gives users a consistent view of disparate networks; no other product offers this,medium,ingest-extraction,competitive-profiling,Aberdeen Conclusions,"Aberdeen's strong claim of uniqueness in cross-NOS visibility; overstated given emerging competition from CA, IBM",,,,,market-study,medium,market-research
state-street-ramp-interview-for-maxtor-p-fa94f8-OBS-034,state-street-ramp-interview-for-maxtor-p-fa94f8,state-street,ata-disk,actual-outcome,2010,Actual outcome: ATA/SATA adoption in financial services,[UNVERIFIED],high,ingest-extraction,expert-opinion,p.2,[UNVERIFIED] SATA nearline SAS became standard in financial-services secondary storage tiers 2006-2012; TCO argument prevailed.,,,,,market-study,high,market-research
05-idc-sata-report-0872b8-OBS-010,05-idc-sata-report-0872b8,idc,,survey-finding,2003,Storage budget growth 2004,Spending on IT in general and storage in specific expected to increase in 2004 — majority expect storage growth,high,ingest-extraction,primary-research,Spending Profiles,Most organizations expected modest storage budget increases in 2004,,,,05-idc-OBS-010,market-study,high,market-research
aberdeen-1996-remote-access-cisco-untold-story-OBS-023,aberdeen-1996-remote-access-cisco-untold-story,us-robotics,,actual-outcome,1997,US Robotics competitive fate,US Robotics acquired by 3Com in 1997 for $7.3B; removed from independent competition,verified,web-source,document-review,Post-publication,,,,,,market-study,high,market-research
ibm-rs6000-midran~1-88f049-OBS-001,ibm-rs6000-midran~1-88f049,ibm,,market-sizing,1994,1994 worldwide commercial multiuser RISC/UNIX market size,$10 billion,high,ingest-extraction,industry-analysis,slide 9,"Source: Aberdeen Group, February 1995",,,,,benchmark,high,market-research
aberdeen-1996-remote-access-cisco-untold-story-OBS-007,aberdeen-1996-remote-access-cisco-untold-story,cisco-systems,cisco-ios,strategy-classification,1996,IOS software competitive moat,Robustness and depth of IOS software is Cisco's primary value-add; cross-platform consistency,high,ingest-extraction,expert-opinion,Aberdeen Conclusions,Named as first of four competitive weapons,,,,,market-study,high,market-research
1988-encore-oltp-market-tps-needs-deee45-OBS-006,1988-encore-oltp-market-tps-needs-deee45,enc-11,,strategy-classification,1988,Government OLTP market priority ranking,#3 of 10 priority markets; estimated $200M high-end OLTP market,medium,ingest-extraction,industry-analysis,conclusions,UNIX + price/performance well-suited for administrative and national security applications,,,,o88-006,market-study,medium,market-research
2001-compaq-tru64-unix-and-oracle9i-clusters-reduce-cos-17b4b2-OBS-012,2001-compaq-tru64-unix-and-oracle9i-clusters-reduce-cos-17b4b2,sap-ag,,expert-opinion,2001,Aberdeen recommendation to SAP,SAP should not resist Compaq/Oracle partnership and should support Oracle9i for SAP workloads,medium,ingest-extraction,expert-opinion,abstract,Core thesis of the InSight piece; prescient in identifying Oracle9i RAC's superiority but wrong about SAP's strategic response,,,,17b4b2-OBS-012,market-study,low,market-research
1998as400-1-146289-OBS-002,1998as400-1-146289,marathon-technologies,oracle-office,benchmark-result,1997,price_per_tpmC,$128,high,ingest-extraction,benchmarking,slide-3,Cost per tpmC for AS/400e Model S40 at TPC-C benchmark date,,,,1998as400-1-146289.002,market-study,high,market-research
1997-oracle-developer-2000-client-server-development-en-5f98ce-OBS-011,1997-oracle-developer-2000-client-server-development-en-5f98ce,informix,,technology-assessment,1997,informix-competitor,Informix cited as RDBMS competitor offering application development tools,medium,ingest-extraction,competitive-profiling,Competition,RDBMS vendor tool competition,,,,,market-study,medium,market-research
intel-longlivedualcore-revised-5-fa8298-OBS-013,intel-longlivedualcore-revised-5-fa8298,amd,amd-hammer,expert-opinion,2004,amd-dual-core-design-simpler,AMD started with dual-core chip designs (Hammer/POWER4 style); initial 130nm Opteron had room for only one core but slots for second already present. Replication of CPU0+L2 cache boxes was trivially simple compared to Sun/Intel retrofits.,high,ingest-extraction,expert-opinion,p3,Brookwood's quip: 'a few graduate students during a one semester course.',,,,,market-study,high,market-research
1997-data-mining-buying-guide-71e463-OBS-008,1997-data-mining-buying-guide-71e463,,windows-nt,technology-assessment,1997,decision_trees_function,prediction_classification,high,ingest-extraction,expert,3,Decision trees help perform prediction function,,,,1997-data-mining-buying-guide-71e463.008,Market Research Report,medium,market-research
1998-network-integration-services-report-f75108-OBS-006,1998-network-integration-services-report-f75108,,tcp-ip,strategy-classification,1998,Key enterprise network questions driving NIS demand,LAN-WAN integration; private IP networks; TCP/IP-SNA integration; network outsourcing alternatives,high,ingest-extraction,field-research,Preface,Four key technology questions that IT executives were asking Aberdeen,,,,f75108-OBS-006,market-study,medium,market-research
hptpc92-2fd423-obs-004,hptpc92-2fd423,hewlett-packard,hp-3000,benchmark-result,,,,high,ingest-extraction,,,Figure 5 referenced,,,,,market-study,medium,market-research
sun-as400-main-report-2002-c37e2a-OBS-006,sun-as400-main-report-2002-c37e2a,ibm,iseries,market-data,2001,addressable-market-claim,$56B,medium,ingest-extraction,ia,p.1,IBM's total addressable claim; Aberdeen skeptical,,,,,market-study,low,market-research
aberdeen-1996-digital-debunks-ntsmp-scalability-myth-OBS-012,aberdeen-1996-digital-debunks-ntsmp-scalability-myth,digital-equipment-corporation,digital-prioris-zx-6200mp,strategy-classification,1996,Digital NT competitive strategy,Build highly-tuned 4-way NT servers and performance clusters to capture large midrange market segments; Microsoft-aligned,high,ingest-extraction,industry-analysis,Executive Summary,Aberdeen gave Digital high marks for NT marketplace commitment and price/performance leadership,,,,,market-study,high,market-research
aberdeen-1996-network-appliance-data-appliances-OBS-002,aberdeen-1996-network-appliance-data-appliances,network-appliance,,market-data,1994,NetApp revenue FY1994,$2 million,high,ingest-extraction,industry-analysis,Summary and Observations,Starting point of revenue rocket growth trajectory,,,,,market-study,high,market-research
aberdeen-1996-ciscos-access-business-unit-crystallizes-vision-OBS-004,aberdeen-1996-ciscos-access-business-unit-crystallizes-vision,cisco-systems,cisco-ios,framework-factor,1996,IOS service: routing,"Reliable, adaptive routing services",high,ingest-extraction,document-review,IOS Foundation,Factor 1 of IOS value-add framework,,,,,market-study,high,market-research
aberdeen-1996-data-generals-cybershield-security-solutions-advancing-OBS-012,aberdeen-1996-data-generals-cybershield-security-solutions-advancing,data-general-corporation,b2so-security-option,framework-factor,1996,B2SO security region 1: Network region,Isolates network traffic; prevents unauthorized access from external networks,high,ingest-extraction,competitive-profiling,Cybershield's security foundation — B2SO,One of three B2SO containment regions,,,,,market-study,medium,market-research
linuxsme99-574d39-OBS-013,linuxsme99-574d39,,linux,actual-outcome,2002,Linux e-commerce front-runner actual,unknown,medium,ingest-extraction,,,Prediction to verify,,,,,market-study,high,market-research
aberdeen-1996-hp-9000-enterprise-server-64bit-pa8000-OBS-026,aberdeen-1996-hp-9000-enterprise-server-64bit-pa8000,hewlett-packard,hp-9000,market-data,1996,HP EPS31 projected performance (4-node),">35,000 tpmC (4-node, 48 PA-8000 processors); would be world's most powerful commercial system",medium,ingest-extraction,industry-analysis,Executive Summary,HP projection for EPS31 delivering 1Q97,,,,,market-study,medium,market-research
1998-information-technology-in-the-retail-sector-the-in-33dc54-OBS-019,1998-information-technology-in-the-retail-sector-the-in-33dc54,kmart,,actual-outcome,2002,Kmart IT integration outcome,Kmart failed to integrate IT systems; filed Chapter 11 bankruptcy in January 2002; unable to compete with Walmart,verified,web-source,industry-analysis,Post-publication,IT fragmentation was contributing factor in Kmart's inability to compete on pricing and availability,,,,1998-retail-33dc54-OBS-019,market-study,high,market-research
aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-016,aberdeen-1996-sun-microsystems-ultracomputing-business,sun-microsystems,,expert-opinion,1996,Network is the Computer Vindication,Sun's 'network is the computer' concept derided in mid-1980s is now a de facto standard for distributed information systems design,high,ingest-extraction,industry-analysis,Market Position,Aberdeen validates Sun's foundational vision; concept became cloud computing foundation,,,,,market-study,high,market-research
aberdeen-1996-digital-debunks-ntsmp-scalability-myth-OBS-004,aberdeen-1996-digital-debunks-ntsmp-scalability-myth,ibm,,benchmark-result,1996,IBM RS/6000 J40 TPC-C,"5,774 tpmC at $198/tpmC (AIX, 8-way, Sybase SQL Server)",high,ingest-extraction,benchmarking,Figure 2,8-CPU Unix server outperformed in cost by Digital's 4-way NT at $65/tpmC,,,,,market-study,high,market-research
why-you-need-to-replace-those-windows-98-and-nt-ma-9b9622-OBS-015,why-you-need-to-replace-those-windows-98-and-nt-ma-9b9622,,w95-tenrobot,technology-assessment,2003,threat_status,active,high,ingest-extraction,document-review,1,W95.Tenrobot memory-resident file appender discovered April 2003; targets Windows 95/98/Me; provides hacker remote access via IRC,,,,,market-study,high,market-research
aberdeen-1996-hp-3000-increasing-customers-successes-OBS-018,aberdeen-1996-hp-3000-increasing-customers-successes,hewlett-packard,hp-3000,viability-prediction,1996,HP 3000 platform longevity,HP will support HP 3000 customers for decades; Customer First ensures continued viability,verified,outcome-linkage,industry-analysis,Aberdeen Observations and Conclusions,Aberdeen explicitly predicts HP will not discontinue or starve-and-harvest the HP 3000,,,,,market-study,medium,market-research
aberdeen-1996-iss-internet-security-systems-OBS-003,aberdeen-1996-iss-internet-security-systems,ncsa-national-computer-security,safesuite,benchmark-result,1996,NCSA Firewall Certification Role,NCSA uses ISS Firewall Scanner as core part of its firewall accreditation program certifying independently-developed firewall products,high,ingest-extraction,industry-analysis,Known By the Company One Keeps,Third-party institutional endorsement; NCSA certification program legitimizes ISS technology,,,,,market-study,high,market-research
world-it-spending-2002-2005-2265a2-OBS-013,world-it-spending-2002-2005-2265a2,,,market-forecast,2005,asia-pac-spending,$310.9B,high,ingest-extraction,ia,data-geo,,,,,,market-study,medium,market-research
nti-3-pc-and-ws-1993-17d49b-OBS-025,nti-3-pc-and-ws-1993-17d49b,,unix,viability-prediction,1993,Recommended buying strategy: technical/power users,Workstations with RISC/Unix for mid-to-high end technical users in 1993,partially-verified,outcome-linkage,expert-opinion,19,"HP, SGI, IBM, Sun, DEC recommended for fast graphics and floating point",,,,,market-study,high,market-research
aberdeen-1997-silknet-software-OBS-014,aberdeen-1997-silknet-software,aberdeen-group,internet-intranet-deployment,expert-opinion,1997,Aberdeen on internet CIS advantage,"Internet-based CIS self-service is only scratching the surface; virtual call centers, peer forums, universal access are the real value",high,ingest-extraction,industry-analysis,p.4,Aberdeen identifies customer-directed support forums as 'virtually free support mechanism',,,,,market-study,high,market-research
casale-evp-5-aa8f2a-OBS-014,casale-evp-5-aa8f2a,fti-composite,,expert-opinion,1982,Hockey-stick effect on DSO,Heavy weighting of final two weeks of quarterly shipments artificially inflates quarter-end DSO,high,ingest-extraction,quantitative-analysis,Table 4,Actual average monthly receivables considerably less than quarter-end statements show,,,,,market-study,high,market-research
aberdeen-1996-flexiinternational-software-financial-acumen-technology-OBS-004,aberdeen-1996-flexiinternational-software-financial-acumen-technology,flexiinternational-software,microsoft-sql-server,market-data,1995,Database Platform Mix (1995 deployments),"50% MS SQL Server, 30% Sybase, 10% IBM DB2, 5% Oracle (+ 5% other)",medium,ingest-extraction,industry-analysis,Financials,,,,,,market-study,medium,market-research
ibm-+-webify-=-industry-soa-application--97733a-OBS-015,ibm-+-webify-=-industry-soa-application--97733a,ibm,webify-industry-fabric,strategy-classification,2006,IBM services organization benefit from Webify,"Enables boardroom-to-CIO conversations across business transformation, time-to-market, and software lifecycle costs",high,ingest-extraction,expert-analysis,3,Webify gives IBM's vertically-oriented global services organization a powerful product set for multi-level sales discussions.,,,,,market-study,high,market-research
2002-wi-fi-s-new-standard-802-11a-will-offer-the-best-b-795f0c-OBS-004,2002-wi-fi-s-new-standard-802-11a-will-offer-the-best-b-795f0c,,wifi-802-11a,viability-prediction,2002,802.11a as superior consumer standard,802.11a presents compelling alternative for consumers installing wireless home network,verified,outcome-linkage,expert-opinion,abstract,Core recommendation: consumers should plan for 802.11a,,,,795f0c-OBS-004,market-study,low,market-research
platinum-riskadvisor-ec30de-OBS-022,platinum-riskadvisor-ec30de,platinum-technology,,actual-outcome,1999,PLATINUM acquisition by Computer Associates,Computer Associates acquired PLATINUM technology for $3.5B in 1999 — largest software industry deal at that time; PLATINUM FY1998 revenue was $968M,verified,web-source,industry-analysis,Post-publication research,Sources: DOJ press release May 1999; Forbes March 1999; LA Times March 1999; https://www.justice.gov/archive/opa/pr/1999/May/214at.htm,,,,,market-study,medium,market-research
goremote-profile-5-2a-8fa814-OBS-018,goremote-profile-5-2a-8fa814,goremote-communications,goremote-tier-one,product-evaluation,2003,GoRemote flat-rate plan price (heavy users),Starting at $60 per month,high,ingest-extraction,vendor-claim,4,,,,,,market-study,high,market-research
outsourcing-application-development-and--59d651-OBS-033,outsourcing-application-development-and--59d651,,,trend-analysis,2006,near-shore-versus-offshore,Near-shore trend driven by time zone and knowledge transfer needs,high,ingest-extraction,survey,,"Near-shore outsourcing gaining traction: proximity facilitates face-to-face meetings, knowledge transfer during normal business hours — especially valuable for companies outsourcing to gain expertise.",,,,,benchmark,high,market-research
aberdeen-1996-oracle-network-computing-architecture-OBS-021,aberdeen-1996-oracle-network-computing-architecture,oracle-corporation,oracle-universal-server,actual-outcome,2026,Oracle RDBMS current status,Oracle Database remains leading enterprise RDBMS 30 years later; active and widely deployed,verified,web-source,document-review,Post-publication,Oracle revenue ~$55B in FY2024,,,,,market-study,high,market-research
11-storage-hierarchy-presentation-e84d53-OBS-007,11-storage-hierarchy-presentation-e84d53,,storage-pyramid,analytical-judgment,2002,Content competitive advantage,Content (along with its distribution) is the long-term competitive differentiator; only one company owns its customer and product history data,high,ingest-extraction,expert-opinion,Content Matters slide,Strategic argument for content importance,,,,,market-study,high,market-research
intel-longlivedualcore-revised-5-fa8298-OBS-005,intel-longlivedualcore-revised-5-fa8298,,,expert-opinion,2004,90nm-tradeoff,"At 90nm generation, chip designers could only achieve 2 of 3 attributes (smaller, faster, less power). Products relying on architectural parallelism will have inherent advantages over brute-force (MHz) products.",high,ingest-extraction,expert-opinion,p1,Fundamental lesson of the modern era.,,,,,market-study,high,market-research
sun-as400-main-report-2002-c37e2a-OBS-042,sun-as400-main-report-2002-c37e2a,sun-microsystems,,actual-outcome,2010,sun-acquisition,Oracle acquired Sun Microsystems for $7.4B in 2010,verified,web-source,ia,retrospective,Ends independent Sun strategy,,,,,market-study,low,market-research
goremote-profile-5-2a-8fa814-OBS-004,goremote-profile-5-2a-8fa814,,,expert-opinion,2003,Outworker IT help desk call rate vs. fixed desktop,Up to 10x more support calls; cost per call ~2x typical IT help desk call,medium,ingest-extraction,qualitative,2,Driven by multi-ISP/technology complexity.,,,,,market-study,high,market-research
sun-launch-best-practices-report-draft-8-9741fb-OBS-005,sun-launch-best-practices-report-draft-8-9741fb,,product-launch-framework,framework-factor,2002,separate-launch-org,2 of 5 companies had separate launch organizations reporting into VP Marketing (Product and Solutions Launch; Product Release Strategy). 3 had no common launch organization.,high,ingest-extraction,customer-interview,org-and-methodology,,,,,,benchmark,not-applicable,market-research
aberdeen-1996-clarify-inc-OBS-018,aberdeen-1996-clarify-inc,clarify-inc,clearcommcenter,technology-assessment,1996,CommCenter vertical product,"ClearSupport CommCenter for telecom: simultaneous customer account + network infrastructure access; proactive customer notification; customers MCI, Sprint, TeleNordia",high,ingest-extraction,document-review,Vertical Industry Focus,July 1996 announcement; one of first industry-specific CIS applications Aberdeen predicted would proliferate,,,,,market-study,high,market-research
2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-009,2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb,oracle-corporation,oracle-11i,actual-outcome,2013,Oracle 11i lifecycle outcome,Premier Support ended December 2013; sustaining support extended through December 2014,verified,web-source,document-review,n/a,Oracle extended support timeline confirming 11i was indeed the key upgrade platform through mid-decade,,,,,market-study,high,market-research
2000-is-windows-nt-windows-2000-enterprise-ready-91f2cb-OBS-001,2000-is-windows-nt-windows-2000-enterprise-ready-91f2cb,microsoft,windows-2000,framework-factor,2000,Enterprise-readiness criterion 1: System Scalability,Partially met — Windows 2000 Datacenter supports 32-way SMP; trails Unix at 64-way+,high,ingest-extraction,industry-analysis,Abstract/TOC,SMP scalability gap vs Unix/mainframe noted as key limitation,,,,,market-study,high,market-research
1999-crm-professional-services-rpt-96bf13-OBS-017,1999-crm-professional-services-rpt-96bf13,cap-gemini,,strategy-classification,1999,Cap Gemini Group CRM strategy,Global IT consulting and CRM implementation services,high,ingest-extraction,competitive-profiling,Supplier Profiles,French-origin multinational; acquired Ernst & Young Consulting in 2000,,,,,market-study,medium,market-research
aberdeen-1995-novell-predicament-OBS-021,aberdeen-1995-novell-predicament,ENT-NOVELL,TECH-NETWARE,market-data,1995,Novell revenue trend,revenue declines confirmed; Aberdeen analysis confirms declining trend,high,ingest-extraction,document,,"Aberdeen section title ""Revenue Declines Confirm the Trend"" — Novell revenues in documented decline by Aug 1995",,,,,market-viewpoint,high,market-research
top-iseries-isvs-2002-2e8695-OBS-003,top-iseries-isvs-2002-2e8695,dwl-inc,dwl-customer,partner-profile,2002,partner-level,IBM Developer Business Partner,high,ingest-extraction,dr,p.1,,,,,,market-study,not-applicable,market-research
dec-primer-comparing-debit-credit-tests--c30cfa-OBS-003,dec-primer-comparing-debit-credit-tests--c30cfa,,vax-8700,vups_consumption,1988,presentation_services_pct_vups,40,high,ingest-extraction,engineering-data-from-dec,Style-3-paragraph,Style 1 presentation services consume 40% of VUPS on an 8700,,,,,internal-competitive-marketing-paper,high,market-research
sun-as400-market-data-2002-5faa8f-OBS-014,sun-as400-market-data-2002-5faa8f,ibm,iseries,market-data,2002,platform-growth,-26%,high,ingest-extraction,dr,revenue-sheet,,,,,,benchmark,medium,market-research
2006-amd-ati-acquisition-cf19ff-OBS-004,2006-amd-ati-acquisition-cf19ff,nvidia,,market-data,2006,nVidia share of high-end AMD desktops,more than 40%,medium,ingest-extraction,industry-analysis,p.1,nForce chipsets in high-end AMD desktops.,,,,,market-alert,not-applicable,market-research
1997-unify-vision-8fcfc3-OBS-023,1997-unify-vision-8fcfc3,sun-microsystems,JAVA,expert-opinion,1997,Aberdeen recommendation on Java toolset adoption,Enterprises should require Java commitment from toolset vendors before purchasing,high,ingest-extraction,expert-opinion,Recommendations,Direct Aberdeen guidance to IS buyers,,,,,market-study,medium,market-research
cab199-1-2-0cb163-OBS-031,cab199-1-2-0cb163,oracle-corporation,tech-19,vendor-weakness,1997,architecture-age,1980s architecture runs out of steam; needs System 11 now,high,ingest-extraction,expert-opinion,31,Sybase SQL Server architecture characterized as generationally obsolete; System 11 needed urgently.,,,,cab199-1-2-0cb163.031,market-study,medium,market-research
ibm-aberdeen-wip-deck-2-704ff9-OBS-001,ibm-aberdeen-wip-deck-2-704ff9,aberdeen-group,,framework-factor,2004,aberdeen-business-model,"Aberdeen's business model: drive results through independent research via Agenda Sponsorships, Benchmarking Research, AOCS, Prospect Symposiums, Value Assessment Tools, Competitive Analysis Frameworks, Win/Loss Analysis, Growth/GTM Strategy Services.",high,ingest-extraction,framework-development,slide-2,Aberdeen-Confidential.,,,,,market-study,low,market-research
server-benchmarks-2007-sept-7-862cf0-OBS-015,server-benchmarks-2007-sept-7-862cf0,amd,amd-opteron-8220se,metric-value,2007,webserver-8220se,"SPEC webserver 2005: AMD Opteron 8220se dual = 22,254.",high,ingest-extraction,benchmarking,row-10,,,,,,benchmark,medium,market-research
aberdeen-1996-vpns-business-mfs-success-strategy-OBS-005,aberdeen-1996-vpns-business-mfs-success-strategy,mfs-network-technologies,sonet-atm-network,market-data,1996,Fiber optic cable installed by MFS Network Technologies,"125,000 miles of fiber optic cable installed",high,ingest-extraction,industry-analysis,MFS Network Technologies,"Includes copper, fiber, coax, wireless and hybrid technologies",,,,,market-study,medium,market-research
aberdeen-1996-flexiinternational-software-financial-acumen-technology-OBS-001,aberdeen-1996-flexiinternational-software-financial-acumen-technology,flexiinternational-software,flexifinancials,strategy-classification,1996,Market Strategy,Best-of-breed object-oriented financial CSS targeting complex accounting environments and open-systems migrations,high,ingest-extraction,industry-analysis,Preface,Founded 1991; targeting both Fortune-class enterprises and mid-market,,,,,market-study,medium,market-research
05-idc-sata-report-0872b8-OBS-030,05-idc-sata-report-0872b8,idc,,survey-finding,2003,RAID-5 and application-level availability non-negotiable for SATA,Data integrity requires RAID-5 for SATA systems; no compromise in uptime acceptable; IDC recommends products withstand 2 drive failures without application interruption,high,ingest-extraction,primary-research,Essential Guidance,Technical requirement that drives up SATA system cost and complexity — but still achievable at 50% cost savings,,,,05-idc-OBS-030,market-study,high,market-research
sap-r-3-on-wintel-servers-712986-OBS-010,sap-r-3-on-wintel-servers-712986,,windows-nt,viability-prediction,1997,NT capability trajectory prediction,"NT will challenge Unix at all performance levels within next 12-18 months (i.e., by late 1998 / early 1999)",verified,outcome-linkage,industry-analysis,Consistency with TPC-C section,Aberdeen key forward-looking claim,,,,,benchmark,high,market-research
aberdeen-1996-risc-unix-market-OBS-012,aberdeen-1996-risc-unix-market,hewlett-packard,hp-ux-10,technology-assessment,1995,HP-UX 10 transition quality,Well-supported with upgrade utilities,high,ingest-extraction,competitive-profiling,p.2,Transition from HP-UX 9; included production features beyond original Unix design,,,,,market-study,medium,market-research
marathon-d186ab-OBS-014,marathon-d186ab,marathon-technologies,,strategic-recommendation,1998,Target vertical — retail,retail in-store servers and logistics,high,ingest-extraction,expert-opinion,8,Retail identified as a priority vertical for Marathon Endurance: in-store servers and logistics applications.,,,,marathon-d186ab.014,market-study,medium,market-research
aberdeen-1996-risc-unix-market-OBS-032,aberdeen-1996-risc-unix-market,digital-equipment-corporation,alpha-processor,market-data,1995,Digital RISC/Unix revenue growth rate,73% (highest in industry),high,ingest-extraction,growth-rate,p.1,,,,,,market-study,medium,market-research
soft-mountain-java-a396b5-OBS-005,soft-mountain-java-a396b5,soft-mountain,soft-mountain-platform,viability-prediction,1997,Soft Mountain company viability,Implied viable vendor for telecom integration use case; Aberdeen publication implies endorsement,low,unverified,expert-opinion,abstract,Implicit prediction embedded in Aberdeen's decision to publish a vendor profile,,,,,market-study,medium,market-research
nti-9-mainframe-role-1993-77fc40-OBS-004,nti-9-mainframe-role-1993-77fc40,ibm,es9000,market-size,1993,IBM market capitalization vs peers,IBM $30B; Microsoft $25B; Intel $25B; HP $20B,high,ingest-extraction,industry-analysis,4,Stock market has punished IBM for mainframe mistakes,,,,,market-study,high,market-research
cab199-1-2-0cb163-OBS-051,cab199-1-2-0cb163,ibm,tech-01,market-share,1997,revenue-pct-HP9000,15%,medium,ingest-extraction,industry-analysis,12,DB2/IBM RDBMS revenue share on HP 9000 platform: 15% (source: Aberdeen Group).,,,,cab199-1-2-0cb163.051,market-study,medium,market-research
utilities-transformed-it-696ffb-OBS-009,utilities-transformed-it-696ffb,,amr-automatic-meter-reading,viability-prediction,1998,AMR long-term opportunity,Long-term opportunities from AMR include internet-based meter data access enabling price discovery and demand forecasting,verified,outcome-linkage,expert-opinion,Ch7,Forward-looking AMR market development prediction,,,,,market-study,high,market-research
aberdeen-1997-silknet-software-OBS-008,aberdeen-1997-silknet-software,silknet-software,silknet-eservice,technology-assessment,1997,eService architecture assessment,Thin-client; Netscape or IE browser; object-oriented ActiveX; call control server; firewall-secured; single central administration site,high,ingest-extraction,competitive-profiling,p.5,Application logic in ActiveX; Java capabilities planned Q4 1997; real-time remote desktop control capability,,,,,market-study,high,market-research
