LAYER A failures (by study)
  obs[OBS-S5-022] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S5-023] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S5-024] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-025] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-026] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-027] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-028] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-029] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-030] observation_type='actual-outcome' not in codes.csv

other-authors/1997-distributed-object-technology--dead-3cf2d1
  obs[OBS-DOT-001] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DOT-002] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DOT-003] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DOT-004] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DOT-005] observation_type='framework-factor' not in codes.csv
  obs[OBS-DOT-006] observation_type='framework-factor' not in codes.csv
  obs[OBS-DOT-007] observation_type='framework-factor' not in codes.csv
  obs[OBS-DOT-008] observation_type='expert-opinion' not in codes.csv
  obs[OBS-DOT-009] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DOT-010] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DOT-011] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DOT-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DOT-013] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DOT-014] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DOT-015] observation_type='expert-opinion' not in codes.csv

other-authors/1997-dw-competitive-advantage-through-pr-b307c7
  obs[OBS-PS-001] observation_type='strategy-classification' not in codes.csv
  obs[OBS-PS-002] observation_type='market-data' not in codes.csv
  obs[OBS-PS-003] observation_type='market-data' not in codes.csv
  obs[OBS-PS-004] observation_type='market-data' not in codes.csv
  obs[OBS-PS-005] observation_type='expert-opinion' not in codes.csv
  obs[OBS-PS-006] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-007] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-009] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-010] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-011] observation_type='benchmark-result' not in codes.csv
  obs[OBS-PS-012] observation_type='benchmark-result' not in codes.csv
  obs[OBS-PS-013] observation_type='benchmark-result' not in codes.csv
  obs[OBS-PS-014] observation_type='benchmark-result' not in codes.csv
  obs[OBS-PS-015] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-016] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-017] observation_type='technology-assessment' not in codes.csv
  obs[OBS-PS-018] observation_type='viability-prediction' not in codes.csv
  obs[OBS-PS-019] observation_type='actual-outcome' not in codes.csv
  obs[OBS-PS-020] observation_type='viability-prediction' not in codes.csv
  obs[OBS-PS-021] observation_type='actual-outcome' not in codes.csv
  obs[OBS-PS-022] observation_type='viability-prediction' not in codes.csv
  obs[OBS-PS-023] observation_type='actual-outcome' not in codes.csv
  obs[OBS-PS-024] observation_type='viability-prediction' not in codes.csv
  obs[OBS-PS-025] observation_type='actual-outcome' not in codes.csv
  obs[OBS-PS-026] observation_type='framework-factor' not in codes.csv
  obs[OBS-PS-027] observation_type='framework-factor' not in codes.csv
  obs[OBS-PS-028] observation_type='expert-opinion' not in codes.csv
  obs[OBS-PS-029] observation_type='expert-opinion' not in codes.csv
  obs[OBS-PS-030] observation_type='market-data' not in codes.csv

other-authors/1997-dynaflo-systems----e-mail-for-the-b-854582
  obs[OBS-DYF-001] observation_type='market-data' not in codes.csv
  obs[OBS-DYF-002] observation_type='market-data' not in codes.csv
  obs[OBS-DYF-003] observation_type='expert-opinion' not in codes.csv
  obs[OBS-DYF-004] observation_type='framework-factor' not in codes.csv
  obs[OBS-DYF-005] observation_type='framework-factor' not in codes.csv
  obs[OBS-DYF-006] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DYF-007] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DYF-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DYF-009] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-010] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DYF-011] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DYF-013] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-014] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DYF-015] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-016] observation_type='actual-outcome' not in codes.csv

other-authors/1997-electronic-commerce-to-internet-com-b26a35
  obs[OBS-EC-001] observation_type='market-data' not in codes.csv
  obs[OBS-EC-002] observation_type='expert-opinion' not in codes.csv
  obs[OBS-EC-003] observation_type='technology-assessment' not in codes.csv
  obs[OBS-EC-004] observation_type='technology-assessment' not in codes.csv
  obs[OBS-EC-005] observation_type='framework-factor' not in codes.csv
  obs[OBS-EC-006] observation_type='framework-factor' not in codes.csv
  obs[OBS-EC-007] observation_type='framework-factor' not in codes.csv
  obs[OBS-EC-008] observation_type='viability-prediction' not in codes.csv
  obs[OBS-EC-009] observation_type='actual-outcome' not in codes.csv
  obs[OBS-EC-010] observation_type='viability-prediction' not in codes.csv
  obs[OBS-EC-011] observation_type='actual-outcome' not in codes.csv
  obs[OBS-EC-012] observation_type='viability-prediction' not in codes.csv
  obs[OBS-EC-013] observation_type='actual-outcome' not in codes.csv
  obs[OBS-EC-014] observation_type='expert-opinion' not in codes.csv

other-authors/1997-forte-enterprise-development-enviro-a07cf9
  obs[o1-01] observation_type='technology-assessment' not in codes.csv
  obs[o1-02] observation_type='market-data' not in codes.csv
  obs[o1-03] observation_type='market-data' not in codes.csv
  obs[o1-04] observation_type='market-data' not in codes.csv
  obs[o1-05] observation_type='technology-assessment' not in codes.csv
  obs[o1-06] observation_type='technology-assessment' not in codes.csv
  obs[o1-07] observation_type='technology-assessment' not in codes.csv
  obs[o1-08] observation_type='technology-assessment' not in codes.csv
  obs[o1-09] observation_type='viability-prediction' not in codes.csv
  obs[o1-10] observation_type='viability-prediction' not in codes.csv
  obs[o1-11] observation_type='viability-prediction' not in codes.csv
  obs[o1-12] observation_type='actual-outcome' not in codes.csv
  obs[o1-13] observation_type='actual-outcome' not in codes.csv
  obs[o1-14] observation_type='framework-factor' not in codes.csv
  obs[o1-15] observation_type='framework-factor' not in codes.csv
  obs[o1-16] observation_type='technology-assessment' not in codes.csv
  obs[o1-17] observation_type='strategy-classification' not in codes.csv
  obs[o1-18] observation_type='actual-outcome' not in codes.csv
  obs[o1-19] observation_type='technology-assessment' not in codes.csv
  obs[o1-20] observation_type='technology-assessment' not in codes.csv

other-authors/1997-hewlett-packard-s-strategy-to-surpa-905013
  obs[o3-01] observation_type='market-data' not in codes.csv
  obs[o3-02] observation_type='market-data' not in codes.csv
  obs[o3-03] observation_type='market-data' not in codes.csv
  obs[o3-04] observation_type='benchmark-result' not in codes.csv
  obs[o3-05] observation_type='market-data' not in codes.csv
  obs[o3-06] observation_type='market-data' not in codes.csv
  obs[o3-07] observation_type='market-data' not in codes.csv
  obs[o3-08] observation_type='strategy-classification' not in codes.csv
  obs[o3-09] observation_type='strategy-classification' not in codes.csv
  obs[o3-10] observation_type='strategy-classification' not in codes.csv
  obs[o3-11] observation_type='viability-prediction' not in codes.csv
  obs[o3-12] observation_type='viability-prediction' not in codes.csv
  obs[o3-13] observation_type='viability-prediction' not in codes.csv
  obs[o3-14] observation_type='viability-prediction' not in codes.csv
  obs[o3-15] observation_type='actual-outcome' not in codes.csv
  obs[o3-16] observation_type='actual-outcome' not in codes.csv
  obs[o3-17] observation_type='actual-outcome' not in codes.csv
  obs[o3-18] observation_type='actual-outcome' not in codes.csv
  obs[o3-19] observation_type='actual-outcome' not in codes.csv
  obs[o3-20] observation_type='actual-outcome' not in codes.csv
  obs[o3-21] observation_type='framework-factor' not in codes.csv
  obs[o3-22] observation_type='market-data' not in codes.csv
  obs[o3-23] observation_type='strategy-classification' not in codes.csv

other-authors/1997-hewlett-packard-v-class--providing--897f7a
  obs[o2-01] observation_type='technology-assessment' not in codes.csv
  obs[o2-02] observation_type='technology-assessment' not in codes.csv
  obs[o2-03] observation_type='technology-assessment' not in codes.csv
  obs[o2-04] observation_type='benchmark-result' not in codes.csv
  obs[o2-05] observation_type='benchmark-result' not in codes.csv
  obs[o2-06] observation_type='benchmark-result' not in codes.csv
  obs[o2-07] observation_type='benchmark-result' not in codes.csv
  obs[o2-08] observation_type='viability-prediction' not in codes.csv
  obs[o2-09] observation_type='viability-prediction' not in codes.csv
  obs[o2-10] observation_type='viability-prediction' not in codes.csv
  obs[o2-11] observation_type='viability-prediction' not in codes.csv
  obs[o2-12] observation_type='expert-opinion' not in codes.csv
  obs[o2-13] observation_type='actual-outcome' not in codes.csv
  obs[o2-14] observation_type='actual-outcome' not in codes.csv
  obs[o2-15] observation_type='actual-outcome' not in codes.csv
  obs[o2-16] observation_type='actual-outcome' not in codes.csv
  obs[o2-17] observation_type='actual-outcome' not in codes.csv
  obs[o2-18] observation_type='technology-assessment' not in codes.csv
  obs[o2-19] observation_type='strategy-classification' not in codes.csv
  obs[o2-20] observation_type='market-data' not in codes.csv
  obs[o2-21] observation_type='technology-assessment' not in codes.csv

other-authors/1997-ibm-application-development-product-895c4d
  obs[o4-01] observation_type='technology-assessment' not in codes.csv
  obs[o4-02] observation_type='technology-assessment' not in codes.csv
  obs[o4-03] observation_type='technology-assessment' not in codes.csv
  obs[o4-04] observation_type='technology-assessment' not in codes.csv
  obs[o4-05] observation_type='technology-assessment' not in codes.csv
  obs[o4-06] observation_type='technology-assessment' not in codes.csv
  obs[o4-07] observation_type='strategy-classification' not in codes.csv
  obs[o4-08] observation_type='expert-opinion' not in codes.csv
  obs[o4-09] observation_type='viability-prediction' not in codes.csv
  obs[o4-10] observation_type='viability-prediction' not in codes.csv
  obs[o4-11] observation_type='benchmark-result' not in codes.csv
  obs[o4-12] observation_type='benchmark-result' not in codes.csv
  obs[o4-13] observation_type='actual-outcome' not in codes.csv
  obs[o4-14] observation_type='actual-outcome' not in codes.csv
  obs[o4-15] observation_type='actual-outcome' not in codes.csv
  obs[o4-16] observation_type='actual-outcome' not in codes.csv
  obs[o4-17] observation_type='actual-outcome' not in codes.csv
  obs[o4-18] observation_type='framework-factor' not in codes.csv
  obs[o4-19] observation_type='technology-assessment' not in codes.csv
  obs[o4-20] observation_type='market-data' not in codes.csv

other-authors/1997-ibm-business-intelligence-family-pr-43c37e
  obs[o5-01] observation_type='framework-factor' not in codes.csv
  obs[o5-02] observation_type='technology-assessment' not in codes.csv
  obs[o5-03] observation_type='technology-assessment' not in codes.csv
  obs[o5-04] observation_type='technology-assessment' not in codes.csv
  obs[o5-05] observation_type='technology-assessment' not in codes.csv
  obs[o5-06] observation_type='technology-assessment' not in codes.csv
  obs[o5-07] observation_type='technology-assessment' not in codes.csv
  obs[o5-08] observation_type='technology-assessment' not in codes.csv
  obs[o5-09] observation_type='technology-assessment' not in codes.csv
  obs[o5-10] observation_type='technology-assessment' not in codes.csv
  obs[o5-11] observation_type='viability-prediction' not in codes.csv
  obs[o5-12] observation_type='viability-prediction' not in codes.csv
  obs[o5-13] observation_type='viability-prediction' not in codes.csv
  obs[o5-14] observation_type='viability-prediction' not in codes.csv
  obs[o5-15] observation_type='actual-outcome' not in codes.csv
  obs[o5-16] observation_type='actual-outcome' not in codes.csv
  obs[o5-17] observation_type='actual-outcome' not in codes.csv
  obs[o5-18] observation_type='actual-outcome' not in codes.csv
  obs[o5-19] observation_type='actual-outcome' not in codes.csv
  obs[o5-20] observation_type='actual-outcome' not in codes.csv
  obs[o5-21] observation_type='framework-factor' not in codes.csv
  obs[o5-22] observation_type='technology-assessment' not in codes.csv
  obs[o5-23] observation_type='technology-assessment' not in codes.csv
  obs[o5-24] observation_type='technology-assessment' not in codes.csv

other-authors/1997-ibm-extended-transaction-systems-fa-0369fa
  obs[obs-ets-001] observation_type='market-data' not in codes.csv
  obs[obs-ets-002] observation_type='technology-assessment' not in codes.csv
  obs[obs-ets-003] observation_type='technology-assessment' not in codes.csv
  obs[obs-ets-004] observation_type='market-data' not in codes.csv
  obs[obs-ets-005] observation_type='market-data' not in codes.csv
  obs[obs-ets-006] observation_type='technology-assessment' not in codes.csv
  obs[obs-ets-007] observation_type='framework-factor' not in codes.csv
  obs[obs-ets-008] observation_type='strategy-classification' not in codes.csv
  obs[obs-ets-009] observation_type='viability-prediction' not in codes.csv
  obs[obs-ets-010] observation_type='actual-outcome' not in codes.csv
  obs[obs-ets-011] observation_type='viability-prediction' not in codes.csv
  obs[obs-ets-012] observation_type='actual-outcome' not in codes.csv
  obs[obs-ets-013] observation_type='viability-prediction' not in codes.csv
  obs[obs-ets-014] observation_type='actual-outcome' not in codes.csv
  obs[obs-ets-015] observation_type='viability-prediction' not in codes.csv
  obs[obs-ets-016] observation_type='actual-outcome' not in codes.csv
  obs[obs-ets-017] observation_type='actual-outcome' not in codes.csv
  obs[obs-ets-018] observation_type='actual-outcome' not in codes.csv
  obs[obs-ets-019] observation_type='technology-assessment' not in codes.csv
  obs[obs-ets-020] observation_type='technology-assessment' not in codes.csv
  obs[obs-ets-021] observation_type='technology-assessment' not in codes.csv
  obs[obs-ets-022] observation_type='strategy-classification' not in codes.csv
  obs[obs-ets-023] observation_type='technology-assessment' not in codes.csv
  obs[obs-ets-024] observation_type='expert-opinion' not in codes.csv
  obs[obs-ets-025] observation_type='framework-factor' not in codes.csv

other-authors/1997-ibm-information-integration-family--29351c
  obs[obs-iif-001] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-002] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-003] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-004] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-005] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-006] observation_type='framework-factor' not in codes.csv
  obs[obs-iif-007] observation_type='framework-factor' not in codes.csv
  obs[obs-iif-008] observation_type='framework-factor' not in codes.csv
  obs[obs-iif-009] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-010] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-011] observation_type='viability-prediction' not in codes.csv
  obs[obs-iif-012] observation_type='actual-outcome' not in codes.csv
  obs[obs-iif-013] observation_type='viability-prediction' not in codes.csv
  obs[obs-iif-014] observation_type='actual-outcome' not in codes.csv
  obs[obs-iif-015] observation_type='viability-prediction' not in codes.csv
  obs[obs-iif-016] observation_type='actual-outcome' not in codes.csv
  obs[obs-iif-017] observation_type='viability-prediction' not in codes.csv
  obs[obs-iif-018] observation_type='actual-outcome' not in codes.csv
  obs[obs-iif-019] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-020] observation_type='market-data' not in codes.csv
  obs[obs-iif-021] observation_type='technology-assessment' not in codes.csv
  obs[obs-iif-022] observation_type='strategy-classification' not in codes.csv
  obs[obs-iif-023] observation_type='expert-opinion' not in codes.csv
  obs[obs-iif-024] observation_type='market-data' not in codes.csv
  obs[obs-iif-025] observation_type='technology-assessment' not in codes.csv

other-authors/1997-ibm-s-enterprise-communications-fam-14559a
  obs[OBS-S1-001] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S1-002] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S1-003] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S1-004] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S1-005] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S1-006] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S1-007] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S1-008] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S1-009] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S1-010] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S1-011] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S1-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S1-013] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S1-014] observation_type='market-data' not in codes.csv
  obs[OBS-S1-015] observation_type='framework-factor' not in codes.csv
  obs[OBS-S1-016] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S1-017] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S1-018] observation_type='expert-opinion' not in codes.csv

other-authors/1997-ibm-s-network-computing-solution----e74e8a
  obs[OBS-S4-001] observation_type='framework-factor' not in codes.csv
  obs[OBS-S4-002] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-003] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S4-004] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S4-005] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-006] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S4-007] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S4-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-009] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-010] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-011] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S4-013] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S4-014] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-015] observation_type='strategy-classification' not in codes.csv
  obs[OBS-S4-016] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S4-017] observation_type='expert-opinion' not in codes.csv
  obs[OBS-S4-018] observation_type='actual-outcome' not in codes.csv

other-authors/1997-ibm-s-nt-strategy-strat-pr-b93817
  obs[OBS-S3-001] observation_type='market-data' not in codes.csv
  obs[OBS-S3-002] observation_type='market-data' not in codes.csv
  obs[OBS-S3-003] observation_type='market-data' not in codes.csv
  obs[OBS-S3-004] observation_type='market-data' not in codes.csv
  obs[OBS-S3-005] observation_type='market-data' not in codes.csv
  obs[OBS-S3-006] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S3-007] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S3-008] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S3-009] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S3-010] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S3-011] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S3-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S3-013] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S3-014] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S3-015] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S3-016] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S3-017] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S3-018] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S3-019] observation_type='strategy-classification' not in codes.csv
  obs[OBS-S3-020] observation_type='market-data' not in codes.csv
  obs[OBS-S3-021] observation_type='actual-outcome' not in codes.csv

other-authors/1997-ibm-s-solution-centric-global-healt-7a073f
  obs[OBS-S2-001] observation_type='market-data' not in codes.csv
  obs[OBS-S2-002] observation_type='market-data' not in codes.csv
  obs[OBS-S2-003] observation_type='market-data' not in codes.csv
  obs[OBS-S2-004] observation_type='framework-factor' not in codes.csv
  obs[OBS-S2-005] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S2-006] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S2-007] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S2-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S2-009] observation_type='benchmark-result' not in codes.csv
  obs[OBS-S2-010] observation_type='benchmark-result' not in codes.csv
  obs[OBS-S2-011] observation_type='benchmark-result' not in codes.csv
  obs[OBS-S2-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S2-013] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S2-014] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S2-015] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S2-016] observation_type='strategy-classification' not in codes.csv
  obs[OBS-S2-017] observation_type='strategy-classification' not in codes.csv
  obs[OBS-S2-018] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S2-019] observation_type='expert-opinion' not in codes.csv
  obs[OBS-S2-020] observation_type='technology-assessment' not in codes.csv

other-authors/1997-ibm-ships-first-64-bit-rs-6000-serv-961e2c
  obs[obs-rs6-001] observation_type='market-data' not in codes.csv
  obs[obs-rs6-002] observation_type='benchmark-result' not in codes.csv
  obs[obs-rs6-003] observation_type='technology-assessment' not in codes.csv
  obs[obs-rs6-004] observation_type='technology-assessment' not in codes.csv
  obs[obs-rs6-005] observation_type='actual-outcome' not in codes.csv
  obs[obs-rs6-006] observation_type='strategy-classification' not in codes.csv
  obs[obs-rs6-007] observation_type='viability-prediction' not in codes.csv
  obs[obs-rs6-008] observation_type='actual-outcome' not in codes.csv
  obs[obs-rs6-009] observation_type='actual-outcome' not in codes.csv
  obs[obs-rs6-010] observation_type='actual-outcome' not in codes.csv
  obs[obs-rs6-011] observation_type='viability-prediction' not in codes.csv
  obs[obs-rs6-012] observation_type='market-data' not in codes.csv
  obs[obs-rs6-013] observation_type='actual-outcome' not in codes.csv
  obs[obs-rs6-014] observation_type='technology-assessment' not in codes.csv
  obs[obs-rs6-015] observation_type='actual-outcome' not in codes.csv

other-authors/1997-ibm-when-a-pc-is-simply-platform-ov-5e9364
  obs[obs-nc-001] observation_type='market-data' not in codes.csv
  obs[obs-nc-002] observation_type='market-data' not in codes.csv
  obs[obs-nc-003] observation_type='benchmark-result' not in codes.csv
  obs[obs-nc-004] observation_type='technology-assessment' not in codes.csv
  obs[obs-nc-005] observation_type='technology-assessment' not in codes.csv
  obs[obs-nc-006] observation_type='technology-assessment' not in codes.csv
  obs[obs-nc-007] observation_type='strategy-classification' not in codes.csv
  obs[obs-nc-008] observation_type='market-data' not in codes.csv
  obs[obs-nc-009] observation_type='viability-prediction' not in codes.csv
  obs[obs-nc-010] observation_type='actual-outcome' not in codes.csv
  obs[obs-nc-011] observation_type='actual-outcome' not in codes.csv
  obs[obs-nc-012] observation_type='viability-prediction' not in codes.csv
  obs[obs-nc-013] observation_type='actual-outcome' not in codes.csv
  obs[obs-nc-014] observation_type='actual-outcome' not in codes.csv
  obs[obs-nc-015] observation_type='actual-outcome' not in codes.csv
  obs[obs-nc-016] observation_type='strategy-classification' not in codes.csv
  obs[obs-nc-017] observation_type='technology-assessment' not in codes.csv
  obs[obs-nc-018] observation_type='framework-factor' not in codes.csv
  obs[obs-nc-019] observation_type='market-data' not in codes.csv
  obs[obs-nc-020] observation_type='strategy-classification' not in codes.csv
  obs[obs-nc-021] observation_type='actual-outcome' not in codes.csv
  obs[obs-nc-022] observation_type='technology-assessment' not in codes.csv
  obs[obs-nc-023] observation_type='expert-opinion' not in codes.csv
  obs[obs-nc-024] observation_type='viability-prediction' not in codes.csv
  obs[obs-nc-025] observation_type='actual-outcome' not in codes.csv
  obs[obs-nc-026] observation_type='strategy-classification' not in codes.csv
  obs[obs-nc-027] observation_type='actual-outcome' not in codes.csv

other-authors/1997-industry-matematik-international-co-c398bc
  obs[OBS-S5-001] observation_type='market-data' not in codes.csv
  obs[OBS-S5-002] observation_type='market-data' not in codes.csv
  obs[OBS-S5-003] observation_type='market-data' not in codes.csv
  obs[OBS-S5-004] observation_type='market-data' not in codes.csv
  obs[OBS-S5-005] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S5-006] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S5-007] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S5-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-S5-009] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S5-010] observation_type='viability-prediction' not in codes.csv
  obs[OBS-S5-011] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-013] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-014] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-015] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-016] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-017] observation_type='actual-outcome' not in codes.csv
  obs[OBS-S5-018] observation_type='framework-factor' not in codes.csv
  obs[OBS-S5-019] observation_type='benchmark-result' not in codes.csv
  obs[OBS-S5-020] observation_type='actual-outcome' not in codes.csv

other-authors/1997-migrating-from-sybase-sql-server-4.-d7b1d0
  obs[OBS-SYB001] observation_type='viability-prediction' not in codes.csv
  obs[OBS-SYB002] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SYB003] observation_type='viability-prediction' not in codes.csv
  obs[OBS-SYB004] observation_type='actual-outcome' not in codes.csv
  obs[OBS-INF001] observation_type='viability-prediction' not in codes.csv
  obs[OBS-INF002] observation_type='actual-outcome' not in codes.csv
  obs[OBS-INF003] observation_type='technology-assessment' not in codes.csv
  obs[OBS-INF004] observation_type='technology-assessment' not in codes.csv
  obs[OBS-INF005] observation_type='technology-assessment' not in codes.csv
  obs[OBS-MIG001] observation_type='technology-assessment' not in codes.csv
  obs[OBS-MIG002] observation_type='technology-assessment' not in codes.csv
  obs[OBS-MIG003] observation_type='technology-assessment' not in codes.csv
  obs[OBS-MKT001] observation_type='market-data' not in codes.csv
  obs[OBS-MKT002] observation_type='market-data' not in codes.csv
  obs[OBS-MKT003] observation_type='viability-prediction' not in codes.csv
  obs[OBS-MKT004] observation_type='actual-outcome' not in codes.csv
  obs[OBS-TECH001] observation_type='technology-assessment' not in codes.csv
  obs[OBS-TECH002] observation_type='technology-assessment' not in codes.csv
  obs[OBS-TECH003] observation_type='technology-assessment' not in codes.csv
  obs[OBS-TECH004] observation_type='technology-assessment' not in codes.csv
  obs[OBS-TECH005] observation_type='technology-assessment' not in codes.csv
  obs[OBS-VAR001] observation_type='strategy-classification' not in codes.csv
  obs[OBS-FRAUD001] observation_type='actual-outcome' not in codes.csv

other-authors/1997-network-storage--obtaining-the-payo-3bdc3d
  obs[OBS-NS001] observation_type='viability-prediction' not in codes.csv
  obs[OBS-NS002] observation_type='actual-outcome' not in codes.csv
  obs[OBS-NS003] observation_type='viability-prediction' not in codes.csv
  obs[OBS-NS004] observation_type='viability-prediction' not in codes.csv
  obs[OBS-NS005] observation_type='actual-outcome' not in codes.csv
  obs[OBS-NS006] observation_type='technology-assessment' not in codes.csv
  obs[OBS-NS007] observation_type='framework-factor' not in codes.csv
  obs[OBS-NS008] observation_type='framework-factor' not in codes.csv
  obs[OBS-NS009] observation_type='framework-factor' not in codes.csv
  obs[OBS-NS010] observation_type='market-data' not in codes.csv
  obs[OBS-NS011] observation_type='viability-prediction' not in codes.csv
  obs[OBS-NS012] observation_type='actual-outcome' not in codes.csv

other-authors/1997-nortel--transforming-business-by-po-3edae6
  obs[OBS-NOR001] observation_type='strategy-classification' not in codes.csv
  obs[OBS-NOR002] observation_type='strategy-classification' not in codes.csv
  obs[OBS-NOR003] observation_type='market-data' not in codes.csv
  obs[OBS-NOR004] observation_type='market-data' not in codes.csv
  obs[OBS-NOR005] observation_type='benchmark-result' not in codes.csv
  obs[OBS-NOR006] observation_type='benchmark-result' not in codes.csv
  obs[OBS-NOR007] observation_type='viability-prediction' not in codes.csv
  obs[OBS-NOR008] observation_type='actual-outcome' not in codes.csv
  obs[OBS-NOR009] observation_type='actual-outcome' not in codes.csv
