"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","collection","thread_tag","section"
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-interoffice","primary-observation","2002","specificity-score","1","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 2002","[thread:THREAD-9-oracle-interoffice-arc] Oracle exits desktop productivity market — InterOffice discontinued; document summarization feature abandoned; Aberdeen: 'Oracle correctly identified the document intelligence opportunity in 1995 but abandoned it before the infrastructure existed to scale it' | Feature abandonment — Oracle exits the market it pioneered; 20-year gap before return with 23ai","ai-arc","THREAD-9-oracle-interoffice-arc",""
"obs-t9-002m","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-interoffice","metric","2002","gap-years","22","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-9-oracle-interoffice-arc] Gap years between Oracle InterOffice discontinuation (2002) and Oracle 23ai (2024)","ai-arc","THREAD-9-oracle-interoffice-arc",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-23ai","primary-observation","2024","specificity-score","5","medium","ingest-extraction","industry-analysis","Oracle 23ai Announcement 2024","[thread:THREAD-9-oracle-interoffice-arc] Oracle 23ai — vector search, Select AI (natural language to SQL), AI Vector Search, RAG pipelines over Oracle Database; closes 29-year arc from InterOffice (1995) document summarization; Aberdeen: 'Oracle is the only vendor in the archive that named an AI capability in 1995 and then delivered the production-grade equivalent in 2024 under the same corporate identity' | Arc closure: Oracle InterOffice (1995) → Oracle 23ai (2024); 29-year continuous corporate identity; highest arc-length-to-specificity product in the archive","ai-arc","THREAD-9-oracle-interoffice-arc",""
"obs-t9-003m","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-23ai","metric","2024","arc-span-years","29","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-9-oracle-interoffice-arc] Arc span from Oracle InterOffice (1995) to Oracle 23ai (2024)","ai-arc","THREAD-9-oracle-interoffice-arc",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","intel-corporation","intel-ai-hardware","primary-observation","2019","specificity-score","3","medium","ingest-extraction","industry-analysis","Intel/Habana Acquisition Announcement 2019","[thread:THREAD-10-intel-ai-hardware] Intel acquires Habana Labs for $2B December 2019 — Gaudi AI accelerator chips; designed for neural network training and inference; Aberdeen: 'Intel's first explicit AI hardware product after 50 years of general-purpose compute dominance; zero AI-specific hardware claims in archive before 2019' | Intel enters AI hardware market 50 years after IBM Shoebox; no pre-2010 AI claims in Intel archive — starkest contrast with IBM's 60-year AI history","ai-arc","THREAD-10-intel-ai-hardware",""
"obs-t10-001m","2026-kastner-enterprise-ai-arc","intel-corporation","intel-ai-hardware","metric","2019","predictive-distance-years","3","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-10-intel-ai-hardware] Predictive distance from Intel first AI hardware (2019) to LLM mainstream (2022)","ai-arc","THREAD-10-intel-ai-hardware",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","intel-corporation","intel-gaudi","primary-observation","2021","specificity-score","3","medium","ingest-extraction","industry-analysis","Intel Gaudi2 Announcement 2021","[thread:THREAD-10-intel-ai-hardware] Intel Gaudi2 AI accelerator — competitive benchmarks vs NVIDIA A100 on transformer training workloads; Aberdeen notes 'Intel AI hardware enters the competitive range but NVIDIA moat established by 2021; Gaudi is a credible challenger, not a leader' | AI hardware competition validates the transformer-training-at-scale infrastructure requirement; Intel late entrant","ai-arc","THREAD-10-intel-ai-hardware",""
"obs-t10-002m","2026-kastner-enterprise-ai-arc","intel-corporation","intel-gaudi","metric","2021","predictive-distance-years","1","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-10-intel-ai-hardware] Predictive distance from Gaudi2 (2021) to LLM mainstream (2022)","ai-arc","THREAD-10-intel-ai-hardware",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","intel-corporation","intel-falcon-shores","primary-observation","2025","specificity-score","3","medium","ingest-extraction","industry-analysis","Intel Falcon Shores Announcement 2025","[thread:THREAD-10-intel-ai-hardware] Intel Falcon Shores announced (2025) — unified GPU+IPU architecture targeting AI training and HPC; Aberdeen: 'Falcon Shores is Intel's most ambitious AI hardware bet; if successful, Intel re-enters the AI infrastructure race it ceded to NVIDIA in 2016' | Arc endpoint for Intel AI hardware thread; outcome uncertain at study date","ai-arc","THREAD-10-intel-ai-hardware",""
"obs-t10-003m","2026-kastner-enterprise-ai-arc","intel-corporation","intel-falcon-shores","metric","2025","arc-span-years","6","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-10-intel-ai-hardware] Intel AI hardware arc start (2019) to Falcon Shores (2025)","ai-arc","THREAD-10-intel-ai-hardware",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","google-deepmind","transformer-architecture","primary-observation","2017","specificity-score","5","medium","ingest-extraction","industry-analysis","Vaswani et al. 2017 / Kastner Archive","[thread:THREAD-11-llm-convergence] 'Attention Is All You Need' (Vaswani et al., Google Brain) published June 2017 — transformer architecture eliminates recurrence; enables parallelizable sequence modeling; Aberdeen retrospective: 'The transformer paper is the single most important architectural event in the arc — it renders all prior NLP architectures (IBM ViaVoice, Watson DeepQA) obsolete and creates the substrate for every LLM product in 2022+' | Convergence event: the transformer is the reason all prior NLP observations in the arc have specificity 3–4 rather than 5 — they were directionally correct but architecturally pre-paradigm","ai-arc","THREAD-11-llm-convergence",""
"obs-t11-001m","2026-kastner-enterprise-ai-arc","google-deepmind","transformer-architecture","metric","2017","predictive-distance-years","5","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-11-llm-convergence] Predictive distance from transformer paper (2017) to LLM mainstream (2022)","ai-arc","THREAD-11-llm-convergence",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","openai-foundation","gpt-3","primary-observation","2020","specificity-score","5","medium","ingest-extraction","industry-analysis","OpenAI GPT-3 Paper 2020","[thread:THREAD-11-llm-convergence] OpenAI GPT-3 (175B parameters) June 2020 — few-shot learning; open-domain text generation; Aberdeen: 'GPT-3 demonstrates that scale (parameters + data) substitutes for task-specific training; this is the architectural insight all 1990s AI products lacked' | Scale law validation — GPT-3 proves the path to general-purpose text AI; all archive observations from 1962–2010 are now confirmed directional precursors","ai-arc","THREAD-11-llm-convergence",""
"obs-t11-002m","2026-kastner-enterprise-ai-arc","openai-foundation","gpt-3","metric","2020","predictive-distance-years","2","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-11-llm-convergence] Predictive distance from GPT-3 (2020) to LLM mainstream (2022)","ai-arc","THREAD-11-llm-convergence",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","openai-foundation","chatgpt","primary-observation","2022","specificity-score","5","medium","ingest-extraction","industry-analysis","OpenAI ChatGPT Launch 2022","[thread:THREAD-11-llm-convergence] ChatGPT launches November 30 2022 — 1M users in 5 days; 100M users in 2 months; Aberdeen: 'ChatGPT is the LLM mainstream baseline for all predictive distance measurements in the archive; every pre-2022 AI claim in the arc is measured from this date' | Convergence endpoint — LLM mainstream baseline year for the entire arc; all predictive distance measurements anchored here","ai-arc","THREAD-11-llm-convergence",""
"obs-t11-003m","2026-kastner-enterprise-ai-arc","openai-foundation","chatgpt","metric","2022","predictive-distance-years","0","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-11-llm-convergence] ChatGPT is the arc convergence point — predictive distance from ChatGPT to itself","ai-arc","THREAD-11-llm-convergence",""
"2026-kastner-enterprise-ai-arc.039","2026-kastner-enterprise-ai-arc","openai-foundation","gpt-4","primary-observation","2023","specificity-score","5","medium","ingest-extraction","industry-analysis","OpenAI GPT-4 Technical Report 2023","[thread:THREAD-11-llm-convergence] GPT-4 (March 2023) — multimodal; passes bar exam (90th percentile); passes USMLE; Aberdeen: 'GPT-4 closes the expert systems arc: XCON (1980) configured VAX systems with rules; GPT-4 passes the bar exam; 43 years separate the two expert-performance milestones; the rules became weights' | Arc closure: expert system capability (XCON 1980) → generalized expert performance (GPT-4 2023); 43-year span; 'the rules became weights' is the Kastner summary of the entire arc","ai-arc","THREAD-11-llm-convergence",""
"obs-t11-004m","2026-kastner-enterprise-ai-arc","openai-foundation","gpt-4","metric","2023","arc-span-years","43","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-11-llm-convergence] Arc span from XCON (1980) to GPT-4 (2023)","ai-arc","THREAD-11-llm-convergence",""
